Fecha,tipo_oficial,OIS,Oro,Plata,Gas,VIX,PIB,PIBpc,Inflacion,Desempleo,Rating
1999-01-01,2.435483870967742,2.435483870967742,287.08,5.1393,2.02,26.25,1981346927185.9272,32138.3808871219,1.1297808164241376,10.554626506024093,8.09
1999-02-01,2.0,2.0,287.33,5.5306,2.01,27.88,1981346927185.9272,32138.3808871219,1.1297808164241376,10.554626506024093,8.09
1999-03-01,2.0,2.0,285.96,5.1942,1.95,23.26,1981346927185.9272,32138.3808871219,1.1297808164241376,10.554626506024093,8.09
1999-04-01,1.6333333333333333,1.6333333333333333,282.62,5.0603,1.87,25.07,1981346927185.9272,32138.3808871219,1.1297808164241376,10.554626506024093,8.09
1999-05-01,1.5,1.5,276.44,5.2619,1.89,25.39,1981346927185.9272,32138.3808871219,1.1297808164241376,10.554626506024093,8.09
1999-06-01,1.5,1.5,261.31,5.0269,1.91,21.09,1981346927185.9272,32138.3808871219,1.1297808164241376,10.554626506024093,8.09
1999-07-01,1.5,1.5,256.08,5.1797,2.0,24.64,1981346927185.9272,32138.3808871219,1.1297808164241376,10.554626506024093,8.09
1999-08-01,1.5,1.5,256.69,5.2603,2.08,24.45,1981346927185.9272,32138.3808871219,1.1297808164241376,10.554626506024093,8.09
1999-09-01,1.5,1.5,264.74,5.2089,2.2,25.41,1981346927185.9272,32138.3808871219,1.1297808164241376,10.554626506024093,8.09
1999-10-01,1.5,1.5,310.72,5.4123,2.47,22.2,1981346927185.9272,32138.3808871219,1.1297808164241376,10.554626506024093,8.09
1999-11-01,1.9333333333333333,1.9333333333333333,293.18,5.1538,2.51,24.18,1981346927185.9272,32138.3808871219,1.1297808164241376,10.554626506024093,8.09
1999-12-01,2.0,2.0,283.07,5.1573,2.66,24.64,1981346927185.9272,32138.3808871219,1.1297808164241376,10.554626506024093,8.09
2000-01-01,2.0,2.0,284.32,5.1882,3.36,24.95,2051083734818.3052,33219.33450843561,2.037166958030837,9.338433734939757,8.09
2000-02-01,2.2241379310344827,2.2241379310344827,299.86,5.2467,3.46,23.37,2051083734818.3052,33219.33450843561,2.037166958030837,9.338433734939757,8.09
2000-03-01,2.370967741935484,2.370967741935484,286.39,5.0649,3.51,24.11,2051083734818.3052,33219.33450843561,2.037166958030837,9.338433734939757,8.09
2000-04-01,2.525,2.525,279.69,5.0645,3.68,26.2,2051083734818.3052,33219.33450843561,2.037166958030837,9.338433734939757,8.09
2000-05-01,2.75,2.75,275.19,4.9796,3.55,23.65,2051083734818.3052,33219.33450843561,2.037166958030837,9.338433734939757,8.09
2000-06-01,3.1166666666666667,3.1166666666666667,285.73,4.9976,3.6,19.54,2051083734818.3052,33219.33450843561,2.037166958030837,9.338433734939757,8.09
2000-07-01,3.25,3.25,281.59,4.9692,3.96,20.74,2051083734818.3052,33219.33450843561,2.037166958030837,9.338433734939757,8.09
2000-08-01,3.25,3.25,274.47,4.8864,4.01,16.84,2051083734818.3052,33219.33450843561,2.037166958030837,9.338433734939757,8.09
2000-09-01,3.5000000000000004,3.5000000000000004,273.68,4.8904,4.03,20.57,2051083734818.3052,33219.33450843561,2.037166958030837,9.338433734939757,8.09
2000-10-01,3.7096774193548385,3.7096774193548385,270.0,4.8302,4.31,23.63,2051083734818.3052,33219.33450843561,2.037166958030837,9.338433734939757,8.09
2000-11-01,3.75,3.75,266.01,4.6814,4.39,29.65,2051083734818.3052,33219.33450843561,2.037166958030837,9.338433734939757,8.09
2000-12-01,3.75,3.75,271.45,4.6398,4.44,26.85,2051083734818.3052,33219.33450843561,2.037166958030837,9.338433734939757,8.09
2001-01-01,3.75,3.75,265.49,4.6571,4.65,22.02,2090504819639.2324,33768.2686679661,2.4405768805804744,8.169108433734937,8.09
2001-02-01,3.75,3.75,261.87,4.5574,4.59,28.35,2090504819639.2324,33768.2686679661,2.4405768805804744,8.169108433734937,8.09
2001-03-01,3.75,3.75,263.03,4.404,4.57,28.64,2090504819639.2324,33768.2686679661,2.4405768805804744,8.169108433734937,8.09
2001-04-01,3.75,3.75,260.48,4.365,4.48,25.48,2090504819639.2324,33768.2686679661,2.4405768805804744,8.169108433734937,8.09
2001-05-01,3.580645161290323,3.580645161290323,272.36,4.4333,4.36,22.64,2090504819639.2324,33768.2686679661,2.4405768805804744,8.169108433734937,8.09
2001-06-01,3.5000000000000004,3.5000000000000004,270.23,4.3738,4.33,19.06,2090504819639.2324,33768.2686679661,2.4405768805804744,8.169108433734937,8.09
2001-07-01,3.5000000000000004,3.5000000000000004,267.53,4.2543,3.75,21.62,2090504819639.2324,33768.2686679661,2.4405768805804744,8.169108433734937,8.09
2001-08-01,3.4919354838709684,3.4919354838709684,272.39,4.2208,3.79,24.92,2090504819639.2324,33768.2686679661,2.4405768805804744,8.169108433734937,8.09
2001-09-01,3.033333333333333,3.033333333333333,283.42,4.353,3.79,31.93,2090504819639.2324,33768.2686679661,2.4405768805804744,8.169108433734937,8.09
2001-10-01,2.75,2.75,283.06,4.4012,3.52,33.56,2090504819639.2324,33768.2686679661,2.4405768805804744,8.169108433734937,8.09
