Fecha,tipo_oficial,OIS,Oro,Plata,Gas,VIX,PIB,PIBpc,Inflacion,Desempleo,Rating
1999-01-01,6.25,5.9979774193548385,287.08,5.1393,2.02,26.25,2214131432953.499,37730.715559116055,1.752950800514202,6.042,8.5
1999-02-01,5.580357142857143,5.725460714285715,287.33,5.5306,2.01,27.88,2214131432953.499,37730.715559116055,1.752950800514202,6.042,8.5
1999-03-01,5.5,5.571587096774193,285.96,5.1942,1.95,23.26,2214131432953.499,37730.715559116055,1.752950800514202,6.042,8.5
1999-04-01,5.308333333333334,5.366680000000001,282.62,5.0603,1.87,25.07,2214131432953.499,37730.715559116055,1.752950800514202,6.042,8.5
1999-05-01,5.25,5.2822258064516125,276.44,5.2619,1.89,25.39,2214131432953.499,37730.715559116055,1.752950800514202,6.042,8.5
1999-06-01,5.075,4.853979999999999,261.31,5.0269,1.91,21.09,2214131432953.499,37730.715559116055,1.752950800514202,6.042,8.5
1999-07-01,5.0,5.0018548387096775,256.08,5.1797,2.0,24.64,2214131432953.499,37730.715559116055,1.752950800514202,6.042,8.5
1999-08-01,5.0,4.8205064516129035,256.69,5.2603,2.08,24.45,2214131432953.499,37730.715559116055,1.752950800514202,6.042,8.5
1999-09-01,5.191666666666666,4.916176666666667,264.74,5.2089,2.2,25.41,2214131432953.499,37730.715559116055,1.752950800514202,6.042,8.5
1999-10-01,5.25,5.092838709677419,310.72,5.4123,2.47,22.2,2214131432953.499,37730.715559116055,1.752950800514202,6.042,8.5
1999-11-01,5.475,5.267216666666667,293.18,5.1538,2.51,24.18,2214131432953.499,37730.715559116055,1.752950800514202,6.042,8.5
1999-12-01,5.854838709677419,4.592254838709677,283.07,5.1573,2.66,24.64,2214131432953.499,37730.715559116055,1.752950800514202,6.042,8.5
2000-01-01,5.846774193548387,5.175980645161291,284.32,5.1882,3.36,24.95,2314307169243.878,39297.13663172671,1.182956242104084,5.558,8.5
2000-02-01,5.922413793103448,5.854310344827587,299.86,5.2467,3.46,23.37,2314307169243.878,39297.13663172671,1.182956242104084,5.558,8.5
2000-03-01,6.0,5.761209677419354,286.39,5.0649,3.51,24.11,2314307169243.878,39297.13663172671,1.182956242104084,5.558,8.5
2000-04-01,6.0,5.9317,279.69,5.0645,3.68,26.2,2314307169243.878,39297.13663172671,1.182956242104084,5.558,8.5
2000-05-01,6.0,5.904487096774194,275.19,4.9796,3.55,23.65,2314307169243.878,39297.13663172671,1.182956242104084,5.558,8.5
2000-06-01,6.0,5.903099999999999,285.73,4.9976,3.6,19.54,2314307169243.878,39297.13663172671,1.182956242104084,5.558,8.5
2000-07-01,6.0,5.912148387096774,281.59,4.9692,3.96,20.74,2314307169243.878,39297.13663172671,1.182956242104084,5.558,8.5
2000-08-01,6.0,5.933064516129033,274.47,4.8864,4.01,16.84,2314307169243.878,39297.13663172671,1.182956242104084,5.558,8.5
