Fecha,PIB_growth,PIBpc_growth,Inflacion,Desempleo,Rating,VIX,Oro,Plata,Gas,OIS,y_regression,y_classification
2000-01-01,3.519666681060407,3.363435218190647,2.037166958030837,9.338433734939755,8.09,24.95,284.32,5.1882,3.36,2.0,2.2241379310344827,Sube
2000-02-01,3.519666681060407,3.363435218190647,2.037166958030837,9.338433734939755,8.09,23.37,299.86,5.2467,3.46,2.2241379310344827,2.370967741935484,Sube
2000-03-01,3.519666681060407,3.363435218190647,2.037166958030837,9.338433734939755,8.09,24.11,286.39,5.0649,3.51,2.370967741935484,2.525,Sube
2000-04-01,3.519666681060407,3.363435218190647,2.037166958030837,9.338433734939755,8.09,26.2,279.69,5.0645,3.68,2.525,2.75,Sube
2000-05-01,3.519666681060407,3.363435218190647,2.037166958030837,9.338433734939755,8.09,23.65,275.19,4.9796,3.55,2.75,3.1166666666666667,Sube
2000-06-01,3.519666681060407,3.363435218190647,2.037166958030837,9.338433734939755,8.09,19.54,285.73,4.9976,3.6,3.1166666666666667,3.25,Sube
2000-07-01,3.519666681060407,3.363435218190647,2.037166958030837,9.338433734939755,8.09,20.74,281.59,4.9692,3.96,3.25,3.25,Estable
2000-08-01,3.519666681060407,3.363435218190647,2.037166958030837,9.338433734939755,8.09,16.84,274.47,4.8864,4.01,3.25,3.5000000000000004,Sube
2000-09-01,3.519666681060407,3.363435218190647,2.037166958030837,9.338433734939755,8.09,20.57,273.68,4.8904,4.03,3.5000000000000004,3.7096774193548394,Sube
2000-10-01,3.519666681060407,3.363435218190647,2.037166958030837,9.338433734939755,8.09,23.63,270.0,4.8302,4.31,3.7096774193548394,3.75,Estable
2000-11-01,3.519666681060407,3.363435218190647,2.037166958030837,9.338433734939755,8.09,29.65,266.01,4.6814,4.39,3.75,3.75,Estable
2000-12-01,3.519666681060407,3.363435218190647,2.037166958030837,9.338433734939755,8.09,26.85,271.45,4.6398,4.44,3.75,3.75,Estable
2001-01-01,1.9219636990793099,1.6524538123757093,2.4405768805804744,8.169108433734937,8.09,22.02,265.49,4.6571,4.65,3.75,3.75,Estable
2001-02-01,1.9219636990793099,1.6524538123757093,2.4405768805804744,8.169108433734937,8.09,28.35,261.87,4.5574,4.59,3.75,3.75,Estable
2001-03-01,1.9219636990793099,1.6524538123757093,2.4405768805804744,8.169108433734937,8.09,28.64,263.03,4.404,4.57,3.75,3.75,Estable
2001-04-01,1.9219636990793099,1.6524538123757093,2.4405768805804744,8.169108433734937,8.09,25.48,260.48,4.365,4.48,3.75,3.580645161290323,Baja
2001-05-01,1.9219636990793099,1.6524538123757093,2.4405768805804744,8.169108433734937,8.09,22.64,272.36,4.4333,4.36,3.580645161290323,3.5000000000000004,Estable
