Fecha,PIB_growth,PIBpc_growth,Inflacion,Desempleo,Rating,VIX,Oro,Plata,Gas,OIS,y_regression,y_classification
2000-01-01,4.524380748109036,4.151580613827499,1.182956242104084,5.558,8.5,24.95,284.32,5.1882,3.36,5.175980645161291,5.922413793103448,Estable
2000-02-01,4.524380748109036,4.151580613827499,1.182956242104084,5.558,8.5,23.37,299.86,5.2467,3.46,5.854310344827587,6.0,Estable
2000-03-01,4.524380748109036,4.151580613827499,1.182956242104084,5.558,8.5,24.11,286.39,5.0649,3.51,5.761209677419354,6.0,Estable
2000-04-01,4.524380748109036,4.151580613827499,1.182956242104084,5.558,8.5,26.2,279.69,5.0645,3.68,5.9317,6.0,Estable
2000-05-01,4.524380748109036,4.151580613827499,1.182956242104084,5.558,8.5,23.65,275.19,4.9796,3.55,5.904487096774194,6.0,Estable
2000-06-01,4.524380748109036,4.151580613827499,1.182956242104084,5.558,8.5,19.54,285.73,4.9976,3.6,5.903099999999999,6.0,Estable
2000-07-01,4.524380748109036,4.151580613827499,1.182956242104084,5.558,8.5,20.74,281.59,4.9692,3.96,5.912148387096774,6.0,Estable
2000-08-01,4.524380748109036,4.151580613827499,1.182956242104084,5.558,8.5,16.84,274.47,4.8864,4.01,5.933064516129033,6.0,Estable
2000-09-01,4.524380748109036,4.151580613827499,1.182956242104084,5.558,8.5,20.57,273.68,4.8904,4.03,6.07777,6.0,Estable
2000-10-01,4.524380748109036,4.151580613827499,1.182956242104084,5.558,8.5,23.63,270.0,4.8302,4.31,5.791722580645161,6.0,Estable
2000-11-01,4.524380748109036,4.151580613827499,1.182956242104084,5.558,8.5,29.65,266.01,4.6814,4.39,5.972963333333333,6.0,Estable
2000-12-01,4.524380748109036,4.151580613827499,1.182956242104084,5.558,8.5,26.85,271.45,4.6398,4.44,5.711093548387097,6.0,Estable
2001-01-01,2.3910222960282335,1.9975992432020862,1.532349602724177,4.696,8.5,22.02,265.49,4.6571,4.65,5.8424903225806455,5.8125,Baja
2001-02-01,2.3910222960282335,1.9975992432020862,1.532349602724177,4.696,8.5,28.35,261.87,4.5574,4.59,5.814035714285715,5.75,Estable
2001-03-01,2.3910222960282335,1.9975992432020862,1.532349602724177,4.696,8.5,28.64,263.03,4.404,4.57,5.349267741935484,5.533333333333333,Baja
2001-04-01,2.3910222960282335,1.9975992432020862,1.532349602724177,4.696,8.5,25.48,260.48,4.365,4.48,5.108779999999999,5.32258064516129,Baja
2001-05-01,2.3910222960282335,1.9975992432020862,1.532349602724177,4.696,8.5,22.64,272.36,4.4333,4.36,5.491793548387097,5.25,Estable
2001-06-01,2.3910222960282335,1.9975992432020862,1.532349602724177,4.696,8.5,19.06,270.23,4.3738,4.33,4.753493333333334,5.25,Estable
