Fecha,PIB_growth,PIBpc_growth,Inflacion,Desempleo,Rating,VIX,Oro,Plata,Gas,OIS,y_regression,y_classification
2000-01-01,4.077585756828017,2.9258625437011077,3.376857271499291,3.992,9.5,24.95,284.32,5.1882,2.42,5.448387096774193,5.7348275862068965,Sube
2000-02-01,4.077585756828017,2.9258625437011077,3.376857271499291,3.992,9.5,23.37,299.86,5.2467,2.65,5.7348275862068965,5.853548387096774,Estable
2000-03-01,4.077585756828017,2.9258625437011077,3.376857271499291,3.992,9.5,24.11,286.39,5.0649,2.79,5.853548387096774,6.019666666666667,Sube
2000-04-01,4.077585756828017,2.9258625437011077,3.376857271499291,3.992,9.5,26.2,279.69,5.0645,3.03,6.019666666666667,6.268064516129033,Sube
2000-05-01,4.077585756828017,2.9258625437011077,3.376857271499291,3.992,9.5,23.65,275.19,4.9796,3.58,6.268064516129033,6.528333333333333,Sube
2000-06-01,4.077585756828017,2.9258625437011077,3.376857271499291,3.992,9.5,19.54,285.73,4.9976,4.28,6.528333333333333,6.5445161290322575,Estable
2000-07-01,4.077585756828017,2.9258625437011077,3.376857271499291,3.992,9.5,20.74,281.59,4.9692,3.96,6.5445161290322575,6.496774193548387,Estable
2000-08-01,4.077585756828017,2.9258625437011077,3.376857271499291,3.992,9.5,16.84,274.47,4.8864,4.41,6.496774193548387,6.517,Estable
2000-09-01,4.077585756828017,2.9258625437011077,3.376857271499291,3.992,9.5,20.57,273.68,4.8904,5.06,6.517,6.509354838709677,Estable
2000-10-01,4.077585756828017,2.9258625437011077,3.376857271499291,3.992,9.5,23.63,270.0,4.8302,5.02,6.509354838709677,6.514333333333334,Estable
2000-11-01,4.077585756828017,2.9258625437011077,3.376857271499291,3.992,9.5,29.65,266.01,4.6814,5.55,6.514333333333334,6.402258064516129,Estable
2000-12-01,4.077585756828017,2.9258625437011077,3.376857271499291,3.992,9.5,26.85,271.45,4.6398,8.95,6.402258064516129,5.975806451612903,Baja
2001-01-01,0.9555383483416113,-0.038731923724733,2.826171118854072,4.731,9.5,22.02,265.49,4.6571,8.17,5.975806451612903,5.494285714285715,Baja
2001-02-01,0.9555383483416113,-0.038731923724733,2.826171118854072,4.731,9.5,28.35,261.87,4.5574,5.63,5.494285714285715,5.310967741935484,Baja
2001-03-01,0.9555383483416113,-0.038731923724733,2.826171118854072,4.731,9.5,28.64,263.03,4.404,5.16,5.310967741935484,4.8020000000000005,Baja
2001-04-01,0.9555383483416113,-0.038731923724733,2.826171118854072,4.731,9.5,25.48,260.48,4.365,5.17,4.8020000000000005,4.21225806451613,Baja
2001-05-01,0.9555383483416113,-0.038731923724733,2.826171118854072,4.731,9.5,22.64,272.36,4.4333,4.21,4.21225806451613,3.969666666666667,Baja
2001-06-01,0.9555383483416113,-0.038731923724733,2.826171118854072,4.731,9.5,19.06,270.23,4.3738,3.71,3.969666666666667,3.769032258064516,Baja
2001-07-01,0.9555383483416113,-0.038731923724733,2.826171118854072,4.731,9.5,21.62,267.53,4.2543,3.1,3.769032258064516,3.6525806451612906,Estable
2001-08-01,0.9555383483416113,-0.038731923724733,2.826171118854072,4.731,9.5,24.92,272.39,4.2208,2.95,3.6525806451612906,3.0690000000000004,Baja
2001-09-01,0.9555383483416113,-0.038731923724733,2.826171118854072,4.731,9.5,31.93,283.42,4.353,2.15,3.0690000000000004,2.485161290322581,Baja
2001-10-01,0.9555383483416113,-0.038731923724733,2.826171118854072,4.731,9.5,33.56,283.06,4.4012,2.45,2.485161290322581,2.087,Baja
2001-11-01,0.9555383483416113,-0.038731923724733,2.826171118854072,4.731,9.5,23.84,276.16,4.1226,2.36,2.087,1.817741935483871,Baja
2001-12-01,0.9555383483416113,-0.038731923724733,2.826171118854072,4.731,9.5,23.8,275.85,4.3695,2.41,1.817741935483871,1.7296774193548383,Estable
2002-01-01,1.7004473264372377,0.761236856075298,1.586031626506012,5.783,9.5,21.09,281.51,4.5149,2.25,1.7296774193548383,1.7396428571428573,Estable
2002-02-01,1.7004473264372377,0.761236856075298,1.586031626506012,5.783,9.5,21.59,295.5,4.4232,2.31,1.7396428571428573,1.73,Estable
2002-03-01,1.7004473264372377,0.761236856075298,1.586031626506012,5.783,9.5,17.4,294.06,4.5393,3.03,1.73,1.753,Estable
2002-04-01,1.7004473264372377,0.761236856075298,1.586031626506012,5.783,9.5,21.91,302.68,4.5757,3.42,1.753,1.751290322580645,Estable
2002-05-01,1.7004473264372377,0.761236856075298,1.586031626506012,5.783,9.5,19.98,314.49,4.6992,3.49,1.751290322580645,1.7503333333333333,Estable
2002-06-01,1.7004473264372377,0.761236856075298,1.586031626506012,5.783,9.5,25.4,321.18,4.9044,3.22,1.7503333333333333,1.729032258064516,Estable
