Fecha,Real,Pred_orig,Pred_cal,P_Baja_orig,P_Est_orig,P_Sube_orig,Conf_orig,Nivel_orig,P_Baja_cal,P_Est_cal,P_Sube_cal,Conf_cal,Nivel_cal,DeltaConf
2024-01,Estable,Sube,Estable,0.04,47.01,52.94,29.4,Baja,0.0,69.0,31.0,53.5,Moderada,24.1
2024-02,Estable,Sube,Estable,0.04,45.69,54.28,31.4,Baja,0.0,69.0,31.0,53.5,Moderada,22.1
2024-03,Estable,Sube,Estable,0.03,45.65,54.32,31.5,Baja,0.0,69.0,31.0,53.5,Moderada,22.0
2024-04,Estable,Estable,Estable,0.04,59.38,40.58,39.1,Moderada,0.0,86.15,13.85,79.2,Muy alta,40.1
2024-05,Baja,Sube,Estable,0.01,36.07,63.92,45.9,Moderada,0.0,67.03,32.97,50.5,Moderada,4.6
2024-06,Estable,Sube,Estable,0.05,45.23,54.73,32.1,Baja,0.0,69.0,31.0,53.5,Moderada,21.4
2024-07,Estable,Estable,Estable,0.1,65.68,34.22,48.5,Moderada,0.0,87.5,12.5,81.3,Muy alta,32.8
2024-08,Estable,Estable,Estable,0.04,56.94,43.02,35.4,Moderada,0.0,78.5,21.5,67.7,Alta,32.3
2024-09,Baja,Estable,Estable,0.1,77.9,22.0,66.9,Alta,0.0,100.0,0.0,100.0,Muy alta,33.1
2024-10,Baja,Estable,Estable,0.43,95.32,4.25,93.0,Muy alta,0.0,100.0,0.0,100.0,Muy alta,7.0
2024-11,Estable,Estable,Estable,0.05,73.16,26.79,59.7,Alta,0.0,100.0,0.0,100.0,Muy alta,40.3
2024-12,Baja,Estable,Estable,0.08,83.95,15.97,75.9,Muy alta,0.0,100.0,0.0,100.0,Muy alta,24.1
2025-01,Baja,Estable,Estable,0.08,86.36,13.57,79.5,Muy alta,0.0,100.0,0.0,100.0,Muy alta,20.5
2025-02,Baja,Estable,Estable,0.15,96.09,3.76,94.1,Muy alta,0.0,100.0,0.0,100.0,Muy alta,5.9
2025-03,Baja,Estable,Estable,0.21,98.19,1.6,97.3,Muy alta,0.0,100.0,0.0,100.0,Muy alta,2.7
2025-04,Baja,Estable,Estable,0.23,99.43,0.34,99.1,Muy alta,0.0,100.0,0.0,100.0,Muy alta,0.9
2025-05,Baja,Estable,Estable,0.07,99.09,0.84,98.6,Muy alta,0.0,100.0,0.0,100.0,Muy alta,1.4
2025-06,Estable,Estable,Estable,0.04,97.87,2.08,96.8,Muy alta,0.0,100.0,0.0,100.0,Muy alta,3.2
2025-07,Estable,Estable,Estable,0.03,96.08,3.89,94.1,Muy alta,0.0,100.0,0.0,100.0,Muy alta,5.9
2025-08,Estable,Estable,Estable,0.02,93.04,6.95,89.6,Muy alta,0.0,100.0,0.0,100.0,Muy alta,10.4
2025-09,Estable,Estable,Estable,0.01,94.95,5.04,92.4,Muy alta,0.0,100.0,0.0,100.0,Muy alta,7.6
2025-10,Estable,Estable,Estable,0.01,96.32,3.67,94.5,Muy alta,0.0,100.0,0.0,100.0,Muy alta,5.5
2025-11,Estable,Estable,Estable,0.01,95.23,4.76,92.8,Muy alta,0.0,100.0,0.0,100.0,Muy alta,7.2
2025-12,Estable,Estable,Estable,0.0,77.38,22.62,66.1,Alta,0.0,100.0,0.0,100.0,Muy alta,33.9
