Fecha,Real,Pred_orig,Pred_cal,P_Baja_orig,P_Est_orig,P_Sube_orig,Conf_orig,Nivel_orig,P_Baja_cal,P_Est_cal,P_Sube_cal,Conf_cal,Nivel_cal,DeltaConf
2024-01,Estable,Estable,Estable,17.07,77.07,5.87,65.6,Alta,2.7,97.3,0.0,95.9,Muy alta,30.3
2024-02,Estable,Estable,Estable,16.62,76.73,6.65,65.1,Alta,2.7,97.3,0.0,95.9,Muy alta,30.8
2024-03,Estable,Estable,Estable,16.91,76.92,6.18,65.4,Alta,2.7,97.3,0.0,95.9,Muy alta,30.5
2024-04,Estable,Estable,Estable,25.14,70.83,4.03,56.2,Alta,7.92,92.08,0.0,88.1,Muy alta,31.9
2024-05,Baja,Estable,Estable,17.93,75.06,7.0,62.6,Alta,2.7,97.3,0.0,95.9,Muy alta,33.3
2024-06,Estable,Estable,Estable,31.7,66.73,1.57,50.1,Moderada,12.26,87.74,0.0,81.6,Muy alta,31.5
2024-07,Estable,Estable,Estable,35.18,63.51,1.31,45.3,Moderada,12.26,87.74,0.0,81.6,Muy alta,36.3
2024-08,Estable,Estable,Estable,14.46,82.06,3.48,73.1,Alta,2.7,97.3,0.0,95.9,Muy alta,22.8
2024-09,Baja,Estable,Estable,33.34,65.94,0.72,48.9,Moderada,12.26,87.74,0.0,81.6,Muy alta,32.7
2024-10,Baja,Baja,Estable,68.26,31.69,0.05,52.4,Moderada,16.97,83.03,0.0,74.6,Alta,22.2
2024-11,Estable,Estable,Estable,21.3,78.24,0.46,67.4,Alta,7.14,92.86,0.0,89.3,Muy alta,21.9
2024-12,Baja,Estable,Estable,22.41,77.16,0.44,65.7,Alta,7.14,92.86,0.0,89.3,Muy alta,23.6
2025-01,Baja,Estable,Estable,17.01,82.58,0.41,73.9,Alta,2.7,97.3,0.0,95.9,Muy alta,22.0
2025-02,Baja,Estable,Estable,31.78,68.15,0.07,52.2,Moderada,12.26,87.74,0.0,81.6,Muy alta,29.4
2025-03,Baja,Estable,Estable,39.45,60.51,0.04,40.8,Moderada,12.8,87.2,0.0,80.8,Muy alta,40.0
2025-04,Baja,Estable,Estable,39.43,60.55,0.02,40.8,Moderada,12.72,87.28,0.0,80.9,Muy alta,40.1
2025-05,Baja,Estable,Estable,20.09,79.87,0.04,69.8,Alta,5.71,94.29,0.0,91.4,Muy alta,21.6
2025-06,Estable,Estable,Estable,13.85,86.08,0.07,79.1,Muy alta,2.7,97.3,0.0,95.9,Muy alta,16.8
2025-07,Estable,Estable,Estable,9.78,90.05,0.17,85.1,Muy alta,0.0,100.0,0.0,100.0,Muy alta,14.9
2025-08,Estable,Estable,Estable,5.18,94.37,0.45,91.6,Muy alta,0.0,100.0,0.0,100.0,Muy alta,8.4
2025-09,Estable,Estable,Estable,6.84,92.81,0.36,89.2,Muy alta,0.0,100.0,0.0,100.0,Muy alta,10.8
2025-10,Estable,Estable,Estable,11.6,88.14,0.27,82.2,Muy alta,2.7,97.3,0.0,95.9,Muy alta,13.7
2025-11,Estable,Estable,Estable,10.95,88.73,0.32,83.1,Muy alta,0.0,100.0,0.0,100.0,Muy alta,16.9
2025-12,Estable,Estable,Estable,17.65,81.48,0.86,72.2,Alta,2.7,97.3,0.0,95.9,Muy alta,23.7
