Fecha,Real,Pred_orig,Pred_cal,P_Baja_orig,P_Est_orig,P_Sube_orig,Conf_orig,Nivel_orig,P_Baja_cal,P_Est_cal,P_Sube_cal,Conf_cal,Nivel_cal,DeltaConf
2024-01,Estable,Estable,Estable,3.57,96.43,0.01,94.6,Muy alta,1.35,98.65,0.0,98.0,Muy alta,3.4
2024-02,Estable,Estable,Estable,1.67,98.33,0.0,97.5,Muy alta,0.0,100.0,0.0,100.0,Muy alta,2.5
2024-03,Estable,Estable,Estable,9.56,88.1,2.33,82.2,Muy alta,1.37,98.63,0.0,97.9,Muy alta,15.7
2024-04,Estable,Estable,Estable,10.93,87.81,1.25,81.7,Muy alta,1.37,98.63,0.0,97.9,Muy alta,16.2
2024-05,Estable,Estable,Estable,7.28,91.68,1.03,87.5,Muy alta,1.37,98.63,0.0,97.9,Muy alta,10.4
2024-06,Estable,Estable,Estable,4.47,95.39,0.13,93.1,Muy alta,1.35,98.65,0.0,98.0,Muy alta,4.9
2024-07,Baja,Estable,Estable,4.28,95.71,0.01,93.6,Muy alta,1.35,98.65,0.0,98.0,Muy alta,4.4
2024-08,Estable,Estable,Estable,7.9,91.03,1.06,86.6,Muy alta,1.37,98.63,0.0,97.9,Muy alta,11.3
2024-09,Estable,Estable,Estable,5.65,94.29,0.07,91.4,Muy alta,1.37,98.63,0.0,97.9,Muy alta,6.5
2024-10,Baja,Estable,Estable,8.04,91.95,0.01,87.9,Muy alta,1.37,98.63,0.0,97.9,Muy alta,10.0
2024-11,Estable,Estable,Estable,4.72,94.78,0.5,92.2,Muy alta,1.35,98.65,0.0,98.0,Muy alta,5.8
2024-12,Estable,Estable,Estable,9.13,90.46,0.42,85.7,Muy alta,1.37,98.63,0.0,97.9,Muy alta,12.2
2025-01,Baja,Estable,Estable,2.54,97.42,0.04,96.1,Muy alta,0.0,100.0,0.0,100.0,Muy alta,3.9
2025-02,Estable,Estable,Estable,4.49,95.24,0.28,92.9,Muy alta,1.35,98.65,0.0,98.0,Muy alta,5.1
2025-03,Estable,Estable,Estable,5.34,94.48,0.18,91.7,Muy alta,1.36,98.64,0.0,98.0,Muy alta,6.3
2025-04,Baja,Estable,Estable,4.89,95.01,0.11,92.5,Muy alta,1.35,98.65,0.0,98.0,Muy alta,5.5
2025-05,Estable,Estable,Estable,1.29,98.61,0.1,97.9,Muy alta,0.0,100.0,0.0,100.0,Muy alta,2.1
2025-06,Estable,Estable,Estable,0.92,99.02,0.06,98.5,Muy alta,0.0,100.0,0.0,100.0,Muy alta,1.5
2025-07,Baja,Estable,Estable,0.9,99.05,0.05,98.6,Muy alta,0.0,100.0,0.0,100.0,Muy alta,1.4
2025-08,Estable,Estable,Estable,0.55,99.39,0.06,99.1,Muy alta,0.0,100.0,0.0,100.0,Muy alta,0.9
2025-09,Estable,Estable,Estable,0.37,99.61,0.02,99.4,Muy alta,0.0,100.0,0.0,100.0,Muy alta,0.6
2025-10,Estable,Estable,Estable,0.12,99.88,0.0,99.8,Muy alta,0.0,100.0,0.0,100.0,Muy alta,0.2
2025-11,Estable,Estable,Estable,0.15,99.84,0.0,99.8,Muy alta,0.0,100.0,0.0,100.0,Muy alta,0.2
2025-12,Baja,Estable,Estable,0.06,99.94,0.0,99.9,Muy alta,0.0,100.0,0.0,100.0,Muy alta,0.1
