Fecha,Real,Pred_orig,Pred_cal,P_Baja_orig,P_Est_orig,P_Sube_orig,Conf_orig,Nivel_orig,P_Baja_cal,P_Est_cal,P_Sube_cal,Conf_cal,Nivel_cal,DeltaConf
2024-01,Estable,Estable,Estable,0.0,100.0,0.0,100.0,Muy alta,2.37,95.0,2.63,92.5,Muy alta,-7.5
2024-02,Estable,Estable,Estable,0.0,100.0,0.0,100.0,Muy alta,2.37,95.0,2.63,92.5,Muy alta,-7.5
2024-03,Estable,Estable,Estable,0.0,100.0,0.0,100.0,Muy alta,2.37,95.0,2.63,92.5,Muy alta,-7.5
2024-04,Estable,Estable,Estable,0.0,100.0,0.0,100.0,Muy alta,2.37,95.0,2.63,92.5,Muy alta,-7.5
2024-05,Estable,Estable,Estable,0.0,100.0,0.0,100.0,Muy alta,2.37,95.0,2.63,92.5,Muy alta,-7.5
2024-06,Estable,Estable,Estable,0.0,100.0,0.0,100.0,Muy alta,2.37,95.0,2.63,92.5,Muy alta,-7.5
2024-07,Estable,Estable,Estable,0.0,100.0,0.0,100.0,Muy alta,2.37,95.0,2.63,92.5,Muy alta,-7.5
2024-08,Baja,Estable,Estable,0.0,100.0,0.0,100.0,Muy alta,2.37,95.0,2.63,92.5,Muy alta,-7.5
2024-09,Baja,Baja,Baja,84.73,14.37,0.91,77.1,Muy alta,50.83,46.29,2.88,26.2,Baja,-50.9
2024-10,Baja,Baja,Baja,96.09,3.85,0.06,94.1,Muy alta,62.71,34.54,2.75,44.1,Moderada,-50.0
2024-11,Baja,Baja,Estable,71.78,25.29,2.94,57.7,Alta,37.31,59.5,3.19,39.2,Moderada,-18.5
2024-12,Baja,Baja,Estable,80.78,17.36,1.86,71.2,Alta,46.84,50.13,3.03,25.2,Baja,-46.0
2025-01,Estable,Baja,Estable,77.97,19.47,2.56,67.0,Alta,44.0,52.86,3.14,29.3,Baja,-37.7
2025-02,Estable,Estable,Estable,14.72,84.48,0.8,76.7,Muy alta,4.41,92.86,2.73,89.3,Muy alta,12.6
2025-03,Estable,Estable,Estable,1.94,98.04,0.03,97.1,Muy alta,2.58,94.79,2.63,92.2,Muy alta,-4.9
2025-04,Estable,Estable,Estable,0.28,99.72,0.0,99.6,Muy alta,2.4,94.97,2.63,92.5,Muy alta,-7.1
2025-05,Estable,Estable,Estable,0.01,99.99,0.0,100.0,Muy alta,2.37,95.0,2.63,92.5,Muy alta,-7.5
2025-06,Estable,Estable,Estable,0.0,100.0,0.0,100.0,Muy alta,2.37,95.0,2.63,92.5,Muy alta,-7.5
2025-07,Estable,Estable,Estable,0.0,100.0,0.0,100.0,Muy alta,2.37,95.0,2.63,92.5,Muy alta,-7.5
2025-08,Estable,Estable,Estable,0.0,100.0,0.0,100.0,Muy alta,2.37,95.0,2.63,92.5,Muy alta,-7.5
2025-09,Baja,Baja,Estable,61.59,35.91,2.5,42.4,Moderada,27.08,69.84,3.08,54.8,Moderada,12.4
2025-10,Baja,Baja,Estable,65.52,33.43,1.06,48.3,Moderada,30.35,66.78,2.87,50.2,Moderada,1.9
2025-11,Baja,Baja,Estable,74.17,25.22,0.6,61.3,Alta,39.0,58.18,2.82,37.3,Moderada,-24.0
2025-12,Estable,Estable,Estable,36.02,63.22,0.76,44.8,Moderada,10.48,86.77,2.75,80.1,Muy alta,35.3
