Fecha,Real,Pred_orig,Pred_cal,P_Baja_orig,P_Est_orig,P_Sube_orig,Conf_orig,Nivel_orig,P_Baja_cal,P_Est_cal,P_Sube_cal,Conf_cal,Nivel_cal,DeltaConf
2024-01,Estable,Estable,Estable,32.74,55.6,11.67,33.4,Baja,12.92,82.22,4.86,73.3,Alta,39.9
2024-02,Estable,Estable,Estable,20.92,65.37,13.71,48.1,Moderada,8.37,86.42,5.2,79.6,Muy alta,31.5
2024-03,Estable,Estable,Estable,16.46,69.95,13.59,54.9,Moderada,7.06,87.8,5.14,81.7,Muy alta,26.8
2024-04,Estable,Estable,Estable,18.24,74.54,7.22,61.8,Alta,7.45,88.65,3.9,83.0,Muy alta,21.2
2024-05,Estable,Estable,Estable,14.54,76.96,8.51,65.4,Alta,6.5,89.39,4.11,84.1,Muy alta,18.7
2024-06,Estable,Estable,Estable,14.09,75.78,10.12,63.7,Alta,6.4,89.19,4.41,83.8,Muy alta,20.1
2024-07,Estable,Estable,Estable,17.26,76.49,6.24,64.7,Alta,7.17,89.09,3.74,83.6,Muy alta,18.9
2024-08,Baja,Estable,Estable,20.64,72.99,6.37,59.5,Alta,8.13,88.1,3.77,82.1,Muy alta,22.6
2024-09,Baja,Estable,Estable,40.79,58.43,0.78,37.6,Moderada,16.3,80.73,2.97,71.1,Alta,33.5
2024-10,Baja,Baja,Estable,58.48,41.43,0.09,37.7,Moderada,28.14,68.97,2.89,53.5,Moderada,15.8
2024-11,Estable,Estable,Estable,29.49,69.33,1.18,54.0,Moderada,11.06,85.93,3.01,78.9,Muy alta,24.9
2024-12,Baja,Estable,Estable,34.91,63.41,1.68,45.1,Moderada,13.4,83.51,3.09,75.3,Muy alta,30.2
2025-01,Estable,Baja,Estable,50.15,49.07,0.78,25.2,Baja,22.05,74.97,2.98,62.5,Alta,37.3
2025-02,Estable,Estable,Estable,30.41,65.62,3.97,48.4,Moderada,11.54,85.05,3.42,77.6,Muy alta,29.2
2025-03,Estable,Estable,Estable,38.72,59.69,1.58,39.5,Moderada,15.26,81.66,3.08,72.5,Alta,33.0
2025-04,Estable,Estable,Estable,43.31,55.28,1.41,32.9,Baja,17.78,79.16,3.06,68.7,Alta,35.8
2025-05,Estable,Estable,Estable,34.92,63.21,1.86,44.8,Moderada,13.42,83.47,3.11,75.2,Muy alta,30.4
2025-06,Estable,Estable,Estable,19.02,78.1,2.88,67.1,Alta,7.61,89.16,3.23,83.7,Muy alta,16.6
2025-07,Estable,Estable,Estable,15.86,81.44,2.69,72.2,Alta,6.76,90.04,3.2,85.1,Muy alta,12.9
2025-08,Estable,Estable,Estable,13.12,84.08,2.8,76.1,Muy alta,6.11,90.68,3.21,86.0,Muy alta,9.9
2025-09,Estable,Estable,Estable,13.76,85.37,0.87,78.0,Muy alta,6.24,90.81,2.96,86.2,Muy alta,8.2
2025-10,Baja,Estable,Estable,12.46,87.31,0.23,81.0,Muy alta,5.94,91.19,2.87,86.8,Muy alta,5.8
2025-11,Baja,Estable,Estable,17.36,82.53,0.11,73.8,Alta,7.12,90.02,2.86,85.0,Muy alta,11.2
2025-12,Estable,Estable,Estable,4.97,95.0,0.03,92.5,Muy alta,4.48,92.67,2.85,89.0,Muy alta,-3.5
