Fecha,Real,Pred_orig,Pred_cal,P_Baja_orig,P_Est_orig,P_Sube_orig,Conf_orig,Nivel_orig,P_Baja_cal,P_Est_cal,P_Sube_cal,Conf_cal,Nivel_cal,DeltaConf
2024-01,Estable,Estable,Estable,32.74,55.6,11.67,33.4,Baja,13.95,86.05,0.0,79.1,Muy alta,45.7
2024-02,Estable,Estable,Estable,20.92,65.37,13.71,48.1,Moderada,13.95,86.05,0.0,79.1,Muy alta,31.0
2024-03,Estable,Estable,Estable,16.46,69.95,13.59,54.9,Moderada,7.53,92.47,0.0,88.7,Muy alta,33.8
2024-04,Estable,Estable,Estable,18.24,74.54,7.22,61.8,Alta,7.41,92.59,0.0,88.9,Muy alta,27.1
2024-05,Estable,Estable,Estable,14.54,76.96,8.51,65.4,Alta,7.41,92.59,0.0,88.9,Muy alta,23.5
2024-06,Estable,Estable,Estable,14.09,75.78,10.12,63.7,Alta,7.41,92.59,0.0,88.9,Muy alta,25.2
2024-07,Estable,Estable,Estable,17.26,76.49,6.24,64.7,Alta,7.41,92.59,0.0,88.9,Muy alta,24.2
2024-08,Baja,Estable,Estable,20.64,72.99,6.37,59.5,Alta,13.53,86.47,0.0,79.7,Muy alta,20.2
2024-09,Baja,Estable,Estable,40.79,58.43,0.78,37.6,Moderada,13.95,86.05,0.0,79.1,Muy alta,41.5
2024-10,Baja,Baja,Estable,58.48,41.43,0.09,37.7,Moderada,45.56,54.44,0.0,31.7,Baja,-6.0
2024-11,Estable,Estable,Estable,29.49,69.33,1.18,54.0,Moderada,13.8,86.2,0.0,79.3,Muy alta,25.3
2024-12,Baja,Estable,Estable,34.91,63.41,1.68,45.1,Moderada,13.95,86.05,0.0,79.1,Muy alta,34.0
2025-01,Estable,Baja,Estable,50.15,49.07,0.78,25.2,Baja,13.95,86.05,0.0,79.1,Muy alta,53.9
2025-02,Estable,Estable,Estable,30.41,65.62,3.97,48.4,Moderada,13.95,86.05,0.0,79.1,Muy alta,30.7
2025-03,Estable,Estable,Estable,38.72,59.69,1.58,39.5,Moderada,13.95,86.05,0.0,79.1,Muy alta,39.6
2025-04,Estable,Estable,Estable,43.31,55.28,1.41,32.9,Baja,13.95,86.05,0.0,79.1,Muy alta,46.2
2025-05,Estable,Estable,Estable,34.92,63.21,1.86,44.8,Moderada,13.95,86.05,0.0,79.1,Muy alta,34.3
2025-06,Estable,Estable,Estable,19.02,78.1,2.88,67.1,Alta,13.53,86.47,0.0,79.7,Muy alta,12.6
2025-07,Estable,Estable,Estable,15.86,81.44,2.69,72.2,Alta,6.37,93.63,0.0,90.4,Muy alta,18.2
2025-08,Estable,Estable,Estable,13.12,84.08,2.8,76.1,Muy alta,6.37,93.63,0.0,90.4,Muy alta,14.3
2025-09,Estable,Estable,Estable,13.76,85.37,0.87,78.0,Muy alta,6.37,93.63,0.0,90.4,Muy alta,12.4
2025-10,Baja,Estable,Estable,12.46,87.31,0.23,81.0,Muy alta,1.17,98.83,0.0,98.2,Muy alta,17.2
2025-11,Baja,Estable,Estable,17.36,82.53,0.11,73.8,Alta,6.37,93.63,0.0,90.4,Muy alta,16.6
2025-12,Estable,Estable,Estable,4.97,95.0,0.03,92.5,Muy alta,1.17,98.83,0.0,98.2,Muy alta,5.7
