,Banco,Escenario,tipo_predicho,direccion,P_Baja,P_Estable,P_Sube,Confidence_Score,Upward_Score,Downward_Score,Stability_Score,Net_Score
2026-01-01,BCE,Base,1.95,Estable,0.01,70.07,29.92,55.1,29.9,0.0,70.1,29.9
2026-02-01,BCE,Base,1.9,Estable,0.02,74.93,25.05,62.4,25.1,0.0,74.9,25.0
2026-03-01,BCE,Base,1.85,Estable,0.01,75.27,24.71,62.9,24.7,0.0,75.3,24.7
2026-04-01,BCE,Base,1.8,Estable,0.01,75.61,24.37,63.4,24.4,0.0,75.6,24.4
2026-05-01,BCE,Base,1.75,Estable,0.01,75.95,24.04,63.9,24.0,0.0,76.0,24.0
2026-06-01,BCE,Base,1.7,Estable,0.01,76.28,23.7,64.4,23.7,0.0,76.3,23.7
2026-07-01,BCE,Base,1.65,Estable,0.01,76.61,23.38,64.9,23.4,0.0,76.6,23.4
2026-08-01,BCE,Base,1.6,Estable,0.01,76.94,23.05,65.4,23.0,0.0,76.9,23.0
2026-09-01,BCE,Base,1.55,Estable,0.01,77.26,22.73,65.9,22.7,0.0,77.3,22.7
2026-10-01,BCE,Base,1.5,Estable,0.01,77.59,22.41,66.4,22.4,0.0,77.6,22.4
2026-11-01,BCE,Base,1.45,Estable,0.01,77.9,22.09,66.9,22.1,0.0,77.9,22.1
2026-12-01,BCE,Base,1.4,Estable,0.01,78.22,21.78,67.3,21.8,0.0,78.2,21.8
2027-01-01,BCE,Base,1.2,Estable,0.0,83.39,16.6,75.1,16.6,0.0,83.4,16.6
2027-02-01,BCE,Base,1.2,Estable,0.01,90.97,9.02,86.5,9.0,0.0,91.0,9.0
2027-03-01,BCE,Base,1.2,Estable,0.0,80.6,19.4,70.9,19.4,0.0,80.6,19.4
2027-04-01,BCE,Base,1.2,Estable,0.0,80.88,19.12,71.3,19.1,0.0,80.9,19.1
2027-05-01,BCE,Base,1.2,Estable,0.0,81.16,18.83,71.7,18.8,0.0,81.2,18.8
2027-06-01,BCE,Base,1.2,Estable,0.0,81.44,18.56,72.2,18.6,0.0,81.4,18.6
2027-07-01,BCE,Base,1.2,Estable,0.0,81.72,18.28,72.6,18.3,0.0,81.7,18.3
2027-08-01,BCE,Base,1.2,Estable,0.0,81.99,18.01,73.0,18.0,0.0,82.0,18.0
2027-09-01,BCE,Base,1.2,Estable,0.0,82.26,17.74,73.4,17.7,0.0,82.3,17.7
2027-10-01,BCE,Base,1.2,Estable,0.0,82.52,17.48,73.8,17.5,0.0,82.5,17.5
2027-11-01,BCE,Base,1.2,Estable,0.0,82.79,17.21,74.2,17.2,0.0,82.8,17.2
2027-12-01,BCE,Base,1.2,Estable,0.0,83.05,16.95,74.6,17.0,0.0,83.0,17.0
2028-01-01,BCE,Base,1.1,Estable,0.0,85.47,14.53,78.2,14.5,0.0,85.5,14.5
2028-02-01,BCE,Base,1.1,Estable,0.0,90.4,9.6,85.6,9.6,0.0,90.4,9.6
2028-03-01,BCE,Base,1.1,Estable,0.0,85.92,14.08,78.9,14.1,0.0,85.9,14.1
2028-04-01,BCE,Base,1.1,Estable,0.0,86.14,13.86,79.2,13.9,0.0,86.1,13.9
2028-05-01,BCE,Base,1.1,Estable,0.0,86.36,13.64,79.5,13.6,0.0,86.4,13.6
2028-06-01,BCE,Base,1.1,Estable,0.0,86.57,13.43,79.9,13.4,0.0,86.6,13.4
2028-07-01,BCE,Base,1.1,Estable,0.0,86.78,13.22,80.2,13.2,0.0,86.8,13.2
2028-08-01,BCE,Base,1.1,Estable,0.0,86.99,13.01,80.5,13.0,0.0,87.0,13.0
2028-09-01,BCE,Base,1.1,Estable,0.0,87.2,12.8,80.8,12.8,0.0,87.2,12.8
2028-10-01,BCE,Base,1.1,Estable,0.0,87.4,12.6,81.1,12.6,0.0,87.4,12.6
2028-11-01,BCE,Base,1.1,Estable,0.0,87.6,12.4,81.4,12.4,0.0,87.6,12.4
2028-12-01,BCE,Base,1.1,Estable,0.0,87.8,12.2,81.7,12.2,0.0,87.8,12.2
2029-01-01,BCE,Base,1.15,Estable,0.0,88.19,11.81,82.3,11.8,0.0,88.2,11.8
2029-02-01,BCE,Base,1.15,Estable,0.0,85.85,14.15,78.8,14.2,0.0,85.8,14.2
2029-03-01,BCE,Base,1.15,Estable,0.0,88.57,11.43,82.9,11.4,0.0,88.6,11.4
