,Banco,Escenario,tipo_predicho,direccion,P_Baja,P_Estable,P_Sube,Confidence_Score,Upward_Score,Downward_Score,Stability_Score,Net_Score
2026-01-01,BCE,Base,1.8873,Estable,0.02,62.71,37.27,44.1,37.3,0.0,62.7,37.2
2026-02-01,BCE,Base,1.843,Estable,0.02,62.71,37.27,44.1,37.3,0.0,62.7,37.2
2026-03-01,BCE,Base,1.7987,Estable,0.02,62.71,37.27,44.1,37.3,0.0,62.7,37.2
2026-04-01,BCE,Base,1.7544,Estable,0.02,62.71,37.27,44.1,37.3,0.0,62.7,37.2
2026-05-01,BCE,Base,1.7101,Estable,0.02,62.71,37.27,44.1,37.3,0.0,62.7,37.2
2026-06-01,BCE,Base,1.6658,Estable,0.02,62.71,37.27,44.1,37.3,0.0,62.7,37.2
2026-07-01,BCE,Base,1.6215,Estable,0.02,62.71,37.27,44.1,37.3,0.0,62.7,37.2
2026-08-01,BCE,Base,1.5772,Estable,0.02,62.71,37.27,44.1,37.3,0.0,62.7,37.2
2026-09-01,BCE,Base,1.5329,Estable,0.02,62.71,37.27,44.1,37.3,0.0,62.7,37.2
2026-10-01,BCE,Base,1.4886,Estable,0.02,62.71,37.27,44.1,37.3,0.0,62.7,37.2
2026-11-01,BCE,Base,1.4443,Estable,0.02,62.71,37.27,44.1,37.3,0.0,62.7,37.2
2026-12-01,BCE,Base,1.4,Estable,0.02,62.71,37.27,44.1,37.3,0.0,62.7,37.2
2027-01-01,BCE,Base,1.2,Estable,0.01,70.16,29.83,55.2,29.8,0.0,70.2,29.8
2027-02-01,BCE,Base,1.2,Estable,0.01,70.16,29.83,55.2,29.8,0.0,70.2,29.8
2027-03-01,BCE,Base,1.2,Estable,0.01,70.16,29.83,55.2,29.8,0.0,70.2,29.8
2027-04-01,BCE,Base,1.2,Estable,0.01,70.16,29.83,55.2,29.8,0.0,70.2,29.8
2027-05-01,BCE,Base,1.2,Estable,0.01,70.16,29.83,55.2,29.8,0.0,70.2,29.8
2027-06-01,BCE,Base,1.2,Estable,0.01,70.16,29.83,55.2,29.8,0.0,70.2,29.8
2027-07-01,BCE,Base,1.2,Estable,0.01,70.16,29.83,55.2,29.8,0.0,70.2,29.8
2027-08-01,BCE,Base,1.2,Estable,0.01,70.16,29.83,55.2,29.8,0.0,70.2,29.8
2027-09-01,BCE,Base,1.2,Estable,0.01,70.16,29.83,55.2,29.8,0.0,70.2,29.8
2027-10-01,BCE,Base,1.2,Estable,0.01,70.16,29.83,55.2,29.8,0.0,70.2,29.8
2027-11-01,BCE,Base,1.2,Estable,0.01,70.16,29.83,55.2,29.8,0.0,70.2,29.8
2027-12-01,BCE,Base,1.2,Estable,0.01,70.16,29.83,55.2,29.8,0.0,70.2,29.8
2028-01-01,BCE,Base,1.1,Estable,0.01,73.51,26.48,60.3,26.5,0.0,73.5,26.5
2028-02-01,BCE,Base,1.1,Estable,0.01,73.51,26.48,60.3,26.5,0.0,73.5,26.5
2028-03-01,BCE,Base,1.1,Estable,0.01,73.51,26.48,60.3,26.5,0.0,73.5,26.5
2028-04-01,BCE,Base,1.1,Estable,0.01,73.51,26.48,60.3,26.5,0.0,73.5,26.5
2028-05-01,BCE,Base,1.1,Estable,0.01,73.51,26.48,60.3,26.5,0.0,73.5,26.5
2028-06-01,BCE,Base,1.1,Estable,0.01,73.51,26.48,60.3,26.5,0.0,73.5,26.5
2028-07-01,BCE,Base,1.1,Estable,0.01,73.51,26.48,60.3,26.5,0.0,73.5,26.5
2028-08-01,BCE,Base,1.1,Estable,0.01,73.51,26.48,60.3,26.5,0.0,73.5,26.5
2028-09-01,BCE,Base,1.1,Estable,0.01,73.51,26.48,60.3,26.5,0.0,73.5,26.5
2028-10-01,BCE,Base,1.1,Estable,0.01,73.51,26.48,60.3,26.5,0.0,73.5,26.5
2028-11-01,BCE,Base,1.1,Estable,0.01,73.51,26.48,60.3,26.5,0.0,73.5,26.5
2028-12-01,BCE,Base,1.1,Estable,0.01,73.51,26.48,60.3,26.5,0.0,73.5,26.5
2029-01-01,BCE,Base,1.15,Estable,0.01,73.99,26.0,61.0,26.0,0.0,74.0,26.0
2029-02-01,BCE,Base,1.15,Estable,0.01,73.99,26.0,61.0,26.0,0.0,74.0,26.0
2029-03-01,BCE,Base,1.15,Estable,0.01,73.99,26.0,61.0,26.0,0.0,74.0,26.0
2029-04-01,BCE,Base,1.15,Estable,0.01,73.99,26.0,61.0,26.0,0.0,74.0,26.0
2029-05-01,BCE,Base,1.15,Estable,0.01,73.99,26.0,61.0,26.0,0.0,74.0,26.0
2029-06-01,BCE,Base,1.15,Estable,0.01,73.99,26.0,61.0,26.0,0.0,74.0,26.0
2029-07-01,BCE,Base,1.15,Estable,0.01,73.99,26.0,61.0,26.0,0.0,74.0,26.0
2029-08-01,BCE,Base,1.15,Estable,0.01,73.99,26.0,61.0,26.0,0.0,74.0,26.0
2029-09-01,BCE,Base,1.15,Estable,0.01,73.99,26.0,61.0,26.0,0.0,74.0,26.0
2029-10-01,BCE,Base,1.15,Estable,0.01,73.99,26.0,61.0,26.0,0.0,74.0,26.0
2029-11-01,BCE,Base,1.15,Estable,0.01,73.99,26.0,61.0,26.0,0.0,74.0,26.0
2029-12-01,BCE,Base,1.15,Estable,0.01,73.99,26.0,61.0,26.0,0.0,74.0,26.0
2030-01-01,BCE,Base,1.15,Estable,0.01,72.62,27.37,58.9,27.4,0.0,72.6,27.4
2030-02-01,BCE,Base,1.15,Estable,0.01,72.62,27.37,58.9,27.4,0.0,72.6,27.4
2030-03-01,BCE,Base,1.15,Estable,0.01,72.62,27.37,58.9,27.4,0.0,72.6,27.4
2030-04-01,BCE,Base,1.15,Estable,0.01,72.62,27.37,58.9,27.4,0.0,72.6,27.4
2030-05-01,BCE,Base,1.15,Estable,0.01,72.62,27.37,58.9,27.4,0.0,72.6,27.4
