,Banco,Escenario,tipo_predicho,direccion,P_Baja,P_Estable,P_Sube,Confidence_Score,Upward_Score,Downward_Score,Stability_Score,Net_Score
2026-01-01,BCE,Base,1.8873,Estable,0.67,97.74,1.59,96.6,1.6,0.7,97.7,0.9
2026-02-01,BCE,Base,1.843,Estable,0.67,97.74,1.59,96.6,1.6,0.7,97.7,0.9
2026-03-01,BCE,Base,1.7987,Estable,0.67,97.74,1.59,96.6,1.6,0.7,97.7,0.9
2026-04-01,BCE,Base,1.7544,Estable,0.67,97.74,1.59,96.6,1.6,0.7,97.7,0.9
2026-05-01,BCE,Base,1.7101,Estable,0.67,97.74,1.59,96.6,1.6,0.7,97.7,0.9
2026-06-01,BCE,Base,1.6658,Estable,0.67,97.74,1.59,96.6,1.6,0.7,97.7,0.9
2026-07-01,BCE,Base,1.6215,Estable,0.67,97.74,1.59,96.6,1.6,0.7,97.7,0.9
2026-08-01,BCE,Base,1.5772,Estable,0.67,97.74,1.59,96.6,1.6,0.7,97.7,0.9
2026-09-01,BCE,Base,1.5329,Estable,0.67,97.74,1.59,96.6,1.6,0.7,97.7,0.9
2026-10-01,BCE,Base,1.4886,Estable,0.67,97.74,1.59,96.6,1.6,0.7,97.7,0.9
2026-11-01,BCE,Base,1.4443,Estable,0.67,97.74,1.59,96.6,1.6,0.7,97.7,0.9
2026-12-01,BCE,Base,1.4,Estable,0.67,97.74,1.59,96.6,1.6,0.7,97.7,0.9
2027-01-01,BCE,Base,1.2,Estable,0.49,98.39,1.13,97.6,1.1,0.5,98.4,0.6
2027-02-01,BCE,Base,1.2,Estable,0.49,98.39,1.13,97.6,1.1,0.5,98.4,0.6
2027-03-01,BCE,Base,1.2,Estable,0.49,98.39,1.13,97.6,1.1,0.5,98.4,0.6
2027-04-01,BCE,Base,1.2,Estable,0.49,98.39,1.13,97.6,1.1,0.5,98.4,0.6
2027-05-01,BCE,Base,1.2,Estable,0.49,98.39,1.13,97.6,1.1,0.5,98.4,0.6
2027-06-01,BCE,Base,1.2,Estable,0.49,98.39,1.13,97.6,1.1,0.5,98.4,0.6
