,Banco,Escenario,tipo_predicho,direccion,P_Baja,P_Estable,P_Sube,Confidence_Score,Upward_Score,Downward_Score,Stability_Score,Net_Score
2026-01-01,BCE,Optimista,1.9458,Estable,0.0,71.12,28.87,56.7,28.9,0.0,71.1,28.9
2026-02-01,BCE,Optimista,1.8917,Estable,0.01,76.22,23.77,64.3,23.8,0.0,76.2,23.8
2026-03-01,BCE,Optimista,1.8375,Estable,0.0,76.55,23.44,64.8,23.4,0.0,76.6,23.4
2026-04-01,BCE,Optimista,1.7833,Estable,0.0,76.88,23.12,65.3,23.1,0.0,76.9,23.1
2026-05-01,BCE,Optimista,1.7292,Estable,0.0,77.2,22.79,65.8,22.8,0.0,77.2,22.8
2026-06-01,BCE,Optimista,1.675,Estable,0.0,77.52,22.47,66.3,22.5,0.0,77.5,22.5
2026-07-01,BCE,Optimista,1.6208,Estable,0.0,77.84,22.16,66.8,22.2,0.0,77.8,22.2
2026-08-01,BCE,Optimista,1.5667,Estable,0.0,78.16,21.84,67.2,21.8,0.0,78.2,21.8
2026-09-01,BCE,Optimista,1.5125,Estable,0.0,78.47,21.53,67.7,21.5,0.0,78.5,21.5
2026-10-01,BCE,Optimista,1.4583,Estable,0.0,78.77,21.22,68.2,21.2,0.0,78.8,21.2
2026-11-01,BCE,Optimista,1.4042,Estable,0.0,79.08,20.92,68.6,20.9,0.0,79.1,20.9
2026-12-01,BCE,Optimista,1.35,Estable,0.0,79.38,20.62,69.1,20.6,0.0,79.4,20.6
2027-01-01,BCE,Optimista,1.2,Estable,0.0,78.79,21.21,68.2,21.2,0.0,78.8,21.2
2027-02-01,BCE,Optimista,1.2,Estable,0.0,85.37,14.62,78.1,14.6,0.0,85.4,14.6
2027-03-01,BCE,Optimista,1.2,Estable,0.0,75.09,24.9,62.6,24.9,0.0,75.1,24.9
2027-04-01,BCE,Optimista,1.2,Estable,0.0,75.44,24.56,63.2,24.6,0.0,75.4,24.6
2027-05-01,BCE,Optimista,1.2,Estable,0.0,75.77,24.23,63.7,24.2,0.0,75.8,24.2
2027-06-01,BCE,Optimista,1.2,Estable,0.0,76.11,23.89,64.2,23.9,0.0,76.1,23.9
2027-07-01,BCE,Optimista,1.2,Estable,0.0,76.44,23.56,64.7,23.6,0.0,76.4,23.6
2027-08-01,BCE,Optimista,1.2,Estable,0.0,76.77,23.23,65.2,23.2,0.0,76.8,23.2
2027-09-01,BCE,Optimista,1.2,Estable,0.0,77.09,22.91,65.6,22.9,0.0,77.1,22.9
2027-10-01,BCE,Optimista,1.2,Estable,0.0,77.41,22.59,66.1,22.6,0.0,77.4,22.6
2027-11-01,BCE,Optimista,1.2,Estable,0.0,77.73,22.27,66.6,22.3,0.0,77.7,22.3
2027-12-01,BCE,Optimista,1.2,Estable,0.0,78.05,21.95,67.1,22.0,0.0,78.0,22.0
2028-01-01,BCE,Optimista,1.1,Estable,0.0,80.41,19.59,70.6,19.6,0.0,80.4,19.6
2028-02-01,BCE,Optimista,1.1,Estable,0.0,86.8,13.2,80.2,13.2,0.0,86.8,13.2
2028-03-01,BCE,Optimista,1.1,Estable,0.0,80.98,19.02,71.5,19.0,0.0,81.0,19.0
2028-04-01,BCE,Optimista,1.1,Estable,0.0,81.26,18.74,71.9,18.7,0.0,81.3,18.7
2028-05-01,BCE,Optimista,1.1,Estable,0.0,81.54,18.46,72.3,18.5,0.0,81.5,18.5
2028-06-01,BCE,Optimista,1.1,Estable,0.0,81.81,18.19,72.7,18.2,0.0,81.8,18.2
2028-07-01,BCE,Optimista,1.1,Estable,0.0,82.08,17.92,73.1,17.9,0.0,82.1,17.9
2028-08-01,BCE,Optimista,1.1,Estable,0.0,82.35,17.65,73.5,17.6,0.0,82.3,17.6
2028-09-01,BCE,Optimista,1.1,Estable,0.0,82.61,17.39,73.9,17.4,0.0,82.6,17.4
2028-10-01,BCE,Optimista,1.1,Estable,0.0,82.88,17.12,74.3,17.1,0.0,82.9,17.1
2028-11-01,BCE,Optimista,1.1,Estable,0.0,83.13,16.87,74.7,16.9,0.0,83.1,16.9
2028-12-01,BCE,Optimista,1.1,Estable,0.0,83.39,16.61,75.1,16.6,0.0,83.4,16.6
2029-01-01,BCE,Optimista,1.15,Estable,0.0,84.22,15.78,76.3,15.8,0.0,84.2,15.8
2029-02-01,BCE,Optimista,1.15,Estable,0.0,81.26,18.74,71.9,18.7,0.0,81.3,18.7
2029-03-01,BCE,Optimista,1.15,Estable,0.0,84.7,15.3,77.1,15.3,0.0,84.7,15.3
2029-04-01,BCE,Optimista,1.15,Estable,0.0,84.94,15.06,77.4,15.1,0.0,84.9,15.1
2029-05-01,BCE,Optimista,1.15,Estable,0.0,85.17,14.83,77.8,14.8,0.0,85.2,14.8
2029-06-01,BCE,Optimista,1.15,Estable,0.0,85.4,14.6,78.1,14.6,0.0,85.4,14.6
2029-07-01,BCE,Optimista,1.15,Estable,0.0,85.63,14.37,78.4,14.4,0.0,85.6,14.4
2029-08-01,BCE,Optimista,1.15,Estable,0.0,85.85,14.15,78.8,14.1,0.0,85.9,14.1
2029-09-01,BCE,Optimista,1.15,Estable,0.0,86.07,13.93,79.1,13.9,0.0,86.1,13.9
2029-10-01,BCE,Optimista,1.15,Estable,0.0,86.29,13.71,79.4,13.7,0.0,86.3,13.7
2029-11-01,BCE,Optimista,1.15,Estable,0.0,86.51,13.49,79.8,13.5,0.0,86.5,13.5
2029-12-01,BCE,Optimista,1.15,Estable,0.0,86.72,13.28,80.1,13.3,0.0,86.7,13.3
2030-01-01,BCE,Optimista,1.0,Estable,0.0,88.94,11.06,83.4,11.1,0.0,88.9,11.1
2030-02-01,BCE,Optimista,1.0,Estable,0.0,94.17,5.83,91.3,5.8,0.0,94.2,5.8
2030-03-01,BCE,Optimista,1.0,Estable,0.0,89.29,10.71,83.9,10.7,0.0,89.3,10.7
2030-04-01,BCE,Optimista,1.0,Estable,0.0,89.47,10.53,84.2,10.5,0.0,89.5,10.5
2030-05-01,BCE,Optimista,1.0,Estable,0.0,89.64,10.36,84.5,10.4,0.0,89.6,10.4
2030-06-01,BCE,Optimista,1.0,Estable,0.0,89.81,10.19,84.7,10.2,0.0,89.8,10.2
2030-07-01,BCE,Optimista,1.0,Estable,0.0,89.97,10.03,85.0,10.0,0.0,90.0,10.0
2030-08-01,BCE,Optimista,1.0,Estable,0.0,90.14,9.86,85.2,9.9,0.0,90.1,9.9
2030-09-01,BCE,Optimista,1.0,Estable,0.0,90.3,9.7,85.5,9.7,0.0,90.3,9.7
2030-10-01,BCE,Optimista,1.0,Estable,0.0,90.46,9.54,85.7,9.5,0.0,90.5,9.5
2030-11-01,BCE,Optimista,1.0,Estable,0.0,90.62,9.38,85.9,9.4,0.0,90.6,9.4
2030-12-01,BCE,Optimista,1.0,Estable,0.0,90.77,9.23,86.2,9.2,0.0,90.8,9.2
