,Banco,Escenario,tipo_predicho,direccion,P_Baja,P_Estable,P_Sube,Confidence_Score,Upward_Score,Downward_Score,Stability_Score,Net_Score
2026-01-01,BCE,Optimista,1.8831,Estable,0.01,65.92,34.08,48.9,34.1,0.0,65.9,34.1
2026-02-01,BCE,Optimista,1.8347,Estable,0.01,65.92,34.08,48.9,34.1,0.0,65.9,34.1
2026-03-01,BCE,Optimista,1.7862,Estable,0.01,65.92,34.08,48.9,34.1,0.0,65.9,34.1
2026-04-01,BCE,Optimista,1.7377,Estable,0.01,65.92,34.08,48.9,34.1,0.0,65.9,34.1
2026-05-01,BCE,Optimista,1.6893,Estable,0.01,65.92,34.08,48.9,34.1,0.0,65.9,34.1
2026-06-01,BCE,Optimista,1.6408,Estable,0.01,65.92,34.08,48.9,34.1,0.0,65.9,34.1
2026-07-01,BCE,Optimista,1.5923,Estable,0.01,65.92,34.08,48.9,34.1,0.0,65.9,34.1
2026-08-01,BCE,Optimista,1.5439,Estable,0.01,65.92,34.08,48.9,34.1,0.0,65.9,34.1
2026-09-01,BCE,Optimista,1.4954,Estable,0.01,65.92,34.08,48.9,34.1,0.0,65.9,34.1
2026-10-01,BCE,Optimista,1.4469,Estable,0.01,65.92,34.08,48.9,34.1,0.0,65.9,34.1
2026-11-01,BCE,Optimista,1.3985,Estable,0.01,65.92,34.08,48.9,34.1,0.0,65.9,34.1
2026-12-01,BCE,Optimista,1.35,Estable,0.01,65.92,34.08,48.9,34.1,0.0,65.9,34.1
2027-01-01,BCE,Optimista,1.2,Estable,0.0,64.96,35.04,47.4,35.0,0.0,65.0,35.0
2027-02-01,BCE,Optimista,1.2,Estable,0.0,64.96,35.04,47.4,35.0,0.0,65.0,35.0
2027-03-01,BCE,Optimista,1.2,Estable,0.0,64.96,35.04,47.4,35.0,0.0,65.0,35.0
2027-04-01,BCE,Optimista,1.2,Estable,0.0,64.96,35.04,47.4,35.0,0.0,65.0,35.0
2027-05-01,BCE,Optimista,1.2,Estable,0.0,64.96,35.04,47.4,35.0,0.0,65.0,35.0
2027-06-01,BCE,Optimista,1.2,Estable,0.0,64.96,35.04,47.4,35.0,0.0,65.0,35.0
2027-07-01,BCE,Optimista,1.2,Estable,0.0,64.96,35.04,47.4,35.0,0.0,65.0,35.0
2027-08-01,BCE,Optimista,1.2,Estable,0.0,64.96,35.04,47.4,35.0,0.0,65.0,35.0
2027-09-01,BCE,Optimista,1.2,Estable,0.0,64.96,35.04,47.4,35.0,0.0,65.0,35.0
2027-10-01,BCE,Optimista,1.2,Estable,0.0,64.96,35.04,47.4,35.0,0.0,65.0,35.0
2027-11-01,BCE,Optimista,1.2,Estable,0.0,64.96,35.04,47.4,35.0,0.0,65.0,35.0
2027-12-01,BCE,Optimista,1.2,Estable,0.0,64.96,35.04,47.4,35.0,0.0,65.0,35.0
2028-01-01,BCE,Optimista,1.1,Estable,0.0,67.78,32.22,51.7,32.2,0.0,67.8,32.2
2028-02-01,BCE,Optimista,1.1,Estable,0.0,67.78,32.22,51.7,32.2,0.0,67.8,32.2
2028-03-01,BCE,Optimista,1.1,Estable,0.0,67.78,32.22,51.7,32.2,0.0,67.8,32.2
2028-04-01,BCE,Optimista,1.1,Estable,0.0,67.78,32.22,51.7,32.2,0.0,67.8,32.2
2028-05-01,BCE,Optimista,1.1,Estable,0.0,67.78,32.22,51.7,32.2,0.0,67.8,32.2
2028-06-01,BCE,Optimista,1.1,Estable,0.0,67.78,32.22,51.7,32.2,0.0,67.8,32.2
2028-07-01,BCE,Optimista,1.1,Estable,0.0,67.78,32.22,51.7,32.2,0.0,67.8,32.2
2028-08-01,BCE,Optimista,1.1,Estable,0.0,67.78,32.22,51.7,32.2,0.0,67.8,32.2
2028-09-01,BCE,Optimista,1.1,Estable,0.0,67.78,32.22,51.7,32.2,0.0,67.8,32.2
2028-10-01,BCE,Optimista,1.1,Estable,0.0,67.78,32.22,51.7,32.2,0.0,67.8,32.2
2028-11-01,BCE,Optimista,1.1,Estable,0.0,67.78,32.22,51.7,32.2,0.0,67.8,32.2
2028-12-01,BCE,Optimista,1.1,Estable,0.0,67.78,32.22,51.7,32.2,0.0,67.8,32.2
2029-01-01,BCE,Optimista,1.15,Estable,0.0,68.76,31.24,53.1,31.2,0.0,68.8,31.2
2029-02-01,BCE,Optimista,1.15,Estable,0.0,68.76,31.24,53.1,31.2,0.0,68.8,31.2
2029-03-01,BCE,Optimista,1.15,Estable,0.0,68.76,31.24,53.1,31.2,0.0,68.8,31.2
2029-04-01,BCE,Optimista,1.15,Estable,0.0,68.76,31.24,53.1,31.2,0.0,68.8,31.2
2029-05-01,BCE,Optimista,1.15,Estable,0.0,68.76,31.24,53.1,31.2,0.0,68.8,31.2
2029-06-01,BCE,Optimista,1.15,Estable,0.0,68.76,31.24,53.1,31.2,0.0,68.8,31.2
2029-07-01,BCE,Optimista,1.15,Estable,0.0,68.76,31.24,53.1,31.2,0.0,68.8,31.2
2029-08-01,BCE,Optimista,1.15,Estable,0.0,68.76,31.24,53.1,31.2,0.0,68.8,31.2
2029-09-01,BCE,Optimista,1.15,Estable,0.0,68.76,31.24,53.1,31.2,0.0,68.8,31.2
2029-10-01,BCE,Optimista,1.15,Estable,0.0,68.76,31.24,53.1,31.2,0.0,68.8,31.2
2029-11-01,BCE,Optimista,1.15,Estable,0.0,68.76,31.24,53.1,31.2,0.0,68.8,31.2
2029-12-01,BCE,Optimista,1.15,Estable,0.0,68.76,31.24,53.1,31.2,0.0,68.8,31.2
2030-01-01,BCE,Optimista,1.0,Estable,0.0,72.46,27.54,58.7,27.5,0.0,72.5,27.5
2030-02-01,BCE,Optimista,1.0,Estable,0.0,72.46,27.54,58.7,27.5,0.0,72.5,27.5
2030-03-01,BCE,Optimista,1.0,Estable,0.0,72.46,27.54,58.7,27.5,0.0,72.5,27.5
2030-04-01,BCE,Optimista,1.0,Estable,0.0,72.46,27.54,58.7,27.5,0.0,72.5,27.5
2030-05-01,BCE,Optimista,1.0,Estable,0.0,72.46,27.54,58.7,27.5,0.0,72.5,27.5
2030-06-01,BCE,Optimista,1.0,Estable,0.0,72.46,27.54,58.7,27.5,0.0,72.5,27.5
2030-07-01,BCE,Optimista,1.0,Estable,0.0,72.46,27.54,58.7,27.5,0.0,72.5,27.5
2030-08-01,BCE,Optimista,1.0,Estable,0.0,72.46,27.54,58.7,27.5,0.0,72.5,27.5
2030-09-01,BCE,Optimista,1.0,Estable,0.0,72.46,27.54,58.7,27.5,0.0,72.5,27.5
2030-10-01,BCE,Optimista,1.0,Estable,0.0,72.46,27.54,58.7,27.5,0.0,72.5,27.5
2030-11-01,BCE,Optimista,1.0,Estable,0.0,72.46,27.54,58.7,27.5,0.0,72.5,27.5
