,Banco,Escenario,tipo_predicho,direccion,P_Baja,P_Estable,P_Sube,Confidence_Score,Upward_Score,Downward_Score,Stability_Score,Net_Score
2026-01-01,BCE,Optimista,1.8831,Estable,0.22,97.94,1.84,96.9,1.8,0.2,97.9,1.6
2026-02-01,BCE,Optimista,1.8347,Estable,0.22,97.94,1.84,96.9,1.8,0.2,97.9,1.6
2026-03-01,BCE,Optimista,1.7862,Estable,0.22,97.94,1.84,96.9,1.8,0.2,97.9,1.6
2026-04-01,BCE,Optimista,1.7377,Estable,0.22,97.94,1.84,96.9,1.8,0.2,97.9,1.6
2026-05-01,BCE,Optimista,1.6893,Estable,0.22,97.94,1.84,96.9,1.8,0.2,97.9,1.6
2026-06-01,BCE,Optimista,1.6408,Estable,0.22,97.94,1.84,96.9,1.8,0.2,97.9,1.6
2026-07-01,BCE,Optimista,1.5923,Estable,0.22,97.94,1.84,96.9,1.8,0.2,97.9,1.6
2026-08-01,BCE,Optimista,1.5439,Estable,0.22,97.94,1.84,96.9,1.8,0.2,97.9,1.6
2026-09-01,BCE,Optimista,1.4954,Estable,0.22,97.94,1.84,96.9,1.8,0.2,97.9,1.6
2026-10-01,BCE,Optimista,1.4469,Estable,0.22,97.94,1.84,96.9,1.8,0.2,97.9,1.6
2026-11-01,BCE,Optimista,1.3985,Estable,0.22,97.94,1.84,96.9,1.8,0.2,97.9,1.6
2026-12-01,BCE,Optimista,1.35,Estable,0.22,97.94,1.84,96.9,1.8,0.2,97.9,1.6
2027-01-01,BCE,Optimista,1.2,Estable,0.14,98.2,1.65,97.3,1.7,0.1,98.2,1.5
2027-02-01,BCE,Optimista,1.2,Estable,0.14,98.2,1.65,97.3,1.7,0.1,98.2,1.5
2027-03-01,BCE,Optimista,1.2,Estable,0.14,98.2,1.65,97.3,1.7,0.1,98.2,1.5
2027-04-01,BCE,Optimista,1.2,Estable,0.14,98.2,1.65,97.3,1.7,0.1,98.2,1.5
2027-05-01,BCE,Optimista,1.2,Estable,0.14,98.2,1.65,97.3,1.7,0.1,98.2,1.5
2027-06-01,BCE,Optimista,1.2,Estable,0.14,98.2,1.65,97.3,1.7,0.1,98.2,1.5
2027-07-01,BCE,Optimista,1.2,Estable,0.14,98.2,1.65,97.3,1.7,0.1,98.2,1.5
2027-08-01,BCE,Optimista,1.2,Estable,0.14,98.2,1.65,97.3,1.7,0.1,98.2,1.5
2027-09-01,BCE,Optimista,1.2,Estable,0.14,98.2,1.65,97.3,1.7,0.1,98.2,1.5
2027-10-01,BCE,Optimista,1.2,Estable,0.14,98.2,1.65,97.3,1.7,0.1,98.2,1.5
2027-11-01,BCE,Optimista,1.2,Estable,0.14,98.2,1.65,97.3,1.7,0.1,98.2,1.5
2027-12-01,BCE,Optimista,1.2,Estable,0.14,98.2,1.65,97.3,1.7,0.1,98.2,1.5
2028-01-01,BCE,Optimista,1.1,Estable,0.11,98.56,1.33,97.8,1.3,0.1,98.6,1.2
2028-02-01,BCE,Optimista,1.1,Estable,0.11,98.56,1.33,97.8,1.3,0.1,98.6,1.2
2028-03-01,BCE,Optimista,1.1,Estable,0.11,98.56,1.33,97.8,1.3,0.1,98.6,1.2
2028-04-01,BCE,Optimista,1.1,Estable,0.11,98.56,1.33,97.8,1.3,0.1,98.6,1.2
2028-05-01,BCE,Optimista,1.1,Estable,0.11,98.56,1.33,97.8,1.3,0.1,98.6,1.2
2028-06-01,BCE,Optimista,1.1,Estable,0.11,98.56,1.33,97.8,1.3,0.1,98.6,1.2
2028-07-01,BCE,Optimista,1.1,Estable,0.11,98.56,1.33,97.8,1.3,0.1,98.6,1.2
2028-08-01,BCE,Optimista,1.1,Estable,0.11,98.56,1.33,97.8,1.3,0.1,98.6,1.2
2028-09-01,BCE,Optimista,1.1,Estable,0.11,98.56,1.33,97.8,1.3,0.1,98.6,1.2
2028-10-01,BCE,Optimista,1.1,Estable,0.11,98.56,1.33,97.8,1.3,0.1,98.6,1.2
2028-11-01,BCE,Optimista,1.1,Estable,0.11,98.56,1.33,97.8,1.3,0.1,98.6,1.2
2028-12-01,BCE,Optimista,1.1,Estable,0.11,98.56,1.33,97.8,1.3,0.1,98.6,1.2
2029-01-01,BCE,Optimista,1.15,Estable,0.09,98.66,1.25,98.0,1.3,0.1,98.7,1.2
2029-02-01,BCE,Optimista,1.15,Estable,0.09,98.66,1.25,98.0,1.3,0.1,98.7,1.2
2029-03-01,BCE,Optimista,1.15,Estable,0.09,98.66,1.25,98.0,1.3,0.1,98.7,1.2
2029-04-01,BCE,Optimista,1.15,Estable,0.09,98.66,1.25,98.0,1.3,0.1,98.7,1.2
