,Banco,Escenario,tipo_predicho,direccion,P_Baja,P_Estable,P_Sube,Confidence_Score,Upward_Score,Downward_Score,Stability_Score,Net_Score
2026-01-01,BCE,Pesimista,2.0333,Estable,0.26,61.07,38.67,41.6,38.7,0.3,61.1,38.4
2026-02-01,BCE,Pesimista,2.0667,Estable,0.2,57.92,41.87,36.9,41.9,0.2,57.9,41.7
2026-03-01,BCE,Pesimista,2.1,Estable,0.19,58.38,41.44,37.6,41.4,0.2,58.4,41.2
2026-04-01,BCE,Pesimista,2.1333,Estable,0.17,58.83,41.0,38.2,41.0,0.2,58.8,40.8
2026-05-01,BCE,Pesimista,2.1667,Estable,0.16,59.28,40.56,38.9,40.6,0.2,59.3,40.4
2026-06-01,BCE,Pesimista,2.2,Estable,0.15,59.73,40.13,39.6,40.1,0.1,59.7,40.0
2026-07-01,BCE,Pesimista,2.2333,Estable,0.14,60.17,39.69,40.3,39.7,0.1,60.2,39.6
2026-08-01,BCE,Pesimista,2.2667,Estable,0.12,60.62,39.26,40.9,39.3,0.1,60.6,39.1
2026-09-01,BCE,Pesimista,2.3,Estable,0.11,61.06,38.83,41.6,38.8,0.1,61.1,38.7
2026-10-01,BCE,Pesimista,2.3333,Estable,0.11,61.5,38.4,42.2,38.4,0.1,61.5,38.3
2026-11-01,BCE,Pesimista,2.3667,Estable,0.1,61.93,37.97,42.9,38.0,0.1,61.9,37.9
2026-12-01,BCE,Pesimista,2.4,Estable,0.09,62.37,37.54,43.6,37.5,0.1,62.4,37.5
2027-01-01,BCE,Pesimista,3.05,Estable,0.6,57.68,41.72,36.5,41.7,0.6,57.7,41.1
2027-02-01,BCE,Pesimista,3.05,Sube,0.01,7.95,92.04,88.1,92.0,0.0,8.0,92.0
2027-03-01,BCE,Pesimista,3.05,Estable,3.02,52.01,44.97,28.0,45.0,3.0,52.0,42.0
2027-04-01,BCE,Pesimista,3.05,Estable,2.79,52.57,44.63,28.9,44.6,2.8,52.6,41.8
