,Banco,Escenario,tipo_predicho,direccion,P_Baja,P_Estable,P_Sube,Confidence_Score,Upward_Score,Downward_Score,Stability_Score,Net_Score
2026-01-01,BCE,Pesimista,1.9706,Sube,0.33,48.22,51.45,27.2,51.4,0.3,48.2,51.1
2026-02-01,BCE,Pesimista,2.0097,Sube,0.33,48.22,51.45,27.2,51.4,0.3,48.2,51.1
2026-03-01,BCE,Pesimista,2.0487,Sube,0.33,48.22,51.45,27.2,51.4,0.3,48.2,51.1
2026-04-01,BCE,Pesimista,2.0877,Sube,0.33,48.22,51.45,27.2,51.4,0.3,48.2,51.1
2026-05-01,BCE,Pesimista,2.1268,Sube,0.33,48.22,51.45,27.2,51.4,0.3,48.2,51.1
2026-06-01,BCE,Pesimista,2.1658,Sube,0.33,48.22,51.45,27.2,51.4,0.3,48.2,51.1
2026-07-01,BCE,Pesimista,2.2048,Sube,0.33,48.22,51.45,27.2,51.4,0.3,48.2,51.1
2026-08-01,BCE,Pesimista,2.2439,Sube,0.33,48.22,51.45,27.2,51.4,0.3,48.2,51.1
2026-09-01,BCE,Pesimista,2.2829,Sube,0.33,48.22,51.45,27.2,51.4,0.3,48.2,51.1
2026-10-01,BCE,Pesimista,2.3219,Sube,0.33,48.22,51.45,27.2,51.4,0.3,48.2,51.1
2026-11-01,BCE,Pesimista,2.361,Sube,0.33,48.22,51.45,27.2,51.4,0.3,48.2,51.1
2026-12-01,BCE,Pesimista,2.4,Sube,0.33,48.22,51.45,27.2,51.4,0.3,48.2,51.1
2027-01-01,BCE,Pesimista,3.05,Sube,2.01,39.64,58.35,37.5,58.4,2.0,39.6,56.3
2027-02-01,BCE,Pesimista,3.05,Sube,2.01,39.64,58.35,37.5,58.4,2.0,39.6,56.3
2027-03-01,BCE,Pesimista,3.05,Sube,2.01,39.64,58.35,37.5,58.4,2.0,39.6,56.3
2027-04-01,BCE,Pesimista,3.05,Sube,2.01,39.64,58.35,37.5,58.4,2.0,39.6,56.3
2027-05-01,BCE,Pesimista,3.05,Sube,2.01,39.64,58.35,37.5,58.4,2.0,39.6,56.3
2027-06-01,BCE,Pesimista,3.05,Sube,2.01,39.64,58.35,37.5,58.4,2.0,39.6,56.3
2027-07-01,BCE,Pesimista,3.05,Sube,2.01,39.64,58.35,37.5,58.4,2.0,39.6,56.3
2027-08-01,BCE,Pesimista,3.05,Sube,2.01,39.64,58.35,37.5,58.4,2.0,39.6,56.3
2027-09-01,BCE,Pesimista,3.05,Sube,2.01,39.64,58.35,37.5,58.4,2.0,39.6,56.3
2027-10-01,BCE,Pesimista,3.05,Sube,2.01,39.64,58.35,37.5,58.4,2.0,39.6,56.3
2027-11-01,BCE,Pesimista,3.05,Sube,2.01,39.64,58.35,37.5,58.4,2.0,39.6,56.3
2027-12-01,BCE,Pesimista,3.05,Sube,2.01,39.64,58.35,37.5,58.4,2.0,39.6,56.3
2028-01-01,BCE,Pesimista,2.6,Estable,2.47,49.52,48.0,24.3,48.0,2.5,49.5,45.5
2028-02-01,BCE,Pesimista,2.6,Estable,2.47,49.52,48.0,24.3,48.0,2.5,49.5,45.5
2028-03-01,BCE,Pesimista,2.6,Estable,2.47,49.52,48.0,24.3,48.0,2.5,49.5,45.5
2028-04-01,BCE,Pesimista,2.6,Estable,2.47,49.52,48.0,24.3,48.0,2.5,49.5,45.5
2028-05-01,BCE,Pesimista,2.6,Estable,2.47,49.52,48.0,24.3,48.0,2.5,49.5,45.5
2028-06-01,BCE,Pesimista,2.6,Estable,2.47,49.52,48.0,24.3,48.0,2.5,49.5,45.5
2028-07-01,BCE,Pesimista,2.6,Estable,2.47,49.52,48.0,24.3,48.0,2.5,49.5,45.5
2028-08-01,BCE,Pesimista,2.6,Estable,2.47,49.52,48.0,24.3,48.0,2.5,49.5,45.5
2028-09-01,BCE,Pesimista,2.6,Estable,2.47,49.52,48.0,24.3,48.0,2.5,49.5,45.5
2028-10-01,BCE,Pesimista,2.6,Estable,2.47,49.52,48.0,24.3,48.0,2.5,49.5,45.5
2028-11-01,BCE,Pesimista,2.6,Estable,2.47,49.52,48.0,24.3,48.0,2.5,49.5,45.5
2028-12-01,BCE,Pesimista,2.6,Estable,2.47,49.52,48.0,24.3,48.0,2.5,49.5,45.5
2029-01-01,BCE,Pesimista,2.15,Estable,1.06,57.07,41.87,35.6,41.9,1.1,57.1,40.8
2029-02-01,BCE,Pesimista,2.15,Estable,1.06,57.07,41.87,35.6,41.9,1.1,57.1,40.8
2029-03-01,BCE,Pesimista,2.15,Estable,1.06,57.07,41.87,35.6,41.9,1.1,57.1,40.8
2029-04-01,BCE,Pesimista,2.15,Estable,1.06,57.07,41.87,35.6,41.9,1.1,57.1,40.8
2029-05-01,BCE,Pesimista,2.15,Estable,1.06,57.07,41.87,35.6,41.9,1.1,57.1,40.8
2029-06-01,BCE,Pesimista,2.15,Estable,1.06,57.07,41.87,35.6,41.9,1.1,57.1,40.8
2029-07-01,BCE,Pesimista,2.15,Estable,1.06,57.07,41.87,35.6,41.9,1.1,57.1,40.8
2029-08-01,BCE,Pesimista,2.15,Estable,1.06,57.07,41.87,35.6,41.9,1.1,57.1,40.8
2029-09-01,BCE,Pesimista,2.15,Estable,1.06,57.07,41.87,35.6,41.9,1.1,57.1,40.8
2029-10-01,BCE,Pesimista,2.15,Estable,1.06,57.07,41.87,35.6,41.9,1.1,57.1,40.8
2029-11-01,BCE,Pesimista,2.15,Estable,1.06,57.07,41.87,35.6,41.9,1.1,57.1,40.8
