,Banco,Escenario,tipo_predicho,direccion,P_Baja,P_Estable,P_Sube,Confidence_Score,Upward_Score,Downward_Score,Stability_Score,Net_Score
2026-01-01,BCE,Pesimista,1.9706,Estable,3.48,93.81,2.71,90.7,2.7,3.5,93.8,-0.8
2026-02-01,BCE,Pesimista,2.0097,Estable,3.48,93.81,2.71,90.7,2.7,3.5,93.8,-0.8
2026-03-01,BCE,Pesimista,2.0487,Estable,3.48,93.81,2.71,90.7,2.7,3.5,93.8,-0.8
2026-04-01,BCE,Pesimista,2.0877,Estable,3.48,93.81,2.71,90.7,2.7,3.5,93.8,-0.8
2026-05-01,BCE,Pesimista,2.1268,Estable,3.48,93.81,2.71,90.7,2.7,3.5,93.8,-0.8
2026-06-01,BCE,Pesimista,2.1658,Estable,3.48,93.81,2.71,90.7,2.7,3.5,93.8,-0.8
2026-07-01,BCE,Pesimista,2.2048,Estable,3.48,93.81,2.71,90.7,2.7,3.5,93.8,-0.8
2026-08-01,BCE,Pesimista,2.2439,Estable,3.48,93.81,2.71,90.7,2.7,3.5,93.8,-0.8
2026-09-01,BCE,Pesimista,2.2829,Estable,3.48,93.81,2.71,90.7,2.7,3.5,93.8,-0.8
2026-10-01,BCE,Pesimista,2.3219,Estable,3.48,93.81,2.71,90.7,2.7,3.5,93.8,-0.8
2026-11-01,BCE,Pesimista,2.361,Estable,3.48,93.81,2.71,90.7,2.7,3.5,93.8,-0.8
2026-12-01,BCE,Pesimista,2.4,Estable,3.48,93.81,2.71,90.7,2.7,3.5,93.8,-0.8
2027-01-01,BCE,Pesimista,3.05,Estable,8.17,86.89,4.94,80.3,4.9,8.2,86.9,-3.2
2027-02-01,BCE,Pesimista,3.05,Estable,8.17,86.89,4.94,80.3,4.9,8.2,86.9,-3.2
2027-03-01,BCE,Pesimista,3.05,Estable,8.17,86.89,4.94,80.3,4.9,8.2,86.9,-3.2
2027-04-01,BCE,Pesimista,3.05,Estable,8.17,86.89,4.94,80.3,4.9,8.2,86.9,-3.2
2027-05-01,BCE,Pesimista,3.05,Estable,8.17,86.89,4.94,80.3,4.9,8.2,86.9,-3.2
