,Banco,Escenario,tipo_predicho,direccion,P_Baja,P_Estable,P_Sube,Confidence_Score,Upward_Score,Downward_Score,Stability_Score,Net_Score
2026-01-01,BoE,Base,3.6292,Estable,17.6,78.84,3.56,68.3,3.6,17.6,78.8,-14.0
2026-02-01,BoE,Base,3.5083,Estable,28.57,69.09,2.34,53.6,2.3,28.6,69.1,-26.2
2026-03-01,BoE,Base,3.3875,Estable,29.61,68.18,2.21,52.3,2.2,29.6,68.2,-27.4
2026-04-01,BoE,Base,3.2667,Estable,30.66,67.25,2.09,50.9,2.1,30.7,67.2,-28.6
2026-05-01,BoE,Base,3.1458,Estable,31.74,66.29,1.98,49.4,2.0,31.7,66.3,-29.8
2026-06-01,BoE,Base,3.025,Estable,32.83,65.3,1.86,48.0,1.9,32.8,65.3,-31.0
2026-07-01,BoE,Base,2.9042,Estable,33.94,64.3,1.76,46.4,1.8,33.9,64.3,-32.2
2026-08-01,BoE,Base,2.7833,Estable,35.07,63.27,1.66,44.9,1.7,35.1,63.3,-33.4
2026-09-01,BoE,Base,2.6625,Estable,36.22,62.22,1.56,43.3,1.6,36.2,62.2,-34.7
2026-10-01,BoE,Base,2.5417,Estable,37.37,61.15,1.47,41.7,1.5,37.4,61.2,-35.9
2026-11-01,BoE,Base,2.4208,Estable,38.55,60.07,1.38,40.1,1.4,38.5,60.1,-37.2
2026-12-01,BoE,Base,2.3,Estable,39.73,58.97,1.3,38.4,1.3,39.7,59.0,-38.4
2027-01-01,BoE,Base,1.8,Estable,35.92,62.93,1.15,44.4,1.1,35.9,62.9,-34.8
2027-02-01,BoE,Base,1.8,Baja,77.93,21.89,0.18,66.9,0.2,77.9,21.9,-77.7
2027-03-01,BoE,Base,1.8,Estable,14.15,82.5,3.35,73.7,3.4,14.1,82.5,-10.8
2027-04-01,BoE,Base,1.8,Estable,14.77,82.03,3.19,73.0,3.2,14.8,82.0,-11.6
2027-05-01,BoE,Base,1.8,Estable,15.42,81.54,3.04,72.3,3.0,15.4,81.5,-12.4
2027-06-01,BoE,Base,1.8,Estable,16.09,81.02,2.9,71.5,2.9,16.1,81.0,-13.2
2027-07-01,BoE,Base,1.8,Estable,16.78,80.47,2.76,70.7,2.8,16.8,80.5,-14.0
2027-08-01,BoE,Base,1.8,Estable,17.49,79.89,2.62,69.8,2.6,17.5,79.9,-14.9
2027-09-01,BoE,Base,1.8,Estable,18.22,79.28,2.49,68.9,2.5,18.2,79.3,-15.7
2027-10-01,BoE,Base,1.8,Estable,18.98,78.65,2.37,68.0,2.4,19.0,78.6,-16.6
2027-11-01,BoE,Base,1.8,Estable,19.76,77.99,2.25,67.0,2.2,19.8,78.0,-17.5
2027-12-01,BoE,Base,1.8,Estable,20.57,77.29,2.14,65.9,2.1,20.6,77.3,-18.4
2028-01-01,BoE,Base,1.6,Estable,17.87,80.1,2.03,70.1,2.0,17.9,80.1,-15.8
2028-02-01,BoE,Base,1.6,Estable,37.11,61.89,1.01,42.8,1.0,37.1,61.9,-36.1
2028-03-01,BoE,Base,1.6,Estable,19.38,78.78,1.84,68.2,1.8,19.4,78.8,-17.5
2028-04-01,BoE,Base,1.6,Estable,20.17,78.09,1.74,67.1,1.7,20.2,78.1,-18.4
2028-05-01,BoE,Base,1.6,Estable,20.98,77.36,1.65,66.0,1.7,21.0,77.4,-19.3
2028-06-01,BoE,Base,1.6,Estable,21.82,76.61,1.57,64.9,1.6,21.8,76.6,-20.2
2028-07-01,BoE,Base,1.6,Estable,22.68,75.83,1.49,63.8,1.5,22.7,75.8,-21.2
2028-08-01,BoE,Base,1.6,Estable,23.56,75.03,1.41,62.5,1.4,23.6,75.0,-22.1
2028-09-01,BoE,Base,1.6,Estable,24.46,74.2,1.34,61.3,1.3,24.5,74.2,-23.1
2028-10-01,BoE,Base,1.6,Estable,25.39,73.34,1.27,60.0,1.3,25.4,73.3,-24.1
2028-11-01,BoE,Base,1.6,Estable,26.34,72.46,1.2,58.7,1.2,26.3,72.5,-25.1
2028-12-01,BoE,Base,1.6,Estable,27.31,71.55,1.13,57.3,1.1,27.3,71.6,-26.2
2029-01-01,BoE,Base,1.5,Estable,27.98,70.95,1.07,56.4,1.1,28.0,70.9,-26.9
2029-02-01,BoE,Base,1.5,Estable,39.57,59.72,0.71,39.6,0.7,39.6,59.7,-38.9
2029-03-01,BoE,Base,1.5,Estable,30.02,69.03,0.96,53.5,1.0,30.0,69.0,-29.1
2029-04-01,BoE,Base,1.5,Estable,31.06,68.03,0.9,52.0,0.9,31.1,68.0,-30.2
2029-05-01,BoE,Base,1.5,Estable,32.13,67.02,0.85,50.5,0.9,32.1,67.0,-31.3
2029-06-01,BoE,Base,1.5,Estable,33.22,65.98,0.8,49.0,0.8,33.2,66.0,-32.4
2029-07-01,BoE,Base,1.5,Estable,34.32,64.92,0.76,47.4,0.8,34.3,64.9,-33.6
2029-08-01,BoE,Base,1.5,Estable,35.44,63.85,0.71,45.8,0.7,35.4,63.8,-34.7
2029-09-01,BoE,Base,1.5,Estable,36.57,62.75,0.67,44.1,0.7,36.6,62.8,-35.9
2029-10-01,BoE,Base,1.5,Estable,37.72,61.64,0.63,42.5,0.6,37.7,61.6,-37.1
2029-11-01,BoE,Base,1.5,Estable,38.89,60.52,0.6,40.8,0.6,38.9,60.5,-38.3
2029-12-01,BoE,Base,1.5,Estable,40.06,59.38,0.56,39.1,0.6,40.1,59.4,-39.5
2030-01-01,BoE,Base,1.4,Estable,41.66,57.81,0.53,36.7,0.5,41.7,57.8,-41.1
2030-02-01,BoE,Base,1.4,Baja,54.58,45.09,0.32,31.9,0.3,54.6,45.1,-54.3
2030-03-01,BoE,Base,1.4,Estable,11.65,85.0,3.35,77.5,3.3,11.6,85.0,-8.3
2030-04-01,BoE,Base,1.4,Estable,12.18,84.63,3.19,76.9,3.2,12.2,84.6,-9.0
2030-05-01,BoE,Base,1.4,Estable,12.73,84.23,3.04,76.3,3.0,12.7,84.2,-9.7
2030-06-01,BoE,Base,1.4,Estable,13.3,83.8,2.9,75.7,2.9,13.3,83.8,-10.4
2030-07-01,BoE,Base,1.4,Estable,13.89,83.35,2.76,75.0,2.8,13.9,83.3,-11.1
2030-08-01,BoE,Base,1.4,Estable,14.5,82.87,2.63,74.3,2.6,14.5,82.9,-11.9
2030-09-01,BoE,Base,1.4,Estable,15.13,82.36,2.51,73.5,2.5,15.1,82.4,-12.6
2030-10-01,BoE,Base,1.4,Estable,15.78,81.83,2.39,72.7,2.4,15.8,81.8,-13.4
2030-11-01,BoE,Base,1.4,Estable,16.46,81.27,2.27,71.9,2.3,16.5,81.3,-14.2
2030-12-01,BoE,Base,1.4,Estable,17.16,80.68,2.16,71.0,2.2,17.2,80.7,-15.0
