,Banco,Escenario,tipo_predicho,direccion,P_Baja,P_Estable,P_Sube,Confidence_Score,Upward_Score,Downward_Score,Stability_Score,Net_Score
2026-01-01,BoE,Base,3.6062,Estable,6.98,92.92,0.1,89.4,0.1,7.0,92.9,-6.9
2026-02-01,BoE,Base,3.4874,Estable,6.98,92.92,0.1,89.4,0.1,7.0,92.9,-6.9
2026-03-01,BoE,Base,3.3687,Estable,6.98,92.92,0.1,89.4,0.1,7.0,92.9,-6.9
2026-04-01,BoE,Base,3.2499,Estable,6.98,92.92,0.1,89.4,0.1,7.0,92.9,-6.9
2026-05-01,BoE,Base,3.1312,Estable,6.98,92.92,0.1,89.4,0.1,7.0,92.9,-6.9
2026-06-01,BoE,Base,3.0124,Estable,6.98,92.92,0.1,89.4,0.1,7.0,92.9,-6.9
2026-07-01,BoE,Base,2.8937,Estable,6.98,92.92,0.1,89.4,0.1,7.0,92.9,-6.9
2026-08-01,BoE,Base,2.775,Estable,6.98,92.92,0.1,89.4,0.1,7.0,92.9,-6.9
2026-09-01,BoE,Base,2.6562,Estable,6.98,92.92,0.1,89.4,0.1,7.0,92.9,-6.9
2026-10-01,BoE,Base,2.5375,Estable,6.98,92.92,0.1,89.4,0.1,7.0,92.9,-6.9
2026-11-01,BoE,Base,2.4187,Estable,6.98,92.92,0.1,89.4,0.1,7.0,92.9,-6.9
2026-12-01,BoE,Base,2.3,Estable,6.98,92.92,0.1,89.4,0.1,7.0,92.9,-6.9
2027-01-01,BoE,Base,1.8,Estable,4.92,95.02,0.06,92.5,0.1,4.9,95.0,-4.9
2027-02-01,BoE,Base,1.8,Estable,4.92,95.02,0.06,92.5,0.1,4.9,95.0,-4.9
2027-03-01,BoE,Base,1.8,Estable,4.92,95.02,0.06,92.5,0.1,4.9,95.0,-4.9
2027-04-01,BoE,Base,1.8,Estable,4.92,95.02,0.06,92.5,0.1,4.9,95.0,-4.9
2027-05-01,BoE,Base,1.8,Estable,4.92,95.02,0.06,92.5,0.1,4.9,95.0,-4.9
2027-06-01,BoE,Base,1.8,Estable,4.92,95.02,0.06,92.5,0.1,4.9,95.0,-4.9
2027-07-01,BoE,Base,1.8,Estable,4.92,95.02,0.06,92.5,0.1,4.9,95.0,-4.9
2027-08-01,BoE,Base,1.8,Estable,4.92,95.02,0.06,92.5,0.1,4.9,95.0,-4.9
2027-09-01,BoE,Base,1.8,Estable,4.92,95.02,0.06,92.5,0.1,4.9,95.0,-4.9
2027-10-01,BoE,Base,1.8,Estable,4.92,95.02,0.06,92.5,0.1,4.9,95.0,-4.9
2027-11-01,BoE,Base,1.8,Estable,4.92,95.02,0.06,92.5,0.1,4.9,95.0,-4.9
2027-12-01,BoE,Base,1.8,Estable,4.92,95.02,0.06,92.5,0.1,4.9,95.0,-4.9
2028-01-01,BoE,Base,1.6,Estable,3.5,96.46,0.04,94.7,0.0,3.5,96.5,-3.5
