,Banco,Escenario,tipo_predicho,direccion,P_Baja,P_Estable,P_Sube,Confidence_Score,Upward_Score,Downward_Score,Stability_Score,Net_Score
2026-01-01,BoE,Base,3.6062,Estable,3.01,96.92,0.06,95.4,0.1,3.0,96.9,-3.0
2026-02-01,BoE,Base,3.4874,Estable,3.01,96.92,0.06,95.4,0.1,3.0,96.9,-3.0
2026-03-01,BoE,Base,3.3687,Estable,3.01,96.92,0.06,95.4,0.1,3.0,96.9,-3.0
2026-04-01,BoE,Base,3.2499,Estable,3.01,96.92,0.06,95.4,0.1,3.0,96.9,-3.0
2026-05-01,BoE,Base,3.1312,Estable,3.01,96.92,0.06,95.4,0.1,3.0,96.9,-3.0
2026-06-01,BoE,Base,3.0124,Estable,3.01,96.92,0.06,95.4,0.1,3.0,96.9,-3.0
2026-07-01,BoE,Base,2.8937,Estable,3.01,96.92,0.06,95.4,0.1,3.0,96.9,-3.0
2026-08-01,BoE,Base,2.775,Estable,3.01,96.92,0.06,95.4,0.1,3.0,96.9,-3.0
2026-09-01,BoE,Base,2.6562,Estable,3.01,96.92,0.06,95.4,0.1,3.0,96.9,-3.0
2026-10-01,BoE,Base,2.5375,Estable,3.01,96.92,0.06,95.4,0.1,3.0,96.9,-3.0
2026-11-01,BoE,Base,2.4187,Estable,3.01,96.92,0.06,95.4,0.1,3.0,96.9,-3.0
2026-12-01,BoE,Base,2.3,Estable,3.01,96.92,0.06,95.4,0.1,3.0,96.9,-3.0
2027-01-01,BoE,Base,1.8,Estable,2.26,97.7,0.04,96.5,0.0,2.3,97.7,-2.2
2027-02-01,BoE,Base,1.8,Estable,2.26,97.7,0.04,96.5,0.0,2.3,97.7,-2.2
2027-03-01,BoE,Base,1.8,Estable,2.26,97.7,0.04,96.5,0.0,2.3,97.7,-2.2
2027-04-01,BoE,Base,1.8,Estable,2.26,97.7,0.04,96.5,0.0,2.3,97.7,-2.2
2027-05-01,BoE,Base,1.8,Estable,2.26,97.7,0.04,96.5,0.0,2.3,97.7,-2.2
2027-06-01,BoE,Base,1.8,Estable,2.26,97.7,0.04,96.5,0.0,2.3,97.7,-2.2
2027-07-01,BoE,Base,1.8,Estable,2.26,97.7,0.04,96.5,0.0,2.3,97.7,-2.2
2027-08-01,BoE,Base,1.8,Estable,2.26,97.7,0.04,96.5,0.0,2.3,97.7,-2.2
2027-09-01,BoE,Base,1.8,Estable,2.26,97.7,0.04,96.5,0.0,2.3,97.7,-2.2
2027-10-01,BoE,Base,1.8,Estable,2.26,97.7,0.04,96.5,0.0,2.3,97.7,-2.2
2027-11-01,BoE,Base,1.8,Estable,2.26,97.7,0.04,96.5,0.0,2.3,97.7,-2.2
2027-12-01,BoE,Base,1.8,Estable,2.26,97.7,0.04,96.5,0.0,2.3,97.7,-2.2
