,Banco,Escenario,tipo_predicho,direccion,P_Baja,P_Estable,P_Sube,Confidence_Score,Upward_Score,Downward_Score,Stability_Score,Net_Score
2026-01-01,BoE,Optimista,3.5958,Estable,9.54,83.29,7.18,74.9,7.2,9.5,83.3,-2.4
2026-02-01,BoE,Optimista,3.4417,Estable,18.96,76.41,4.63,64.6,4.6,19.0,76.4,-14.3
2026-03-01,BoE,Optimista,3.2875,Estable,19.76,75.84,4.4,63.8,4.4,19.8,75.8,-15.4
2026-04-01,BoE,Optimista,3.1333,Estable,20.58,75.23,4.18,62.9,4.2,20.6,75.2,-16.4
2026-05-01,BoE,Optimista,2.9792,Estable,21.43,74.6,3.97,61.9,4.0,21.4,74.6,-17.5
2026-06-01,BoE,Optimista,2.825,Estable,22.3,73.93,3.77,60.9,3.8,22.3,73.9,-18.5
2026-07-01,BoE,Optimista,2.6708,Estable,23.2,73.23,3.58,59.8,3.6,23.2,73.2,-19.6
2026-08-01,BoE,Optimista,2.5167,Estable,24.11,72.49,3.39,58.7,3.4,24.1,72.5,-20.7
2026-09-01,BoE,Optimista,2.3625,Estable,25.05,71.73,3.22,57.6,3.2,25.1,71.7,-21.8
2026-10-01,BoE,Optimista,2.2083,Estable,26.01,70.94,3.05,56.4,3.0,26.0,70.9,-23.0
2026-11-01,BoE,Optimista,2.0542,Estable,27.0,70.12,2.89,55.2,2.9,27.0,70.1,-24.1
2026-12-01,BoE,Optimista,1.9,Estable,28.01,69.26,2.73,53.9,2.7,28.0,69.3,-25.3
2027-01-01,BoE,Optimista,1.6,Estable,23.58,73.21,3.21,59.8,3.2,23.6,73.2,-20.4
2027-02-01,BoE,Optimista,1.6,Estable,39.42,58.74,1.84,38.1,1.8,39.4,58.7,-37.6
2027-03-01,BoE,Optimista,1.6,Estable,14.03,81.51,4.46,72.3,4.5,14.0,81.5,-9.6
2027-04-01,BoE,Optimista,1.6,Estable,14.66,81.09,4.25,71.6,4.3,14.7,81.1,-10.4
2027-05-01,BoE,Optimista,1.6,Estable,15.3,80.64,4.05,71.0,4.1,15.3,80.6,-11.3
2027-06-01,BoE,Optimista,1.6,Estable,15.98,80.16,3.86,70.2,3.9,16.0,80.2,-12.1
2027-07-01,BoE,Optimista,1.6,Estable,16.67,79.66,3.67,69.5,3.7,16.7,79.7,-13.0
2027-08-01,BoE,Optimista,1.6,Estable,17.38,79.12,3.5,68.7,3.5,17.4,79.1,-13.9
2027-09-01,BoE,Optimista,1.6,Estable,18.12,78.55,3.33,67.8,3.3,18.1,78.6,-14.8
2027-10-01,BoE,Optimista,1.6,Estable,18.88,77.95,3.16,66.9,3.2,18.9,78.0,-15.7
2027-11-01,BoE,Optimista,1.6,Estable,19.67,77.33,3.0,66.0,3.0,19.7,77.3,-16.7
2027-12-01,BoE,Optimista,1.6,Estable,20.48,76.67,2.85,65.0,2.9,20.5,76.7,-17.6
2028-01-01,BoE,Optimista,1.55,Estable,17.46,79.69,2.85,69.5,2.8,17.5,79.7,-14.6
2028-02-01,BoE,Optimista,1.55,Estable,22.01,75.64,2.34,63.5,2.3,22.0,75.6,-19.7
2028-03-01,BoE,Optimista,1.55,Estable,18.96,78.47,2.57,67.7,2.6,19.0,78.5,-16.4
2028-04-01,BoE,Optimista,1.55,Estable,19.74,77.81,2.45,66.7,2.4,19.7,77.8,-17.3
2028-05-01,BoE,Optimista,1.55,Estable,20.55,77.13,2.32,65.7,2.3,20.5,77.1,-18.2
2028-06-01,BoE,Optimista,1.55,Estable,21.37,76.42,2.2,64.6,2.2,21.4,76.4,-19.2
2028-07-01,BoE,Optimista,1.55,Estable,22.23,75.68,2.09,63.5,2.1,22.2,75.7,-20.1
2028-08-01,BoE,Optimista,1.55,Estable,23.1,74.91,1.98,62.4,2.0,23.1,74.9,-21.1
