,Banco,Escenario,tipo_predicho,direccion,P_Baja,P_Estable,P_Sube,Confidence_Score,Upward_Score,Downward_Score,Stability_Score,Net_Score
2026-01-01,BoE,Optimista,3.5728,Estable,2.14,97.79,0.07,96.7,0.1,2.1,97.8,-2.1
2026-02-01,BoE,Optimista,3.4208,Estable,2.14,97.79,0.07,96.7,0.1,2.1,97.8,-2.1
2026-03-01,BoE,Optimista,3.2687,Estable,2.14,97.79,0.07,96.7,0.1,2.1,97.8,-2.1
2026-04-01,BoE,Optimista,3.1166,Estable,2.14,97.79,0.07,96.7,0.1,2.1,97.8,-2.1
2026-05-01,BoE,Optimista,2.9645,Estable,2.14,97.79,0.07,96.7,0.1,2.1,97.8,-2.1
2026-06-01,BoE,Optimista,2.8124,Estable,2.14,97.79,0.07,96.7,0.1,2.1,97.8,-2.1
2026-07-01,BoE,Optimista,2.6604,Estable,2.14,97.79,0.07,96.7,0.1,2.1,97.8,-2.1
2026-08-01,BoE,Optimista,2.5083,Estable,2.14,97.79,0.07,96.7,0.1,2.1,97.8,-2.1
2026-09-01,BoE,Optimista,2.3562,Estable,2.14,97.79,0.07,96.7,0.1,2.1,97.8,-2.1
2026-10-01,BoE,Optimista,2.2042,Estable,2.14,97.79,0.07,96.7,0.1,2.1,97.8,-2.1
2026-11-01,BoE,Optimista,2.0521,Estable,2.14,97.79,0.07,96.7,0.1,2.1,97.8,-2.1
2026-12-01,BoE,Optimista,1.9,Estable,2.14,97.79,0.07,96.7,0.1,2.1,97.8,-2.1
2027-01-01,BoE,Optimista,1.6,Estable,1.33,98.62,0.05,97.9,0.0,1.3,98.6,-1.3
2027-02-01,BoE,Optimista,1.6,Estable,1.33,98.62,0.05,97.9,0.0,1.3,98.6,-1.3
2027-03-01,BoE,Optimista,1.6,Estable,1.33,98.62,0.05,97.9,0.0,1.3,98.6,-1.3
2027-04-01,BoE,Optimista,1.6,Estable,1.33,98.62,0.05,97.9,0.0,1.3,98.6,-1.3
2027-05-01,BoE,Optimista,1.6,Estable,1.33,98.62,0.05,97.9,0.0,1.3,98.6,-1.3
2027-06-01,BoE,Optimista,1.6,Estable,1.33,98.62,0.05,97.9,0.0,1.3,98.6,-1.3
2027-07-01,BoE,Optimista,1.6,Estable,1.33,98.62,0.05,97.9,0.0,1.3,98.6,-1.3
2027-08-01,BoE,Optimista,1.6,Estable,1.33,98.62,0.05,97.9,0.0,1.3,98.6,-1.3
2027-09-01,BoE,Optimista,1.6,Estable,1.33,98.62,0.05,97.9,0.0,1.3,98.6,-1.3
2027-10-01,BoE,Optimista,1.6,Estable,1.33,98.62,0.05,97.9,0.0,1.3,98.6,-1.3
2027-11-01,BoE,Optimista,1.6,Estable,1.33,98.62,0.05,97.9,0.0,1.3,98.6,-1.3
2027-12-01,BoE,Optimista,1.6,Estable,1.33,98.62,0.05,97.9,0.0,1.3,98.6,-1.3
2028-01-01,BoE,Optimista,1.55,Estable,0.91,99.05,0.04,98.6,0.0,0.9,99.1,-0.9
2028-02-01,BoE,Optimista,1.55,Estable,0.91,99.05,0.04,98.6,0.0,0.9,99.1,-0.9
2028-03-01,BoE,Optimista,1.55,Estable,0.91,99.05,0.04,98.6,0.0,0.9,99.1,-0.9
2028-04-01,BoE,Optimista,1.55,Estable,0.91,99.05,0.04,98.6,0.0,0.9,99.1,-0.9
2028-05-01,BoE,Optimista,1.55,Estable,0.91,99.05,0.04,98.6,0.0,0.9,99.1,-0.9
2028-06-01,BoE,Optimista,1.55,Estable,0.91,99.05,0.04,98.6,0.0,0.9,99.1,-0.9
