,Banco,Escenario,tipo_predicho,direccion,P_Baja,P_Estable,P_Sube,Confidence_Score,Upward_Score,Downward_Score,Stability_Score,Net_Score
2026-01-01,BoE,Optimista,3.5728,Estable,1.33,98.61,0.06,97.9,0.1,1.3,98.6,-1.3
2026-02-01,BoE,Optimista,3.4208,Estable,1.33,98.61,0.06,97.9,0.1,1.3,98.6,-1.3
2026-03-01,BoE,Optimista,3.2687,Estable,1.33,98.61,0.06,97.9,0.1,1.3,98.6,-1.3
2026-04-01,BoE,Optimista,3.1166,Estable,1.33,98.61,0.06,97.9,0.1,1.3,98.6,-1.3
2026-05-01,BoE,Optimista,2.9645,Estable,1.33,98.61,0.06,97.9,0.1,1.3,98.6,-1.3
2026-06-01,BoE,Optimista,2.8124,Estable,1.33,98.61,0.06,97.9,0.1,1.3,98.6,-1.3
2026-07-01,BoE,Optimista,2.6604,Estable,1.33,98.61,0.06,97.9,0.1,1.3,98.6,-1.3
2026-08-01,BoE,Optimista,2.5083,Estable,1.33,98.61,0.06,97.9,0.1,1.3,98.6,-1.3
2026-09-01,BoE,Optimista,2.3562,Estable,1.33,98.61,0.06,97.9,0.1,1.3,98.6,-1.3
2026-10-01,BoE,Optimista,2.2042,Estable,1.33,98.61,0.06,97.9,0.1,1.3,98.6,-1.3
2026-11-01,BoE,Optimista,2.0521,Estable,1.33,98.61,0.06,97.9,0.1,1.3,98.6,-1.3
2026-12-01,BoE,Optimista,1.9,Estable,1.33,98.61,0.06,97.9,0.1,1.3,98.6,-1.3
2027-01-01,BoE,Optimista,1.6,Estable,0.89,99.07,0.04,98.6,0.0,0.9,99.1,-0.8
2027-02-01,BoE,Optimista,1.6,Estable,0.89,99.07,0.04,98.6,0.0,0.9,99.1,-0.8
2027-03-01,BoE,Optimista,1.6,Estable,0.89,99.07,0.04,98.6,0.0,0.9,99.1,-0.8
2027-04-01,BoE,Optimista,1.6,Estable,0.89,99.07,0.04,98.6,0.0,0.9,99.1,-0.8
2027-05-01,BoE,Optimista,1.6,Estable,0.89,99.07,0.04,98.6,0.0,0.9,99.1,-0.8
2027-06-01,BoE,Optimista,1.6,Estable,0.89,99.07,0.04,98.6,0.0,0.9,99.1,-0.8
2027-07-01,BoE,Optimista,1.6,Estable,0.89,99.07,0.04,98.6,0.0,0.9,99.1,-0.8
2027-08-01,BoE,Optimista,1.6,Estable,0.89,99.07,0.04,98.6,0.0,0.9,99.1,-0.8
2027-09-01,BoE,Optimista,1.6,Estable,0.89,99.07,0.04,98.6,0.0,0.9,99.1,-0.8
2027-10-01,BoE,Optimista,1.6,Estable,0.89,99.07,0.04,98.6,0.0,0.9,99.1,-0.8
2027-11-01,BoE,Optimista,1.6,Estable,0.89,99.07,0.04,98.6,0.0,0.9,99.1,-0.8
2027-12-01,BoE,Optimista,1.6,Estable,0.89,99.07,0.04,98.6,0.0,0.9,99.1,-0.8
2028-01-01,BoE,Optimista,1.55,Estable,0.66,99.3,0.04,99.0,0.0,0.7,99.3,-0.6
2028-02-01,BoE,Optimista,1.55,Estable,0.66,99.3,0.04,99.0,0.0,0.7,99.3,-0.6
2028-03-01,BoE,Optimista,1.55,Estable,0.66,99.3,0.04,99.0,0.0,0.7,99.3,-0.6
2028-04-01,BoE,Optimista,1.55,Estable,0.66,99.3,0.04,99.0,0.0,0.7,99.3,-0.6
2028-05-01,BoE,Optimista,1.55,Estable,0.66,99.3,0.04,99.0,0.0,0.7,99.3,-0.6
2028-06-01,BoE,Optimista,1.55,Estable,0.66,99.3,0.04,99.0,0.0,0.7,99.3,-0.6
2028-07-01,BoE,Optimista,1.55,Estable,0.66,99.3,0.04,99.0,0.0,0.7,99.3,-0.6
2028-08-01,BoE,Optimista,1.55,Estable,0.66,99.3,0.04,99.0,0.0,0.7,99.3,-0.6
2028-09-01,BoE,Optimista,1.55,Estable,0.66,99.3,0.04,99.0,0.0,0.7,99.3,-0.6
2028-10-01,BoE,Optimista,1.55,Estable,0.66,99.3,0.04,99.0,0.0,0.7,99.3,-0.6
2028-11-01,BoE,Optimista,1.55,Estable,0.66,99.3,0.04,99.0,0.0,0.7,99.3,-0.6
2028-12-01,BoE,Optimista,1.55,Estable,0.66,99.3,0.04,99.0,0.0,0.7,99.3,-0.6
2029-01-01,BoE,Optimista,1.45,Estable,0.5,99.47,0.03,99.2,0.0,0.5,99.5,-0.5
2029-02-01,BoE,Optimista,1.45,Estable,0.5,99.47,0.03,99.2,0.0,0.5,99.5,-0.5
2029-03-01,BoE,Optimista,1.45,Estable,0.5,99.47,0.03,99.2,0.0,0.5,99.5,-0.5
2029-04-01,BoE,Optimista,1.45,Estable,0.5,99.47,0.03,99.2,0.0,0.5,99.5,-0.5
2029-05-01,BoE,Optimista,1.45,Estable,0.5,99.47,0.03,99.2,0.0,0.5,99.5,-0.5
2029-06-01,BoE,Optimista,1.45,Estable,0.5,99.47,0.03,99.2,0.0,0.5,99.5,-0.5
2029-07-01,BoE,Optimista,1.45,Estable,0.5,99.47,0.03,99.2,0.0,0.5,99.5,-0.5
2029-08-01,BoE,Optimista,1.45,Estable,0.5,99.47,0.03,99.2,0.0,0.5,99.5,-0.5
2029-09-01,BoE,Optimista,1.45,Estable,0.5,99.47,0.03,99.2,0.0,0.5,99.5,-0.5
2029-10-01,BoE,Optimista,1.45,Estable,0.5,99.47,0.03,99.2,0.0,0.5,99.5,-0.5
2029-11-01,BoE,Optimista,1.45,Estable,0.5,99.47,0.03,99.2,0.0,0.5,99.5,-0.5
2029-12-01,BoE,Optimista,1.45,Estable,0.5,99.47,0.03,99.2,0.0,0.5,99.5,-0.5
2030-01-01,BoE,Optimista,1.3,Estable,0.43,99.55,0.02,99.3,0.0,0.4,99.5,-0.4
2030-02-01,BoE,Optimista,1.3,Estable,0.43,99.55,0.02,99.3,0.0,0.4,99.5,-0.4
2030-03-01,BoE,Optimista,1.3,Estable,0.43,99.55,0.02,99.3,0.0,0.4,99.5,-0.4
2030-04-01,BoE,Optimista,1.3,Estable,0.43,99.55,0.02,99.3,0.0,0.4,99.5,-0.4
2030-05-01,BoE,Optimista,1.3,Estable,0.43,99.55,0.02,99.3,0.0,0.4,99.5,-0.4
2030-06-01,BoE,Optimista,1.3,Estable,0.43,99.55,0.02,99.3,0.0,0.4,99.5,-0.4
2030-07-01,BoE,Optimista,1.3,Estable,0.43,99.55,0.02,99.3,0.0,0.4,99.5,-0.4
2030-08-01,BoE,Optimista,1.3,Estable,0.43,99.55,0.02,99.3,0.0,0.4,99.5,-0.4
2030-09-01,BoE,Optimista,1.3,Estable,0.43,99.55,0.02,99.3,0.0,0.4,99.5,-0.4
2030-10-01,BoE,Optimista,1.3,Estable,0.43,99.55,0.02,99.3,0.0,0.4,99.5,-0.4
2030-11-01,BoE,Optimista,1.3,Estable,0.43,99.55,0.02,99.3,0.0,0.4,99.5,-0.4
2030-12-01,BoE,Optimista,1.3,Estable,0.43,99.55,0.02,99.3,0.0,0.4,99.5,-0.4
