,Banco,Escenario,tipo_predicho,direccion,P_Baja,P_Estable,P_Sube,Confidence_Score,Upward_Score,Downward_Score,Stability_Score,Net_Score
2026-01-01,BoE,Pesimista,3.7167,Baja,58.12,41.17,0.71,37.2,0.7,58.1,41.2,-57.4
2026-02-01,BoE,Pesimista,3.6833,Baja,60.73,38.62,0.65,41.1,0.7,60.7,38.6,-60.1
2026-03-01,BoE,Pesimista,3.65,Baja,60.73,38.62,0.65,41.1,0.7,60.7,38.6,-60.1
2026-04-01,BoE,Pesimista,3.6167,Baja,60.73,38.62,0.65,41.1,0.7,60.7,38.6,-60.1
2026-05-01,BoE,Pesimista,3.5833,Baja,60.73,38.62,0.65,41.1,0.7,60.7,38.6,-60.1
2026-06-01,BoE,Pesimista,3.55,Baja,60.73,38.62,0.65,41.1,0.7,60.7,38.6,-60.1
2026-07-01,BoE,Pesimista,3.5167,Baja,60.73,38.62,0.65,41.1,0.7,60.7,38.6,-60.1
2026-08-01,BoE,Pesimista,3.4833,Baja,60.73,38.62,0.65,41.1,0.7,60.7,38.6,-60.1
2026-09-01,BoE,Pesimista,3.45,Baja,60.73,38.62,0.65,41.1,0.7,60.7,38.6,-60.1
2026-10-01,BoE,Pesimista,3.4167,Baja,60.73,38.62,0.65,41.1,0.7,60.7,38.6,-60.1
2026-11-01,BoE,Pesimista,3.3833,Baja,60.73,38.62,0.65,41.1,0.7,60.7,38.6,-60.1
2026-12-01,BoE,Pesimista,3.35,Baja,60.73,38.62,0.65,41.1,0.7,60.7,38.6,-60.1
2027-01-01,BoE,Pesimista,3.85,Baja,76.91,22.88,0.21,65.4,0.2,76.9,22.9,-76.7
2027-02-01,BoE,Pesimista,3.85,Estable,21.08,76.85,2.08,65.3,2.1,21.1,76.8,-19.0
2027-03-01,BoE,Pesimista,3.85,Baja,74.93,24.83,0.24,62.4,0.2,74.9,24.8,-74.7
2027-04-01,BoE,Pesimista,3.85,Baja,74.0,25.75,0.25,61.0,0.3,74.0,25.7,-73.7
2027-05-01,BoE,Pesimista,3.85,Baja,74.0,25.75,0.25,61.0,0.3,74.0,25.7,-73.7
2027-06-01,BoE,Pesimista,3.85,Baja,74.0,25.75,0.25,61.0,0.3,74.0,25.7,-73.7
2027-07-01,BoE,Pesimista,3.85,Baja,74.0,25.75,0.25,61.0,0.3,74.0,25.7,-73.7
2027-08-01,BoE,Pesimista,3.85,Baja,74.0,25.75,0.25,61.0,0.3,74.0,25.7,-73.7
2027-09-01,BoE,Pesimista,3.85,Baja,74.0,25.75,0.25,61.0,0.3,74.0,25.7,-73.7
2027-10-01,BoE,Pesimista,3.85,Baja,74.0,25.75,0.25,61.0,0.3,74.0,25.7,-73.7
2027-11-01,BoE,Pesimista,3.85,Baja,74.0,25.75,0.25,61.0,0.3,74.0,25.7,-73.7
2027-12-01,BoE,Pesimista,3.85,Baja,74.0,25.75,0.25,61.0,0.3,74.0,25.7,-73.7
2028-01-01,BoE,Pesimista,3.4,Baja,56.19,43.37,0.45,34.3,0.4,56.2,43.4,-55.7
2028-02-01,BoE,Pesimista,3.4,Baja,91.45,8.52,0.04,87.2,0.0,91.4,8.5,-91.4
2028-03-01,BoE,Pesimista,3.4,Baja,56.19,43.37,0.45,34.3,0.4,56.2,43.4,-55.7
2028-04-01,BoE,Pesimista,3.4,Baja,56.19,43.37,0.45,34.3,0.4,56.2,43.4,-55.7
2028-05-01,BoE,Pesimista,3.4,Baja,56.19,43.37,0.45,34.3,0.4,56.2,43.4,-55.7
2028-06-01,BoE,Pesimista,3.4,Baja,56.19,43.37,0.45,34.3,0.4,56.2,43.4,-55.7
2028-07-01,BoE,Pesimista,3.4,Baja,56.19,43.37,0.45,34.3,0.4,56.2,43.4,-55.7
2028-08-01,BoE,Pesimista,3.4,Baja,56.19,43.37,0.45,34.3,0.4,56.2,43.4,-55.7
2028-09-01,BoE,Pesimista,3.4,Baja,56.19,43.37,0.45,34.3,0.4,56.2,43.4,-55.7
2028-10-01,BoE,Pesimista,3.4,Baja,56.19,43.37,0.45,34.3,0.4,56.2,43.4,-55.7
2028-11-01,BoE,Pesimista,3.4,Baja,56.19,43.37,0.45,34.3,0.4,56.2,43.4,-55.7
2028-12-01,BoE,Pesimista,3.4,Baja,56.19,43.37,0.45,34.3,0.4,56.2,43.4,-55.7
2029-01-01,BoE,Pesimista,2.8,Estable,38.89,60.3,0.8,40.5,0.8,38.9,60.3,-38.1
2029-02-01,BoE,Pesimista,2.8,Baja,91.88,8.09,0.03,87.8,0.0,91.9,8.1,-91.8
2029-03-01,BoE,Pesimista,2.8,Estable,38.89,60.3,0.8,40.5,0.8,38.9,60.3,-38.1
2029-04-01,BoE,Pesimista,2.8,Estable,40.07,59.17,0.76,38.8,0.8,40.1,59.2,-39.3
2029-05-01,BoE,Pesimista,2.8,Estable,41.26,58.03,0.71,37.0,0.7,41.3,58.0,-40.6
2029-06-01,BoE,Pesimista,2.8,Estable,42.46,56.87,0.67,35.3,0.7,42.5,56.9,-41.8
2029-07-01,BoE,Pesimista,2.8,Estable,43.67,55.7,0.63,33.6,0.6,43.7,55.7,-43.0
2029-08-01,BoE,Pesimista,2.8,Estable,44.89,54.53,0.59,31.8,0.6,44.9,54.5,-44.3
2029-09-01,BoE,Pesimista,2.8,Estable,46.11,53.34,0.55,30.0,0.5,46.1,53.3,-45.6
2029-10-01,BoE,Pesimista,2.8,Estable,47.33,52.15,0.51,28.2,0.5,47.3,52.2,-46.8
2029-11-01,BoE,Pesimista,2.8,Estable,48.56,50.95,0.48,26.4,0.5,48.6,51.0,-48.1
2029-12-01,BoE,Pesimista,2.8,Baja,49.79,49.76,0.45,24.7,0.5,49.8,49.8,-49.3
2030-01-01,BoE,Pesimista,2.2,Estable,27.35,71.59,1.06,57.4,1.1,27.3,71.6,-26.3
2030-02-01,BoE,Pesimista,2.2,Baja,87.01,12.94,0.06,80.5,0.1,87.0,12.9,-87.0
2030-03-01,BoE,Pesimista,2.2,Estable,27.35,71.59,1.06,57.4,1.1,27.3,71.6,-26.3
2030-04-01,BoE,Pesimista,2.2,Estable,28.34,70.65,1.0,56.0,1.0,28.3,70.7,-27.3
2030-05-01,BoE,Pesimista,2.2,Estable,29.36,69.7,0.95,54.5,0.9,29.4,69.7,-28.4
2030-06-01,BoE,Pesimista,2.2,Estable,30.39,68.71,0.9,53.1,0.9,30.4,68.7,-29.5
2030-07-01,BoE,Pesimista,2.2,Estable,31.44,67.71,0.85,51.6,0.8,31.4,67.7,-30.6
2030-08-01,BoE,Pesimista,2.2,Estable,32.52,66.68,0.8,50.0,0.8,32.5,66.7,-31.7
2030-09-01,BoE,Pesimista,2.2,Estable,33.61,65.64,0.75,48.5,0.8,33.6,65.6,-32.9
2030-10-01,BoE,Pesimista,2.2,Estable,34.72,64.57,0.71,46.9,0.7,34.7,64.6,-34.0
2030-11-01,BoE,Pesimista,2.2,Estable,35.84,63.49,0.67,45.2,0.7,35.8,63.5,-35.2
2030-12-01,BoE,Pesimista,2.2,Estable,36.98,62.39,0.63,43.6,0.6,37.0,62.4,-36.4
