,Banco,Escenario,tipo_predicho,direccion,P_Baja,P_Estable,P_Sube,Confidence_Score,Upward_Score,Downward_Score,Stability_Score,Net_Score
2026-01-01,BoE,Pesimista,3.6937,Baja,55.85,44.05,0.1,33.8,0.1,55.9,44.0,-55.8
2026-02-01,BoE,Pesimista,3.6624,Baja,55.85,44.05,0.1,33.8,0.1,55.9,44.0,-55.8
2026-03-01,BoE,Pesimista,3.6312,Baja,55.85,44.05,0.1,33.8,0.1,55.9,44.0,-55.8
2026-04-01,BoE,Pesimista,3.5999,Baja,55.85,44.05,0.1,33.8,0.1,55.9,44.0,-55.8
2026-05-01,BoE,Pesimista,3.5687,Baja,55.85,44.05,0.1,33.8,0.1,55.9,44.0,-55.8
2026-06-01,BoE,Pesimista,3.5374,Baja,55.85,44.05,0.1,33.8,0.1,55.9,44.0,-55.8
2026-07-01,BoE,Pesimista,3.5062,Baja,55.85,44.05,0.1,33.8,0.1,55.9,44.0,-55.8
2026-08-01,BoE,Pesimista,3.475,Baja,55.85,44.05,0.1,33.8,0.1,55.9,44.0,-55.8
2026-09-01,BoE,Pesimista,3.4437,Baja,55.85,44.05,0.1,33.8,0.1,55.9,44.0,-55.8
2026-10-01,BoE,Pesimista,3.4125,Baja,55.85,44.05,0.1,33.8,0.1,55.9,44.0,-55.8
2026-11-01,BoE,Pesimista,3.3812,Baja,55.85,44.05,0.1,33.8,0.1,55.9,44.0,-55.8
2026-12-01,BoE,Pesimista,3.35,Baja,55.85,44.05,0.1,33.8,0.1,55.9,44.0,-55.8
2027-01-01,BoE,Pesimista,3.85,Baja,80.78,19.18,0.04,71.2,0.0,80.8,19.2,-80.7
2027-02-01,BoE,Pesimista,3.85,Baja,80.78,19.18,0.04,71.2,0.0,80.8,19.2,-80.7
2027-03-01,BoE,Pesimista,3.85,Baja,80.78,19.18,0.04,71.2,0.0,80.8,19.2,-80.7
2027-04-01,BoE,Pesimista,3.85,Baja,80.78,19.18,0.04,71.2,0.0,80.8,19.2,-80.7
2027-05-01,BoE,Pesimista,3.85,Baja,80.78,19.18,0.04,71.2,0.0,80.8,19.2,-80.7
2027-06-01,BoE,Pesimista,3.85,Baja,80.78,19.18,0.04,71.2,0.0,80.8,19.2,-80.7
