,Banco,Escenario,tipo_predicho,direccion,P_Baja,P_Estable,P_Sube,Confidence_Score,Upward_Score,Downward_Score,Stability_Score,Net_Score
2026-01-01,BoE,Pesimista,3.6937,Estable,23.75,76.17,0.08,64.3,0.1,23.7,76.2,-23.7
2026-02-01,BoE,Pesimista,3.6624,Estable,23.75,76.17,0.08,64.3,0.1,23.7,76.2,-23.7
2026-03-01,BoE,Pesimista,3.6312,Estable,23.75,76.17,0.08,64.3,0.1,23.7,76.2,-23.7
2026-04-01,BoE,Pesimista,3.5999,Estable,23.75,76.17,0.08,64.3,0.1,23.7,76.2,-23.7
2026-05-01,BoE,Pesimista,3.5687,Estable,23.75,76.17,0.08,64.3,0.1,23.7,76.2,-23.7
2026-06-01,BoE,Pesimista,3.5374,Estable,23.75,76.17,0.08,64.3,0.1,23.7,76.2,-23.7
2026-07-01,BoE,Pesimista,3.5062,Estable,23.75,76.17,0.08,64.3,0.1,23.7,76.2,-23.7
2026-08-01,BoE,Pesimista,3.475,Estable,23.75,76.17,0.08,64.3,0.1,23.7,76.2,-23.7
2026-09-01,BoE,Pesimista,3.4437,Estable,23.75,76.17,0.08,64.3,0.1,23.7,76.2,-23.7
2026-10-01,BoE,Pesimista,3.4125,Estable,23.75,76.17,0.08,64.3,0.1,23.7,76.2,-23.7
2026-11-01,BoE,Pesimista,3.3812,Estable,23.75,76.17,0.08,64.3,0.1,23.7,76.2,-23.7
2026-12-01,BoE,Pesimista,3.35,Estable,23.75,76.17,0.08,64.3,0.1,23.7,76.2,-23.7
2027-01-01,BoE,Pesimista,3.85,Estable,49.22,50.73,0.05,26.1,0.0,49.2,50.7,-49.2
2027-02-01,BoE,Pesimista,3.85,Estable,49.22,50.73,0.05,26.1,0.0,49.2,50.7,-49.2
2027-03-01,BoE,Pesimista,3.85,Estable,49.22,50.73,0.05,26.1,0.0,49.2,50.7,-49.2
2027-04-01,BoE,Pesimista,3.85,Estable,49.22,50.73,0.05,26.1,0.0,49.2,50.7,-49.2
2027-05-01,BoE,Pesimista,3.85,Estable,49.22,50.73,0.05,26.1,0.0,49.2,50.7,-49.2
2027-06-01,BoE,Pesimista,3.85,Estable,49.22,50.73,0.05,26.1,0.0,49.2,50.7,-49.2
2027-07-01,BoE,Pesimista,3.85,Estable,49.22,50.73,0.05,26.1,0.0,49.2,50.7,-49.2
2027-08-01,BoE,Pesimista,3.85,Estable,49.22,50.73,0.05,26.1,0.0,49.2,50.7,-49.2
2027-09-01,BoE,Pesimista,3.85,Estable,49.22,50.73,0.05,26.1,0.0,49.2,50.7,-49.2
2027-10-01,BoE,Pesimista,3.85,Estable,49.22,50.73,0.05,26.1,0.0,49.2,50.7,-49.2
2027-11-01,BoE,Pesimista,3.85,Estable,49.22,50.73,0.05,26.1,0.0,49.2,50.7,-49.2
2027-12-01,BoE,Pesimista,3.85,Estable,49.22,50.73,0.05,26.1,0.0,49.2,50.7,-49.2
2028-01-01,BoE,Pesimista,3.4,Estable,31.96,68.0,0.04,52.0,0.0,32.0,68.0,-31.9
2028-02-01,BoE,Pesimista,3.4,Estable,31.96,68.0,0.04,52.0,0.0,32.0,68.0,-31.9
2028-03-01,BoE,Pesimista,3.4,Estable,31.96,68.0,0.04,52.0,0.0,32.0,68.0,-31.9
2028-04-01,BoE,Pesimista,3.4,Estable,31.96,68.0,0.04,52.0,0.0,32.0,68.0,-31.9
2028-05-01,BoE,Pesimista,3.4,Estable,31.96,68.0,0.04,52.0,0.0,32.0,68.0,-31.9
2028-06-01,BoE,Pesimista,3.4,Estable,31.96,68.0,0.04,52.0,0.0,32.0,68.0,-31.9
2028-07-01,BoE,Pesimista,3.4,Estable,31.96,68.0,0.04,52.0,0.0,32.0,68.0,-31.9
2028-08-01,BoE,Pesimista,3.4,Estable,31.96,68.0,0.04,52.0,0.0,32.0,68.0,-31.9
2028-09-01,BoE,Pesimista,3.4,Estable,31.96,68.0,0.04,52.0,0.0,32.0,68.0,-31.9
2028-10-01,BoE,Pesimista,3.4,Estable,31.96,68.0,0.04,52.0,0.0,32.0,68.0,-31.9
2028-11-01,BoE,Pesimista,3.4,Estable,31.96,68.0,0.04,52.0,0.0,32.0,68.0,-31.9
2028-12-01,BoE,Pesimista,3.4,Estable,31.96,68.0,0.04,52.0,0.0,32.0,68.0,-31.9
2029-01-01,BoE,Pesimista,2.8,Estable,17.52,82.45,0.03,73.7,0.0,17.5,82.4,-17.5
2029-02-01,BoE,Pesimista,2.8,Estable,17.52,82.45,0.03,73.7,0.0,17.5,82.4,-17.5
2029-03-01,BoE,Pesimista,2.8,Estable,17.52,82.45,0.03,73.7,0.0,17.5,82.4,-17.5
2029-04-01,BoE,Pesimista,2.8,Estable,17.52,82.45,0.03,73.7,0.0,17.5,82.4,-17.5
2029-05-01,BoE,Pesimista,2.8,Estable,17.52,82.45,0.03,73.7,0.0,17.5,82.4,-17.5
2029-06-01,BoE,Pesimista,2.8,Estable,17.52,82.45,0.03,73.7,0.0,17.5,82.4,-17.5
2029-07-01,BoE,Pesimista,2.8,Estable,17.52,82.45,0.03,73.7,0.0,17.5,82.4,-17.5
2029-08-01,BoE,Pesimista,2.8,Estable,17.52,82.45,0.03,73.7,0.0,17.5,82.4,-17.5
2029-09-01,BoE,Pesimista,2.8,Estable,17.52,82.45,0.03,73.7,0.0,17.5,82.4,-17.5
2029-10-01,BoE,Pesimista,2.8,Estable,17.52,82.45,0.03,73.7,0.0,17.5,82.4,-17.5
2029-11-01,BoE,Pesimista,2.8,Estable,17.52,82.45,0.03,73.7,0.0,17.5,82.4,-17.5
2029-12-01,BoE,Pesimista,2.8,Estable,17.52,82.45,0.03,73.7,0.0,17.5,82.4,-17.5
2030-01-01,BoE,Pesimista,2.2,Estable,10.33,89.65,0.02,84.5,0.0,10.3,89.6,-10.3
2030-02-01,BoE,Pesimista,2.2,Estable,10.33,89.65,0.02,84.5,0.0,10.3,89.6,-10.3
2030-03-01,BoE,Pesimista,2.2,Estable,10.33,89.65,0.02,84.5,0.0,10.3,89.6,-10.3
2030-04-01,BoE,Pesimista,2.2,Estable,10.33,89.65,0.02,84.5,0.0,10.3,89.6,-10.3
2030-05-01,BoE,Pesimista,2.2,Estable,10.33,89.65,0.02,84.5,0.0,10.3,89.6,-10.3
2030-06-01,BoE,Pesimista,2.2,Estable,10.33,89.65,0.02,84.5,0.0,10.3,89.6,-10.3
2030-07-01,BoE,Pesimista,2.2,Estable,10.33,89.65,0.02,84.5,0.0,10.3,89.6,-10.3
2030-08-01,BoE,Pesimista,2.2,Estable,10.33,89.65,0.02,84.5,0.0,10.3,89.6,-10.3
2030-09-01,BoE,Pesimista,2.2,Estable,10.33,89.65,0.02,84.5,0.0,10.3,89.6,-10.3
2030-10-01,BoE,Pesimista,2.2,Estable,10.33,89.65,0.02,84.5,0.0,10.3,89.6,-10.3
2030-11-01,BoE,Pesimista,2.2,Estable,10.33,89.65,0.02,84.5,0.0,10.3,89.6,-10.3
2030-12-01,BoE,Pesimista,2.2,Estable,10.33,89.65,0.02,84.5,0.0,10.3,89.6,-10.3
