,Banco,Escenario,tipo_predicho,direccion,P_Baja,P_Estable,P_Sube,Confidence_Score,Upward_Score,Downward_Score,Stability_Score,Net_Score
2026-01-01,FED,Base,3.6242,Baja,56.47,39.26,4.27,34.7,4.3,56.5,39.3,-52.2
2026-02-01,FED,Base,3.6083,Estable,42.9,49.12,7.98,23.7,8.0,42.9,49.1,-34.9
2026-03-01,FED,Base,3.5925,Estable,6.53,92.78,0.69,89.2,0.7,6.5,92.8,-5.8
2026-04-01,FED,Base,3.5767,Estable,0.56,99.4,0.03,99.1,0.0,0.6,99.4,-0.5
2026-05-01,FED,Base,3.5608,Estable,0.05,99.95,0.0,99.9,0.0,0.0,100.0,-0.0
2026-06-01,FED,Base,3.545,Estable,0.0,100.0,0.0,100.0,0.0,0.0,100.0,-0.0
2026-07-01,FED,Base,3.5292,Estable,0.0,100.0,0.0,100.0,0.0,0.0,100.0,-0.0
2026-08-01,FED,Base,3.5133,Estable,0.0,100.0,0.0,100.0,0.0,0.0,100.0,-0.0
2026-09-01,FED,Base,3.4975,Estable,0.0,100.0,0.0,100.0,0.0,0.0,100.0,-0.0
2026-10-01,FED,Base,3.4817,Estable,0.0,100.0,0.0,100.0,0.0,0.0,100.0,-0.0
2026-11-01,FED,Base,3.4658,Estable,0.0,100.0,0.0,100.0,0.0,0.0,100.0,-0.0
2026-12-01,FED,Base,3.45,Estable,0.0,100.0,0.0,100.0,0.0,0.0,100.0,-0.0
2027-01-01,FED,Base,3.05,Estable,0.0,100.0,0.0,100.0,0.0,0.0,100.0,-0.0
2027-02-01,FED,Base,3.05,Estable,0.0,100.0,0.0,100.0,0.0,0.0,100.0,-0.0
2027-03-01,FED,Base,3.05,Estable,0.0,100.0,0.0,100.0,0.0,0.0,100.0,-0.0
2027-04-01,FED,Base,3.05,Estable,0.0,100.0,0.0,100.0,0.0,0.0,100.0,-0.0
2027-05-01,FED,Base,3.05,Estable,0.0,100.0,0.0,100.0,0.0,0.0,100.0,-0.0
2027-06-01,FED,Base,3.05,Estable,0.0,100.0,0.0,100.0,0.0,0.0,100.0,-0.0
2027-07-01,FED,Base,3.05,Estable,0.0,100.0,0.0,100.0,0.0,0.0,100.0,-0.0
2027-08-01,FED,Base,3.05,Estable,0.0,100.0,0.0,100.0,0.0,0.0,100.0,-0.0
2027-09-01,FED,Base,3.05,Estable,0.0,100.0,0.0,100.0,0.0,0.0,100.0,-0.0
2027-10-01,FED,Base,3.05,Estable,0.0,100.0,0.0,100.0,0.0,0.0,100.0,-0.0
2027-11-01,FED,Base,3.05,Estable,0.0,100.0,0.0,100.0,0.0,0.0,100.0,-0.0
2027-12-01,FED,Base,3.05,Estable,0.0,100.0,0.0,100.0,0.0,0.0,100.0,-0.0
2028-01-01,FED,Base,2.75,Estable,0.0,100.0,0.0,100.0,0.0,0.0,100.0,-0.0
2028-02-01,FED,Base,2.75,Estable,0.0,100.0,0.0,100.0,0.0,0.0,100.0,-0.0
2028-03-01,FED,Base,2.75,Estable,0.0,100.0,0.0,100.0,0.0,0.0,100.0,-0.0
2028-04-01,FED,Base,2.75,Estable,0.0,100.0,0.0,100.0,0.0,0.0,100.0,-0.0
2028-05-01,FED,Base,2.75,Estable,0.0,100.0,0.0,100.0,0.0,0.0,100.0,-0.0
2028-06-01,FED,Base,2.75,Estable,0.0,100.0,0.0,100.0,0.0,0.0,100.0,-0.0
2028-07-01,FED,Base,2.75,Estable,0.0,100.0,0.0,100.0,0.0,0.0,100.0,-0.0
2028-08-01,FED,Base,2.75,Estable,0.0,100.0,0.0,100.0,0.0,0.0,100.0,-0.0
2028-09-01,FED,Base,2.75,Estable,0.0,100.0,0.0,100.0,0.0,0.0,100.0,-0.0
2028-10-01,FED,Base,2.75,Estable,0.0,100.0,0.0,100.0,0.0,0.0,100.0,-0.0
2028-11-01,FED,Base,2.75,Estable,0.0,100.0,0.0,100.0,0.0,0.0,100.0,-0.0
2028-12-01,FED,Base,2.75,Estable,0.0,100.0,0.0,100.0,0.0,0.0,100.0,-0.0
2029-01-01,FED,Base,2.65,Estable,0.0,100.0,0.0,100.0,0.0,0.0,100.0,-0.0
2029-02-01,FED,Base,2.65,Estable,0.0,100.0,0.0,100.0,0.0,0.0,100.0,-0.0
2029-03-01,FED,Base,2.65,Estable,0.0,100.0,0.0,100.0,0.0,0.0,100.0,-0.0
2029-04-01,FED,Base,2.65,Estable,0.0,100.0,0.0,100.0,0.0,0.0,100.0,-0.0
2029-05-01,FED,Base,2.65,Estable,0.0,100.0,0.0,100.0,0.0,0.0,100.0,-0.0
2029-06-01,FED,Base,2.65,Estable,0.0,100.0,0.0,100.0,0.0,0.0,100.0,-0.0
2029-07-01,FED,Base,2.65,Estable,0.0,100.0,0.0,100.0,0.0,0.0,100.0,-0.0
2029-08-01,FED,Base,2.65,Estable,0.0,100.0,0.0,100.0,0.0,0.0,100.0,-0.0
2029-09-01,FED,Base,2.65,Estable,0.0,100.0,0.0,100.0,0.0,0.0,100.0,-0.0
2029-10-01,FED,Base,2.65,Estable,0.0,100.0,0.0,100.0,0.0,0.0,100.0,-0.0
2029-11-01,FED,Base,2.65,Estable,0.0,100.0,0.0,100.0,0.0,0.0,100.0,-0.0
2029-12-01,FED,Base,2.65,Estable,0.0,100.0,0.0,100.0,0.0,0.0,100.0,-0.0
2030-01-01,FED,Base,2.65,Estable,0.0,100.0,0.0,100.0,0.0,0.0,100.0,-0.0
2030-02-01,FED,Base,2.65,Estable,0.0,100.0,0.0,100.0,0.0,0.0,100.0,-0.0
2030-03-01,FED,Base,2.65,Estable,0.0,100.0,0.0,100.0,0.0,0.0,100.0,-0.0
2030-04-01,FED,Base,2.65,Estable,0.0,100.0,0.0,100.0,0.0,0.0,100.0,-0.0
2030-05-01,FED,Base,2.65,Estable,0.0,100.0,0.0,100.0,0.0,0.0,100.0,-0.0
2030-06-01,FED,Base,2.65,Estable,0.0,100.0,0.0,100.0,0.0,0.0,100.0,-0.0
2030-07-01,FED,Base,2.65,Estable,0.0,100.0,0.0,100.0,0.0,0.0,100.0,-0.0
2030-08-01,FED,Base,2.65,Estable,0.0,100.0,0.0,100.0,0.0,0.0,100.0,-0.0
