,Banco,Escenario,tipo_predicho,direccion,P_Baja,P_Estable,P_Sube,Confidence_Score,Upward_Score,Downward_Score,Stability_Score,Net_Score
2026-01-01,FED,Base,3.6533,Estable,32.3,64.31,3.38,46.5,3.4,32.3,64.3,-28.9
2026-02-01,FED,Base,3.6348,Estable,32.3,64.31,3.38,46.5,3.4,32.3,64.3,-28.9
2026-03-01,FED,Base,3.6164,Estable,32.3,64.31,3.38,46.5,3.4,32.3,64.3,-28.9
2026-04-01,FED,Base,3.5979,Estable,32.3,64.31,3.38,46.5,3.4,32.3,64.3,-28.9
2026-05-01,FED,Base,3.5794,Estable,32.3,64.31,3.38,46.5,3.4,32.3,64.3,-28.9
2026-06-01,FED,Base,3.5609,Estable,32.3,64.31,3.38,46.5,3.4,32.3,64.3,-28.9
2026-07-01,FED,Base,3.5424,Estable,32.3,64.31,3.38,46.5,3.4,32.3,64.3,-28.9
2026-08-01,FED,Base,3.5239,Estable,32.3,64.31,3.38,46.5,3.4,32.3,64.3,-28.9
2026-09-01,FED,Base,3.5055,Estable,32.3,64.31,3.38,46.5,3.4,32.3,64.3,-28.9
2026-10-01,FED,Base,3.487,Estable,32.3,64.31,3.38,46.5,3.4,32.3,64.3,-28.9
2026-11-01,FED,Base,3.4685,Estable,32.3,64.31,3.38,46.5,3.4,32.3,64.3,-28.9
2026-12-01,FED,Base,3.45,Estable,32.3,64.31,3.38,46.5,3.4,32.3,64.3,-28.9
2027-01-01,FED,Base,3.05,Estable,33.64,63.45,2.91,45.2,2.9,33.6,63.4,-30.7
2027-02-01,FED,Base,3.05,Estable,33.64,63.45,2.91,45.2,2.9,33.6,63.4,-30.7
2027-03-01,FED,Base,3.05,Estable,33.64,63.45,2.91,45.2,2.9,33.6,63.4,-30.7
2027-04-01,FED,Base,3.05,Estable,33.64,63.45,2.91,45.2,2.9,33.6,63.4,-30.7
2027-05-01,FED,Base,3.05,Estable,33.64,63.45,2.91,45.2,2.9,33.6,63.4,-30.7
2027-06-01,FED,Base,3.05,Estable,33.64,63.45,2.91,45.2,2.9,33.6,63.4,-30.7
2027-07-01,FED,Base,3.05,Estable,33.64,63.45,2.91,45.2,2.9,33.6,63.4,-30.7
2027-08-01,FED,Base,3.05,Estable,33.64,63.45,2.91,45.2,2.9,33.6,63.4,-30.7
2027-09-01,FED,Base,3.05,Estable,33.64,63.45,2.91,45.2,2.9,33.6,63.4,-30.7
2027-10-01,FED,Base,3.05,Estable,33.64,63.45,2.91,45.2,2.9,33.6,63.4,-30.7
2027-11-01,FED,Base,3.05,Estable,33.64,63.45,2.91,45.2,2.9,33.6,63.4,-30.7
2027-12-01,FED,Base,3.05,Estable,33.64,63.45,2.91,45.2,2.9,33.6,63.4,-30.7
2028-01-01,FED,Base,2.75,Estable,36.65,60.82,2.54,41.2,2.5,36.6,60.8,-34.1
2028-02-01,FED,Base,2.75,Estable,36.65,60.82,2.54,41.2,2.5,36.6,60.8,-34.1
2028-03-01,FED,Base,2.75,Estable,36.65,60.82,2.54,41.2,2.5,36.6,60.8,-34.1
2028-04-01,FED,Base,2.75,Estable,36.65,60.82,2.54,41.2,2.5,36.6,60.8,-34.1
2028-05-01,FED,Base,2.75,Estable,36.65,60.82,2.54,41.2,2.5,36.6,60.8,-34.1
2028-06-01,FED,Base,2.75,Estable,36.65,60.82,2.54,41.2,2.5,36.6,60.8,-34.1
2028-07-01,FED,Base,2.75,Estable,36.65,60.82,2.54,41.2,2.5,36.6,60.8,-34.1
2028-08-01,FED,Base,2.75,Estable,36.65,60.82,2.54,41.2,2.5,36.6,60.8,-34.1
2028-09-01,FED,Base,2.75,Estable,36.65,60.82,2.54,41.2,2.5,36.6,60.8,-34.1
2028-10-01,FED,Base,2.75,Estable,36.65,60.82,2.54,41.2,2.5,36.6,60.8,-34.1
2028-11-01,FED,Base,2.75,Estable,36.65,60.82,2.54,41.2,2.5,36.6,60.8,-34.1
2028-12-01,FED,Base,2.75,Estable,36.65,60.82,2.54,41.2,2.5,36.6,60.8,-34.1
2029-01-01,FED,Base,2.65,Estable,35.2,62.36,2.44,43.5,2.4,35.2,62.4,-32.8
2029-02-01,FED,Base,2.65,Estable,35.2,62.36,2.44,43.5,2.4,35.2,62.4,-32.8
2029-03-01,FED,Base,2.65,Estable,35.2,62.36,2.44,43.5,2.4,35.2,62.4,-32.8
2029-04-01,FED,Base,2.65,Estable,35.2,62.36,2.44,43.5,2.4,35.2,62.4,-32.8
2029-05-01,FED,Base,2.65,Estable,35.2,62.36,2.44,43.5,2.4,35.2,62.4,-32.8
2029-06-01,FED,Base,2.65,Estable,35.2,62.36,2.44,43.5,2.4,35.2,62.4,-32.8
2029-07-01,FED,Base,2.65,Estable,35.2,62.36,2.44,43.5,2.4,35.2,62.4,-32.8
