,Banco,Escenario,tipo_predicho,direccion,P_Baja,P_Estable,P_Sube,Confidence_Score,Upward_Score,Downward_Score,Stability_Score,Net_Score
2026-01-01,FED,Optimista,3.6117,Baja,49.92,39.73,10.35,24.9,10.3,49.9,39.7,-39.6
2026-02-01,FED,Optimista,3.5833,Estable,38.17,45.45,16.38,18.2,16.4,38.2,45.4,-21.8
2026-03-01,FED,Optimista,3.555,Estable,6.24,92.23,1.52,88.3,1.5,6.2,92.2,-4.7
2026-04-01,FED,Optimista,3.5267,Estable,0.54,99.38,0.08,99.1,0.1,0.5,99.4,-0.5
2026-05-01,FED,Optimista,3.4983,Estable,0.04,99.95,0.0,99.9,0.0,0.0,100.0,-0.0
2026-06-01,FED,Optimista,3.47,Estable,0.0,100.0,0.0,100.0,0.0,0.0,100.0,-0.0
2026-07-01,FED,Optimista,3.4417,Estable,0.0,100.0,0.0,100.0,0.0,0.0,100.0,-0.0
2026-08-01,FED,Optimista,3.4133,Estable,0.0,100.0,0.0,100.0,0.0,0.0,100.0,-0.0
2026-09-01,FED,Optimista,3.385,Estable,0.0,100.0,0.0,100.0,0.0,0.0,100.0,-0.0
2026-10-01,FED,Optimista,3.3567,Estable,0.0,100.0,0.0,100.0,0.0,0.0,100.0,-0.0
2026-11-01,FED,Optimista,3.3283,Estable,0.0,100.0,0.0,100.0,0.0,0.0,100.0,-0.0
2026-12-01,FED,Optimista,3.3,Estable,0.0,100.0,0.0,100.0,0.0,0.0,100.0,-0.0
2027-01-01,FED,Optimista,2.95,Estable,0.0,100.0,0.0,100.0,0.0,0.0,100.0,-0.0
2027-02-01,FED,Optimista,2.95,Estable,0.0,100.0,0.0,100.0,0.0,0.0,100.0,-0.0
2027-03-01,FED,Optimista,2.95,Estable,0.0,100.0,0.0,100.0,0.0,0.0,100.0,-0.0
2027-04-01,FED,Optimista,2.95,Estable,0.0,100.0,0.0,100.0,0.0,0.0,100.0,-0.0
2027-05-01,FED,Optimista,2.95,Estable,0.0,100.0,0.0,100.0,0.0,0.0,100.0,-0.0
2027-06-01,FED,Optimista,2.95,Estable,0.0,100.0,0.0,100.0,0.0,0.0,100.0,-0.0
2027-07-01,FED,Optimista,2.95,Estable,0.0,100.0,0.0,100.0,0.0,0.0,100.0,-0.0
2027-08-01,FED,Optimista,2.95,Estable,0.0,100.0,0.0,100.0,0.0,0.0,100.0,-0.0
2027-09-01,FED,Optimista,2.95,Estable,0.0,100.0,0.0,100.0,0.0,0.0,100.0,-0.0
2027-10-01,FED,Optimista,2.95,Estable,0.0,100.0,0.0,100.0,0.0,0.0,100.0,-0.0
2027-11-01,FED,Optimista,2.95,Estable,0.0,100.0,0.0,100.0,0.0,0.0,100.0,-0.0
2027-12-01,FED,Optimista,2.95,Estable,0.0,100.0,0.0,100.0,0.0,0.0,100.0,-0.0
2028-01-01,FED,Optimista,2.85,Estable,0.0,100.0,0.0,100.0,0.0,0.0,100.0,-0.0
2028-02-01,FED,Optimista,2.85,Estable,0.0,100.0,0.0,100.0,0.0,0.0,100.0,-0.0
2028-03-01,FED,Optimista,2.85,Estable,0.0,100.0,0.0,100.0,0.0,0.0,100.0,-0.0
2028-04-01,FED,Optimista,2.85,Estable,0.0,100.0,0.0,100.0,0.0,0.0,100.0,-0.0
