,Banco,Escenario,tipo_predicho,direccion,P_Baja,P_Estable,P_Sube,Confidence_Score,Upward_Score,Downward_Score,Stability_Score,Net_Score
2026-01-01,FED,Optimista,3.6408,Estable,15.78,78.86,5.36,68.3,5.4,15.8,78.9,-10.4
2026-02-01,FED,Optimista,3.6098,Estable,15.78,78.86,5.36,68.3,5.4,15.8,78.9,-10.4
2026-03-01,FED,Optimista,3.5788,Estable,15.78,78.86,5.36,68.3,5.4,15.8,78.9,-10.4
2026-04-01,FED,Optimista,3.5479,Estable,15.78,78.86,5.36,68.3,5.4,15.8,78.9,-10.4
2026-05-01,FED,Optimista,3.5169,Estable,15.78,78.86,5.36,68.3,5.4,15.8,78.9,-10.4
2026-06-01,FED,Optimista,3.4859,Estable,15.78,78.86,5.36,68.3,5.4,15.8,78.9,-10.4
2026-07-01,FED,Optimista,3.4549,Estable,15.78,78.86,5.36,68.3,5.4,15.8,78.9,-10.4
2026-08-01,FED,Optimista,3.4239,Estable,15.78,78.86,5.36,68.3,5.4,15.8,78.9,-10.4
2026-09-01,FED,Optimista,3.393,Estable,15.78,78.86,5.36,68.3,5.4,15.8,78.9,-10.4
2026-10-01,FED,Optimista,3.362,Estable,15.78,78.86,5.36,68.3,5.4,15.8,78.9,-10.4
2026-11-01,FED,Optimista,3.331,Estable,15.78,78.86,5.36,68.3,5.4,15.8,78.9,-10.4
2026-12-01,FED,Optimista,3.3,Estable,15.78,78.86,5.36,68.3,5.4,15.8,78.9,-10.4
2027-01-01,FED,Optimista,2.95,Estable,14.06,80.9,5.04,71.4,5.0,14.1,80.9,-9.0
2027-02-01,FED,Optimista,2.95,Estable,14.06,80.9,5.04,71.4,5.0,14.1,80.9,-9.0
2027-03-01,FED,Optimista,2.95,Estable,14.06,80.9,5.04,71.4,5.0,14.1,80.9,-9.0
2027-04-01,FED,Optimista,2.95,Estable,14.06,80.9,5.04,71.4,5.0,14.1,80.9,-9.0
2027-05-01,FED,Optimista,2.95,Estable,14.06,80.9,5.04,71.4,5.0,14.1,80.9,-9.0
2027-06-01,FED,Optimista,2.95,Estable,14.06,80.9,5.04,71.4,5.0,14.1,80.9,-9.0
2027-07-01,FED,Optimista,2.95,Estable,14.06,80.9,5.04,71.4,5.0,14.1,80.9,-9.0
2027-08-01,FED,Optimista,2.95,Estable,14.06,80.9,5.04,71.4,5.0,14.1,80.9,-9.0
2027-09-01,FED,Optimista,2.95,Estable,14.06,80.9,5.04,71.4,5.0,14.1,80.9,-9.0
2027-10-01,FED,Optimista,2.95,Estable,14.06,80.9,5.04,71.4,5.0,14.1,80.9,-9.0
2027-11-01,FED,Optimista,2.95,Estable,14.06,80.9,5.04,71.4,5.0,14.1,80.9,-9.0
2027-12-01,FED,Optimista,2.95,Estable,14.06,80.9,5.04,71.4,5.0,14.1,80.9,-9.0
2028-01-01,FED,Optimista,2.85,Estable,13.46,81.54,5.0,72.3,5.0,13.5,81.5,-8.5
2028-02-01,FED,Optimista,2.85,Estable,13.46,81.54,5.0,72.3,5.0,13.5,81.5,-8.5
2028-03-01,FED,Optimista,2.85,Estable,13.46,81.54,5.0,72.3,5.0,13.5,81.5,-8.5
2028-04-01,FED,Optimista,2.85,Estable,13.46,81.54,5.0,72.3,5.0,13.5,81.5,-8.5
2028-05-01,FED,Optimista,2.85,Estable,13.46,81.54,5.0,72.3,5.0,13.5,81.5,-8.5
2028-06-01,FED,Optimista,2.85,Estable,13.46,81.54,5.0,72.3,5.0,13.5,81.5,-8.5
2028-07-01,FED,Optimista,2.85,Estable,13.46,81.54,5.0,72.3,5.0,13.5,81.5,-8.5
2028-08-01,FED,Optimista,2.85,Estable,13.46,81.54,5.0,72.3,5.0,13.5,81.5,-8.5
2028-09-01,FED,Optimista,2.85,Estable,13.46,81.54,5.0,72.3,5.0,13.5,81.5,-8.5
2028-10-01,FED,Optimista,2.85,Estable,13.46,81.54,5.0,72.3,5.0,13.5,81.5,-8.5
2028-11-01,FED,Optimista,2.85,Estable,13.46,81.54,5.0,72.3,5.0,13.5,81.5,-8.5
2028-12-01,FED,Optimista,2.85,Estable,13.46,81.54,5.0,72.3,5.0,13.5,81.5,-8.5
2029-01-01,FED,Optimista,2.85,Estable,13.25,81.51,5.24,72.3,5.2,13.3,81.5,-8.0
2029-02-01,FED,Optimista,2.85,Estable,13.25,81.51,5.24,72.3,5.2,13.3,81.5,-8.0
2029-03-01,FED,Optimista,2.85,Estable,13.25,81.51,5.24,72.3,5.2,13.3,81.5,-8.0
2029-04-01,FED,Optimista,2.85,Estable,13.25,81.51,5.24,72.3,5.2,13.3,81.5,-8.0
2029-05-01,FED,Optimista,2.85,Estable,13.25,81.51,5.24,72.3,5.2,13.3,81.5,-8.0
2029-06-01,FED,Optimista,2.85,Estable,13.25,81.51,5.24,72.3,5.2,13.3,81.5,-8.0
2029-07-01,FED,Optimista,2.85,Estable,13.25,81.51,5.24,72.3,5.2,13.3,81.5,-8.0
2029-08-01,FED,Optimista,2.85,Estable,13.25,81.51,5.24,72.3,5.2,13.3,81.5,-8.0
2029-09-01,FED,Optimista,2.85,Estable,13.25,81.51,5.24,72.3,5.2,13.3,81.5,-8.0
2029-10-01,FED,Optimista,2.85,Estable,13.25,81.51,5.24,72.3,5.2,13.3,81.5,-8.0
2029-11-01,FED,Optimista,2.85,Estable,13.25,81.51,5.24,72.3,5.2,13.3,81.5,-8.0
2029-12-01,FED,Optimista,2.85,Estable,13.25,81.51,5.24,72.3,5.2,13.3,81.5,-8.0
2030-01-01,FED,Optimista,2.75,Estable,13.59,81.47,4.93,72.2,4.9,13.6,81.5,-8.7
2030-02-01,FED,Optimista,2.75,Estable,13.59,81.47,4.93,72.2,4.9,13.6,81.5,-8.7
2030-03-01,FED,Optimista,2.75,Estable,13.59,81.47,4.93,72.2,4.9,13.6,81.5,-8.7
2030-04-01,FED,Optimista,2.75,Estable,13.59,81.47,4.93,72.2,4.9,13.6,81.5,-8.7
2030-05-01,FED,Optimista,2.75,Estable,13.59,81.47,4.93,72.2,4.9,13.6,81.5,-8.7
2030-06-01,FED,Optimista,2.75,Estable,13.59,81.47,4.93,72.2,4.9,13.6,81.5,-8.7
2030-07-01,FED,Optimista,2.75,Estable,13.59,81.47,4.93,72.2,4.9,13.6,81.5,-8.7
2030-08-01,FED,Optimista,2.75,Estable,13.59,81.47,4.93,72.2,4.9,13.6,81.5,-8.7
2030-09-01,FED,Optimista,2.75,Estable,13.59,81.47,4.93,72.2,4.9,13.6,81.5,-8.7
2030-10-01,FED,Optimista,2.75,Estable,13.59,81.47,4.93,72.2,4.9,13.6,81.5,-8.7
2030-11-01,FED,Optimista,2.75,Estable,13.59,81.47,4.93,72.2,4.9,13.6,81.5,-8.7
2030-12-01,FED,Optimista,2.75,Estable,13.59,81.47,4.93,72.2,4.9,13.6,81.5,-8.7
