,Banco,Escenario,tipo_predicho,direccion,P_Baja,P_Estable,P_Sube,Confidence_Score,Upward_Score,Downward_Score,Stability_Score,Net_Score
2026-01-01,FED,Pesimista,3.6825,Baja,72.93,26.45,0.62,59.4,0.6,72.9,26.5,-72.3
2026-02-01,FED,Pesimista,3.725,Baja,50.42,47.21,2.37,25.6,2.4,50.4,47.2,-48.0
2026-03-01,FED,Pesimista,3.7675,Baja,50.42,47.21,2.37,25.6,2.4,50.4,47.2,-48.0
2026-04-01,FED,Pesimista,3.81,Baja,50.42,47.21,2.37,25.6,2.4,50.4,47.2,-48.0
2026-05-01,FED,Pesimista,3.8525,Baja,50.42,47.21,2.37,25.6,2.4,50.4,47.2,-48.0
2026-06-01,FED,Pesimista,3.895,Baja,50.42,47.21,2.37,25.6,2.4,50.4,47.2,-48.0
2026-07-01,FED,Pesimista,3.9375,Baja,50.42,47.21,2.37,25.6,2.4,50.4,47.2,-48.0
2026-08-01,FED,Pesimista,3.98,Baja,50.42,47.21,2.37,25.6,2.4,50.4,47.2,-48.0
2026-09-01,FED,Pesimista,4.0225,Baja,50.42,47.21,2.37,25.6,2.4,50.4,47.2,-48.0
2026-10-01,FED,Pesimista,4.065,Baja,50.42,47.21,2.37,25.6,2.4,50.4,47.2,-48.0
2026-11-01,FED,Pesimista,4.1075,Baja,50.42,47.21,2.37,25.6,2.4,50.4,47.2,-48.0
2026-12-01,FED,Pesimista,4.15,Baja,50.42,47.21,2.37,25.6,2.4,50.4,47.2,-48.0
2027-01-01,FED,Pesimista,4.75,Baja,61.3,37.63,1.07,41.9,1.1,61.3,37.6,-60.2
2027-02-01,FED,Pesimista,4.75,Estable,1.15,51.69,47.16,27.5,47.2,1.1,51.7,46.0
2027-03-01,FED,Pesimista,4.75,Estable,15.4,84.52,0.09,76.8,0.1,15.4,84.5,-15.3
2027-04-01,FED,Pesimista,4.75,Estable,1.45,98.55,0.0,97.8,0.0,1.4,98.5,-1.4
2027-05-01,FED,Pesimista,4.75,Estable,0.12,99.88,0.0,99.8,0.0,0.1,99.9,-0.1
2027-06-01,FED,Pesimista,4.75,Estable,0.01,99.99,0.0,100.0,0.0,0.0,100.0,-0.0
2027-07-01,FED,Pesimista,4.75,Estable,0.0,100.0,0.0,100.0,0.0,0.0,100.0,-0.0
2027-08-01,FED,Pesimista,4.75,Estable,0.0,100.0,0.0,100.0,0.0,0.0,100.0,-0.0
2027-09-01,FED,Pesimista,4.75,Estable,0.0,100.0,0.0,100.0,0.0,0.0,100.0,-0.0
2027-10-01,FED,Pesimista,4.75,Estable,0.0,100.0,0.0,100.0,0.0,0.0,100.0,-0.0
2027-11-01,FED,Pesimista,4.75,Estable,0.0,100.0,0.0,100.0,0.0,0.0,100.0,-0.0
2027-12-01,FED,Pesimista,4.75,Estable,0.0,100.0,0.0,100.0,0.0,0.0,100.0,-0.0
2028-01-01,FED,Pesimista,4.3,Estable,0.0,100.0,0.0,100.0,0.0,0.0,100.0,-0.0
2028-02-01,FED,Pesimista,4.3,Estable,0.0,100.0,0.0,100.0,0.0,0.0,100.0,-0.0
2028-03-01,FED,Pesimista,4.3,Estable,0.0,100.0,0.0,100.0,0.0,0.0,100.0,-0.0
2028-04-01,FED,Pesimista,4.3,Estable,0.0,100.0,0.0,100.0,0.0,0.0,100.0,-0.0
2028-05-01,FED,Pesimista,4.3,Estable,0.0,100.0,0.0,100.0,0.0,0.0,100.0,-0.0
2028-06-01,FED,Pesimista,4.3,Estable,0.0,100.0,0.0,100.0,0.0,0.0,100.0,-0.0
2028-07-01,FED,Pesimista,4.3,Estable,0.0,100.0,0.0,100.0,0.0,0.0,100.0,-0.0
2028-08-01,FED,Pesimista,4.3,Estable,0.0,100.0,0.0,100.0,0.0,0.0,100.0,-0.0
2028-09-01,FED,Pesimista,4.3,Estable,0.0,100.0,0.0,100.0,0.0,0.0,100.0,-0.0
2028-10-01,FED,Pesimista,4.3,Estable,0.0,100.0,0.0,100.0,0.0,0.0,100.0,-0.0
2028-11-01,FED,Pesimista,4.3,Estable,0.0,100.0,0.0,100.0,0.0,0.0,100.0,-0.0
2028-12-01,FED,Pesimista,4.3,Estable,0.0,100.0,0.0,100.0,0.0,0.0,100.0,-0.0
2029-01-01,FED,Pesimista,3.6,Estable,0.0,100.0,0.0,100.0,0.0,0.0,100.0,-0.0
2029-02-01,FED,Pesimista,3.6,Estable,0.0,100.0,0.0,100.0,0.0,0.0,100.0,-0.0
2029-03-01,FED,Pesimista,3.6,Estable,0.0,100.0,0.0,100.0,0.0,0.0,100.0,-0.0
2029-04-01,FED,Pesimista,3.6,Estable,0.0,100.0,0.0,100.0,0.0,0.0,100.0,-0.0
2029-05-01,FED,Pesimista,3.6,Estable,0.0,100.0,0.0,100.0,0.0,0.0,100.0,-0.0
2029-06-01,FED,Pesimista,3.6,Estable,0.0,100.0,0.0,100.0,0.0,0.0,100.0,-0.0
2029-07-01,FED,Pesimista,3.6,Estable,0.0,100.0,0.0,100.0,0.0,0.0,100.0,-0.0
2029-08-01,FED,Pesimista,3.6,Estable,0.0,100.0,0.0,100.0,0.0,0.0,100.0,-0.0
2029-09-01,FED,Pesimista,3.6,Estable,0.0,100.0,0.0,100.0,0.0,0.0,100.0,-0.0
