,Banco,Escenario,tipo_predicho,direccion,P_Baja,P_Estable,P_Sube,Confidence_Score,Upward_Score,Downward_Score,Stability_Score,Net_Score
2026-01-01,FED,Pesimista,3.7116,Baja,63.66,35.5,0.84,45.5,0.8,63.7,35.5,-62.8
2026-02-01,FED,Pesimista,3.7515,Baja,63.66,35.5,0.84,45.5,0.8,63.7,35.5,-62.8
2026-03-01,FED,Pesimista,3.7914,Baja,63.66,35.5,0.84,45.5,0.8,63.7,35.5,-62.8
2026-04-01,FED,Pesimista,3.8312,Baja,63.66,35.5,0.84,45.5,0.8,63.7,35.5,-62.8
2026-05-01,FED,Pesimista,3.871,Baja,63.66,35.5,0.84,45.5,0.8,63.7,35.5,-62.8
2026-06-01,FED,Pesimista,3.9109,Baja,63.66,35.5,0.84,45.5,0.8,63.7,35.5,-62.8
2026-07-01,FED,Pesimista,3.9508,Baja,63.66,35.5,0.84,45.5,0.8,63.7,35.5,-62.8
2026-08-01,FED,Pesimista,3.9906,Baja,63.66,35.5,0.84,45.5,0.8,63.7,35.5,-62.8
2026-09-01,FED,Pesimista,4.0304,Baja,63.66,35.5,0.84,45.5,0.8,63.7,35.5,-62.8
2026-10-01,FED,Pesimista,4.0703,Baja,63.66,35.5,0.84,45.5,0.8,63.7,35.5,-62.8
2026-11-01,FED,Pesimista,4.1102,Baja,63.66,35.5,0.84,45.5,0.8,63.7,35.5,-62.8
2026-12-01,FED,Pesimista,4.15,Baja,63.66,35.5,0.84,45.5,0.8,63.7,35.5,-62.8
2027-01-01,FED,Pesimista,4.75,Baja,64.08,35.45,0.47,46.1,0.5,64.1,35.5,-63.6
2027-02-01,FED,Pesimista,4.75,Baja,64.08,35.45,0.47,46.1,0.5,64.1,35.5,-63.6
2027-03-01,FED,Pesimista,4.75,Baja,64.08,35.45,0.47,46.1,0.5,64.1,35.5,-63.6
2027-04-01,FED,Pesimista,4.75,Baja,64.08,35.45,0.47,46.1,0.5,64.1,35.5,-63.6
2027-05-01,FED,Pesimista,4.75,Baja,64.08,35.45,0.47,46.1,0.5,64.1,35.5,-63.6
2027-06-01,FED,Pesimista,4.75,Baja,64.08,35.45,0.47,46.1,0.5,64.1,35.5,-63.6
2027-07-01,FED,Pesimista,4.75,Baja,64.08,35.45,0.47,46.1,0.5,64.1,35.5,-63.6
2027-08-01,FED,Pesimista,4.75,Baja,64.08,35.45,0.47,46.1,0.5,64.1,35.5,-63.6
2027-09-01,FED,Pesimista,4.75,Baja,64.08,35.45,0.47,46.1,0.5,64.1,35.5,-63.6
2027-10-01,FED,Pesimista,4.75,Baja,64.08,35.45,0.47,46.1,0.5,64.1,35.5,-63.6
2027-11-01,FED,Pesimista,4.75,Baja,64.08,35.45,0.47,46.1,0.5,64.1,35.5,-63.6
2027-12-01,FED,Pesimista,4.75,Baja,64.08,35.45,0.47,46.1,0.5,64.1,35.5,-63.6
2028-01-01,FED,Pesimista,4.3,Estable,47.14,52.38,0.48,28.6,0.5,47.1,52.4,-46.7
2028-02-01,FED,Pesimista,4.3,Estable,47.14,52.38,0.48,28.6,0.5,47.1,52.4,-46.7
2028-03-01,FED,Pesimista,4.3,Estable,47.14,52.38,0.48,28.6,0.5,47.1,52.4,-46.7
2028-04-01,FED,Pesimista,4.3,Estable,47.14,52.38,0.48,28.6,0.5,47.1,52.4,-46.7
2028-05-01,FED,Pesimista,4.3,Estable,47.14,52.38,0.48,28.6,0.5,47.1,52.4,-46.7
2028-06-01,FED,Pesimista,4.3,Estable,47.14,52.38,0.48,28.6,0.5,47.1,52.4,-46.7
2028-07-01,FED,Pesimista,4.3,Estable,47.14,52.38,0.48,28.6,0.5,47.1,52.4,-46.7
2028-08-01,FED,Pesimista,4.3,Estable,47.14,52.38,0.48,28.6,0.5,47.1,52.4,-46.7
2028-09-01,FED,Pesimista,4.3,Estable,47.14,52.38,0.48,28.6,0.5,47.1,52.4,-46.7
2028-10-01,FED,Pesimista,4.3,Estable,47.14,52.38,0.48,28.6,0.5,47.1,52.4,-46.7
2028-11-01,FED,Pesimista,4.3,Estable,47.14,52.38,0.48,28.6,0.5,47.1,52.4,-46.7
2028-12-01,FED,Pesimista,4.3,Estable,47.14,52.38,0.48,28.6,0.5,47.1,52.4,-46.7
2029-01-01,FED,Pesimista,3.6,Estable,44.5,54.9,0.6,32.4,0.6,44.5,54.9,-43.9
2029-02-01,FED,Pesimista,3.6,Estable,44.5,54.9,0.6,32.4,0.6,44.5,54.9,-43.9
2029-03-01,FED,Pesimista,3.6,Estable,44.5,54.9,0.6,32.4,0.6,44.5,54.9,-43.9
2029-04-01,FED,Pesimista,3.6,Estable,44.5,54.9,0.6,32.4,0.6,44.5,54.9,-43.9
2029-05-01,FED,Pesimista,3.6,Estable,44.5,54.9,0.6,32.4,0.6,44.5,54.9,-43.9
2029-06-01,FED,Pesimista,3.6,Estable,44.5,54.9,0.6,32.4,0.6,44.5,54.9,-43.9
2029-07-01,FED,Pesimista,3.6,Estable,44.5,54.9,0.6,32.4,0.6,44.5,54.9,-43.9
2029-08-01,FED,Pesimista,3.6,Estable,44.5,54.9,0.6,32.4,0.6,44.5,54.9,-43.9
2029-09-01,FED,Pesimista,3.6,Estable,44.5,54.9,0.6,32.4,0.6,44.5,54.9,-43.9
2029-10-01,FED,Pesimista,3.6,Estable,44.5,54.9,0.6,32.4,0.6,44.5,54.9,-43.9
2029-11-01,FED,Pesimista,3.6,Estable,44.5,54.9,0.6,32.4,0.6,44.5,54.9,-43.9
2029-12-01,FED,Pesimista,3.6,Estable,44.5,54.9,0.6,32.4,0.6,44.5,54.9,-43.9
2030-01-01,FED,Pesimista,3.15,Estable,43.0,56.25,0.76,34.4,0.8,43.0,56.2,-42.2
2030-02-01,FED,Pesimista,3.15,Estable,43.0,56.25,0.76,34.4,0.8,43.0,56.2,-42.2
2030-03-01,FED,Pesimista,3.15,Estable,43.0,56.25,0.76,34.4,0.8,43.0,56.2,-42.2
2030-04-01,FED,Pesimista,3.15,Estable,43.0,56.25,0.76,34.4,0.8,43.0,56.2,-42.2
2030-05-01,FED,Pesimista,3.15,Estable,43.0,56.25,0.76,34.4,0.8,43.0,56.2,-42.2
2030-06-01,FED,Pesimista,3.15,Estable,43.0,56.25,0.76,34.4,0.8,43.0,56.2,-42.2
2030-07-01,FED,Pesimista,3.15,Estable,43.0,56.25,0.76,34.4,0.8,43.0,56.2,-42.2
2030-08-01,FED,Pesimista,3.15,Estable,43.0,56.25,0.76,34.4,0.8,43.0,56.2,-42.2
2030-09-01,FED,Pesimista,3.15,Estable,43.0,56.25,0.76,34.4,0.8,43.0,56.2,-42.2
2030-10-01,FED,Pesimista,3.15,Estable,43.0,56.25,0.76,34.4,0.8,43.0,56.2,-42.2
2030-11-01,FED,Pesimista,3.15,Estable,43.0,56.25,0.76,34.4,0.8,43.0,56.2,-42.2
2030-12-01,FED,Pesimista,3.15,Estable,43.0,56.25,0.76,34.4,0.8,43.0,56.2,-42.2
