Anio,Mes,Banco,Escenario,PIB_growth,PIBpc_growth,Inflacion,Desempleo,VIX,Oro,Plata,Gas,OIS
2026,1,BCE,Base,1.4,1.2,2.3,6.2,16.0,2850.0,32.0,28.0,1.9
2026,2,BCE,Base,1.4,1.2,2.3,6.2,16.0,2850.0,32.0,28.0,1.9
2026,3,BCE,Base,1.4,1.2,2.3,6.2,16.0,2850.0,32.0,28.0,1.9
2026,4,BCE,Base,1.4,1.2,2.3,6.2,16.0,2850.0,32.0,28.0,1.9
2026,5,BCE,Base,1.4,1.2,2.3,6.2,16.0,2850.0,32.0,28.0,1.9
2026,6,BCE,Base,1.4,1.2,2.3,6.2,16.0,2850.0,32.0,28.0,1.9
2026,7,BCE,Base,1.4,1.2,2.3,6.2,16.0,2850.0,32.0,28.0,1.9
2026,8,BCE,Base,1.4,1.2,2.3,6.2,16.0,2850.0,32.0,28.0,1.9
2026,9,BCE,Base,1.4,1.2,2.3,6.2,16.0,2850.0,32.0,28.0,1.9
2026,10,BCE,Base,1.4,1.2,2.3,6.2,16.0,2850.0,32.0,28.0,1.9
2026,11,BCE,Base,1.4,1.2,2.3,6.2,16.0,2850.0,32.0,28.0,1.9
2026,12,BCE,Base,1.4,1.2,2.3,6.2,16.0,2850.0,32.0,28.0,1.9
2027,1,BCE,Base,1.6,1.4,2.1,6.0,15.5,2950.0,33.0,26.0,1.75
2027,2,BCE,Base,1.6,1.4,2.1,6.0,15.5,2950.0,33.0,26.0,1.75
2027,3,BCE,Base,1.6,1.4,2.1,6.0,15.5,2950.0,33.0,26.0,1.75
2027,4,BCE,Base,1.6,1.4,2.1,6.0,15.5,2950.0,33.0,26.0,1.75
2027,5,BCE,Base,1.6,1.4,2.1,6.0,15.5,2950.0,33.0,26.0,1.75
2027,6,BCE,Base,1.6,1.4,2.1,6.0,15.5,2950.0,33.0,26.0,1.75
2027,7,BCE,Base,1.6,1.4,2.1,6.0,15.5,2950.0,33.0,26.0,1.75
2027,8,BCE,Base,1.6,1.4,2.1,6.0,15.5,2950.0,33.0,26.0,1.75
2027,9,BCE,Base,1.6,1.4,2.1,6.0,15.5,2950.0,33.0,26.0,1.75
2027,10,BCE,Base,1.6,1.4,2.1,6.0,15.5,2950.0,33.0,26.0,1.75
2027,11,BCE,Base,1.6,1.4,2.1,6.0,15.5,2950.0,33.0,26.0,1.75
2027,12,BCE,Base,1.6,1.4,2.1,6.0,15.5,2950.0,33.0,26.0,1.75
2028,1,BCE,Base,1.7,1.5,2.0,5.9,15.0,3050.0,34.0,25.0,1.7
2028,2,BCE,Base,1.7,1.5,2.0,5.9,15.0,3050.0,34.0,25.0,1.7
2028,3,BCE,Base,1.7,1.5,2.0,5.9,15.0,3050.0,34.0,25.0,1.7
2028,4,BCE,Base,1.7,1.5,2.0,5.9,15.0,3050.0,34.0,25.0,1.7
2028,5,BCE,Base,1.7,1.5,2.0,5.9,15.0,3050.0,34.0,25.0,1.7
