Anio,Mes,Banco,Escenario,PIB_growth,PIBpc_growth,Inflacion,Desempleo,VIX,Oro,Plata,Gas,OIS
2026,1,BoE,Base,1.2,0.9,2.8,4.4,16.0,2850.0,32.0,28.0,3.6
2026,2,BoE,Base,1.2,0.9,2.8,4.4,16.0,2850.0,32.0,28.0,3.6
2026,3,BoE,Base,1.2,0.9,2.8,4.4,16.0,2850.0,32.0,28.0,3.6
2026,4,BoE,Base,1.2,0.9,2.8,4.4,16.0,2850.0,32.0,28.0,3.6
2026,5,BoE,Base,1.2,0.9,2.8,4.4,16.0,2850.0,32.0,28.0,3.6
2026,6,BoE,Base,1.2,0.9,2.8,4.4,16.0,2850.0,32.0,28.0,3.6
2026,7,BoE,Base,1.2,0.9,2.8,4.4,16.0,2850.0,32.0,28.0,3.6
2026,8,BoE,Base,1.2,0.9,2.8,4.4,16.0,2850.0,32.0,28.0,3.6
2026,9,BoE,Base,1.2,0.9,2.8,4.4,16.0,2850.0,32.0,28.0,3.6
2026,10,BoE,Base,1.2,0.9,2.8,4.4,16.0,2850.0,32.0,28.0,3.6
2026,11,BoE,Base,1.2,0.9,2.8,4.4,16.0,2850.0,32.0,28.0,3.6
2026,12,BoE,Base,1.2,0.9,2.8,4.4,16.0,2850.0,32.0,28.0,3.6
2027,1,BoE,Base,1.4,1.1,2.4,4.3,15.5,2950.0,33.0,26.0,3.4
2027,2,BoE,Base,1.4,1.1,2.4,4.3,15.5,2950.0,33.0,26.0,3.4
2027,3,BoE,Base,1.4,1.1,2.4,4.3,15.5,2950.0,33.0,26.0,3.4
2027,4,BoE,Base,1.4,1.1,2.4,4.3,15.5,2950.0,33.0,26.0,3.4
2027,5,BoE,Base,1.4,1.1,2.4,4.3,15.5,2950.0,33.0,26.0,3.4
2027,6,BoE,Base,1.4,1.1,2.4,4.3,15.5,2950.0,33.0,26.0,3.4
2027,7,BoE,Base,1.4,1.1,2.4,4.3,15.5,2950.0,33.0,26.0,3.4
