Anio,Mes,Banco,Escenario,PIB_growth,PIBpc_growth,Inflacion,Desempleo,VIX,Oro,Plata,Gas,OIS
2026,1,FED,Base,2.1,1.8,2.6,4.2,16.0,2850.0,32.0,3.5,3.5
2026,2,FED,Base,2.1,1.8,2.6,4.2,16.0,2850.0,32.0,3.5,3.5
2026,3,FED,Base,2.1,1.8,2.6,4.2,16.0,2850.0,32.0,3.5,3.5
2026,4,FED,Base,2.1,1.8,2.6,4.2,16.0,2850.0,32.0,3.5,3.5
2026,5,FED,Base,2.1,1.8,2.6,4.2,16.0,2850.0,32.0,3.5,3.5
2026,6,FED,Base,2.1,1.8,2.6,4.2,16.0,2850.0,32.0,3.5,3.5
2026,7,FED,Base,2.1,1.8,2.6,4.2,16.0,2850.0,32.0,3.5,3.5
2026,8,FED,Base,2.1,1.8,2.6,4.2,16.0,2850.0,32.0,3.5,3.5
2026,9,FED,Base,2.1,1.8,2.6,4.2,16.0,2850.0,32.0,3.5,3.5
2026,10,FED,Base,2.1,1.8,2.6,4.2,16.0,2850.0,32.0,3.5,3.5
2026,11,FED,Base,2.1,1.8,2.6,4.2,16.0,2850.0,32.0,3.5,3.5
2026,12,FED,Base,2.1,1.8,2.6,4.2,16.0,2850.0,32.0,3.5,3.5
2027,1,FED,Base,2.2,1.9,2.3,4.1,15.5,2950.0,33.0,3.4,3.3
2027,2,FED,Base,2.2,1.9,2.3,4.1,15.5,2950.0,33.0,3.4,3.3
2027,3,FED,Base,2.2,1.9,2.3,4.1,15.5,2950.0,33.0,3.4,3.3
2027,4,FED,Base,2.2,1.9,2.3,4.1,15.5,2950.0,33.0,3.4,3.3
2027,5,FED,Base,2.2,1.9,2.3,4.1,15.5,2950.0,33.0,3.4,3.3
2027,6,FED,Base,2.2,1.9,2.3,4.1,15.5,2950.0,33.0,3.4,3.3
2027,7,FED,Base,2.2,1.9,2.3,4.1,15.5,2950.0,33.0,3.4,3.3
2027,8,FED,Base,2.2,1.9,2.3,4.1,15.5,2950.0,33.0,3.4,3.3
2027,9,FED,Base,2.2,1.9,2.3,4.1,15.5,2950.0,33.0,3.4,3.3
2027,10,FED,Base,2.2,1.9,2.3,4.1,15.5,2950.0,33.0,3.4,3.3
2027,11,FED,Base,2.2,1.9,2.3,4.1,15.5,2950.0,33.0,3.4,3.3
2027,12,FED,Base,2.2,1.9,2.3,4.1,15.5,2950.0,33.0,3.4,3.3
2028,1,FED,Base,2.2,1.9,2.1,4.0,15.0,3050.0,34.0,3.3,3.2
2028,2,FED,Base,2.2,1.9,2.1,4.0,15.0,3050.0,34.0,3.3,3.2
2028,3,FED,Base,2.2,1.9,2.1,4.0,15.0,3050.0,34.0,3.3,3.2
2028,4,FED,Base,2.2,1.9,2.1,4.0,15.0,3050.0,34.0,3.3,3.2
2028,5,FED,Base,2.2,1.9,2.1,4.0,15.0,3050.0,34.0,3.3,3.2
2028,6,FED,Base,2.2,1.9,2.1,4.0,15.0,3050.0,34.0,3.3,3.2
2028,7,FED,Base,2.2,1.9,2.1,4.0,15.0,3050.0,34.0,3.3,3.2
2028,8,FED,Base,2.2,1.9,2.1,4.0,15.0,3050.0,34.0,3.3,3.2
2028,9,FED,Base,2.2,1.9,2.1,4.0,15.0,3050.0,34.0,3.3,3.2
2028,10,FED,Base,2.2,1.9,2.1,4.0,15.0,3050.0,34.0,3.3,3.2
2028,11,FED,Base,2.2,1.9,2.1,4.0,15.0,3050.0,34.0,3.3,3.2
2028,12,FED,Base,2.2,1.9,2.1,4.0,15.0,3050.0,34.0,3.3,3.2
