Anio,Mes,Banco,Escenario,PIB_growth,PIBpc_growth,Inflacion,Desempleo,VIX,Oro,Plata,Gas,OIS
2026,1,BCE,Optimista,2.5,2.2,1.9,5.8,13.0,3000.0,35.0,22.0,1.5
2026,2,BCE,Optimista,2.5,2.2,1.9,5.8,13.0,3000.0,35.0,22.0,1.5
2026,3,BCE,Optimista,2.5,2.2,1.9,5.8,13.0,3000.0,35.0,22.0,1.5
2026,4,BCE,Optimista,2.5,2.2,1.9,5.8,13.0,3000.0,35.0,22.0,1.5
2026,5,BCE,Optimista,2.5,2.2,1.9,5.8,13.0,3000.0,35.0,22.0,1.5
2026,6,BCE,Optimista,2.5,2.2,1.9,5.8,13.0,3000.0,35.0,22.0,1.5
2026,7,BCE,Optimista,2.5,2.2,1.9,5.8,13.0,3000.0,35.0,22.0,1.5
2026,8,BCE,Optimista,2.5,2.2,1.9,5.8,13.0,3000.0,35.0,22.0,1.5
2026,9,BCE,Optimista,2.5,2.2,1.9,5.8,13.0,3000.0,35.0,22.0,1.5
2026,10,BCE,Optimista,2.5,2.2,1.9,5.8,13.0,3000.0,35.0,22.0,1.5
2026,11,BCE,Optimista,2.5,2.2,1.9,5.8,13.0,3000.0,35.0,22.0,1.5
2026,12,BCE,Optimista,2.5,2.2,1.9,5.8,13.0,3000.0,35.0,22.0,1.5
2027,1,BCE,Optimista,2.8,2.5,1.7,5.5,12.0,3100.0,37.0,20.0,1.4
2027,2,BCE,Optimista,2.8,2.5,1.7,5.5,12.0,3100.0,37.0,20.0,1.4
2027,3,BCE,Optimista,2.8,2.5,1.7,5.5,12.0,3100.0,37.0,20.0,1.4
2027,4,BCE,Optimista,2.8,2.5,1.7,5.5,12.0,3100.0,37.0,20.0,1.4
2027,5,BCE,Optimista,2.8,2.5,1.7,5.5,12.0,3100.0,37.0,20.0,1.4
2027,6,BCE,Optimista,2.8,2.5,1.7,5.5,12.0,3100.0,37.0,20.0,1.4
2027,7,BCE,Optimista,2.8,2.5,1.7,5.5,12.0,3100.0,37.0,20.0,1.4
2027,8,BCE,Optimista,2.8,2.5,1.7,5.5,12.0,3100.0,37.0,20.0,1.4
2027,9,BCE,Optimista,2.8,2.5,1.7,5.5,12.0,3100.0,37.0,20.0,1.4
2027,10,BCE,Optimista,2.8,2.5,1.7,5.5,12.0,3100.0,37.0,20.0,1.4
2027,11,BCE,Optimista,2.8,2.5,1.7,5.5,12.0,3100.0,37.0,20.0,1.4
2027,12,BCE,Optimista,2.8,2.5,1.7,5.5,12.0,3100.0,37.0,20.0,1.4
2028,1,BCE,Optimista,2.9,2.6,1.6,5.3,11.5,3200.0,38.0,19.0,1.35
2028,2,BCE,Optimista,2.9,2.6,1.6,5.3,11.5,3200.0,38.0,19.0,1.35
2028,3,BCE,Optimista,2.9,2.6,1.6,5.3,11.5,3200.0,38.0,19.0,1.35
2028,4,BCE,Optimista,2.9,2.6,1.6,5.3,11.5,3200.0,38.0,19.0,1.35
2028,5,BCE,Optimista,2.9,2.6,1.6,5.3,11.5,3200.0,38.0,19.0,1.35
2028,6,BCE,Optimista,2.9,2.6,1.6,5.3,11.5,3200.0,38.0,19.0,1.35
2028,7,BCE,Optimista,2.9,2.6,1.6,5.3,11.5,3200.0,38.0,19.0,1.35
2028,8,BCE,Optimista,2.9,2.6,1.6,5.3,11.5,3200.0,38.0,19.0,1.35
2028,9,BCE,Optimista,2.9,2.6,1.6,5.3,11.5,3200.0,38.0,19.0,1.35
2028,10,BCE,Optimista,2.9,2.6,1.6,5.3,11.5,3200.0,38.0,19.0,1.35
2028,11,BCE,Optimista,2.9,2.6,1.6,5.3,11.5,3200.0,38.0,19.0,1.35
2028,12,BCE,Optimista,2.9,2.6,1.6,5.3,11.5,3200.0,38.0,19.0,1.35
2029,1,BCE,Optimista,3.0,2.7,1.6,5.1,11.0,3300.0,39.0,18.0,1.35
2029,2,BCE,Optimista,3.0,2.7,1.6,5.1,11.0,3300.0,39.0,18.0,1.35
2029,3,BCE,Optimista,3.0,2.7,1.6,5.1,11.0,3300.0,39.0,18.0,1.35
2029,4,BCE,Optimista,3.0,2.7,1.6,5.1,11.0,3300.0,39.0,18.0,1.35
2029,5,BCE,Optimista,3.0,2.7,1.6,5.1,11.0,3300.0,39.0,18.0,1.35
