Anio,Mes,Banco,Escenario,PIB_growth,PIBpc_growth,Inflacion,Desempleo,VIX,Oro,Plata,Gas,OIS
2026,1,BoE,Optimista,2.2,1.9,2.2,4.0,13.0,3000.0,35.0,22.0,3.2
2026,2,BoE,Optimista,2.2,1.9,2.2,4.0,13.0,3000.0,35.0,22.0,3.2
2026,3,BoE,Optimista,2.2,1.9,2.2,4.0,13.0,3000.0,35.0,22.0,3.2
2026,4,BoE,Optimista,2.2,1.9,2.2,4.0,13.0,3000.0,35.0,22.0,3.2
2026,5,BoE,Optimista,2.2,1.9,2.2,4.0,13.0,3000.0,35.0,22.0,3.2
2026,6,BoE,Optimista,2.2,1.9,2.2,4.0,13.0,3000.0,35.0,22.0,3.2
2026,7,BoE,Optimista,2.2,1.9,2.2,4.0,13.0,3000.0,35.0,22.0,3.2
2026,8,BoE,Optimista,2.2,1.9,2.2,4.0,13.0,3000.0,35.0,22.0,3.2
2026,9,BoE,Optimista,2.2,1.9,2.2,4.0,13.0,3000.0,35.0,22.0,3.2
2026,10,BoE,Optimista,2.2,1.9,2.2,4.0,13.0,3000.0,35.0,22.0,3.2
2026,11,BoE,Optimista,2.2,1.9,2.2,4.0,13.0,3000.0,35.0,22.0,3.2
2026,12,BoE,Optimista,2.2,1.9,2.2,4.0,13.0,3000.0,35.0,22.0,3.2
2027,1,BoE,Optimista,2.5,2.2,1.9,3.8,12.0,3100.0,37.0,20.0,2.9
2027,2,BoE,Optimista,2.5,2.2,1.9,3.8,12.0,3100.0,37.0,20.0,2.9
2027,3,BoE,Optimista,2.5,2.2,1.9,3.8,12.0,3100.0,37.0,20.0,2.9
2027,4,BoE,Optimista,2.5,2.2,1.9,3.8,12.0,3100.0,37.0,20.0,2.9
2027,5,BoE,Optimista,2.5,2.2,1.9,3.8,12.0,3100.0,37.0,20.0,2.9
2027,6,BoE,Optimista,2.5,2.2,1.9,3.8,12.0,3100.0,37.0,20.0,2.9
2027,7,BoE,Optimista,2.5,2.2,1.9,3.8,12.0,3100.0,37.0,20.0,2.9
2027,8,BoE,Optimista,2.5,2.2,1.9,3.8,12.0,3100.0,37.0,20.0,2.9
2027,9,BoE,Optimista,2.5,2.2,1.9,3.8,12.0,3100.0,37.0,20.0,2.9
2027,10,BoE,Optimista,2.5,2.2,1.9,3.8,12.0,3100.0,37.0,20.0,2.9
2027,11,BoE,Optimista,2.5,2.2,1.9,3.8,12.0,3100.0,37.0,20.0,2.9
2027,12,BoE,Optimista,2.5,2.2,1.9,3.8,12.0,3100.0,37.0,20.0,2.9
2028,1,BoE,Optimista,2.7,2.4,1.8,3.7,11.5,3200.0,38.0,19.0,2.7
2028,2,BoE,Optimista,2.7,2.4,1.8,3.7,11.5,3200.0,38.0,19.0,2.7
2028,3,BoE,Optimista,2.7,2.4,1.8,3.7,11.5,3200.0,38.0,19.0,2.7
2028,4,BoE,Optimista,2.7,2.4,1.8,3.7,11.5,3200.0,38.0,19.0,2.7
2028,5,BoE,Optimista,2.7,2.4,1.8,3.7,11.5,3200.0,38.0,19.0,2.7
2028,6,BoE,Optimista,2.7,2.4,1.8,3.7,11.5,3200.0,38.0,19.0,2.7
2028,7,BoE,Optimista,2.7,2.4,1.8,3.7,11.5,3200.0,38.0,19.0,2.7
2028,8,BoE,Optimista,2.7,2.4,1.8,3.7,11.5,3200.0,38.0,19.0,2.7
2028,9,BoE,Optimista,2.7,2.4,1.8,3.7,11.5,3200.0,38.0,19.0,2.7
2028,10,BoE,Optimista,2.7,2.4,1.8,3.7,11.5,3200.0,38.0,19.0,2.7
2028,11,BoE,Optimista,2.7,2.4,1.8,3.7,11.5,3200.0,38.0,19.0,2.7
2028,12,BoE,Optimista,2.7,2.4,1.8,3.7,11.5,3200.0,38.0,19.0,2.7
2029,1,BoE,Optimista,2.8,2.5,1.7,3.6,11.0,3300.0,39.0,18.0,2.6
2029,2,BoE,Optimista,2.8,2.5,1.7,3.6,11.0,3300.0,39.0,18.0,2.6
2029,3,BoE,Optimista,2.8,2.5,1.7,3.6,11.0,3300.0,39.0,18.0,2.6
2029,4,BoE,Optimista,2.8,2.5,1.7,3.6,11.0,3300.0,39.0,18.0,2.6
2029,5,BoE,Optimista,2.8,2.5,1.7,3.6,11.0,3300.0,39.0,18.0,2.6
2029,6,BoE,Optimista,2.8,2.5,1.7,3.6,11.0,3300.0,39.0,18.0,2.6
2029,7,BoE,Optimista,2.8,2.5,1.7,3.6,11.0,3300.0,39.0,18.0,2.6
2029,8,BoE,Optimista,2.8,2.5,1.7,3.6,11.0,3300.0,39.0,18.0,2.6
2029,9,BoE,Optimista,2.8,2.5,1.7,3.6,11.0,3300.0,39.0,18.0,2.6
2029,10,BoE,Optimista,2.8,2.5,1.7,3.6,11.0,3300.0,39.0,18.0,2.6
2029,11,BoE,Optimista,2.8,2.5,1.7,3.6,11.0,3300.0,39.0,18.0,2.6
2029,12,BoE,Optimista,2.8,2.5,1.7,3.6,11.0,3300.0,39.0,18.0,2.6
2030,1,BoE,Optimista,2.8,2.5,1.6,3.5,11.0,3400.0,40.0,18.0,2.5
2030,2,BoE,Optimista,2.8,2.5,1.6,3.5,11.0,3400.0,40.0,18.0,2.5
2030,3,BoE,Optimista,2.8,2.5,1.6,3.5,11.0,3400.0,40.0,18.0,2.5
2030,4,BoE,Optimista,2.8,2.5,1.6,3.5,11.0,3400.0,40.0,18.0,2.5
2030,5,BoE,Optimista,2.8,2.5,1.6,3.5,11.0,3400.0,40.0,18.0,2.5
2030,6,BoE,Optimista,2.8,2.5,1.6,3.5,11.0,3400.0,40.0,18.0,2.5
2030,7,BoE,Optimista,2.8,2.5,1.6,3.5,11.0,3400.0,40.0,18.0,2.5
2030,8,BoE,Optimista,2.8,2.5,1.6,3.5,11.0,3400.0,40.0,18.0,2.5
2030,9,BoE,Optimista,2.8,2.5,1.6,3.5,11.0,3400.0,40.0,18.0,2.5
2030,10,BoE,Optimista,2.8,2.5,1.6,3.5,11.0,3400.0,40.0,18.0,2.5
2030,11,BoE,Optimista,2.8,2.5,1.6,3.5,11.0,3400.0,40.0,18.0,2.5
2030,12,BoE,Optimista,2.8,2.5,1.6,3.5,11.0,3400.0,40.0,18.0,2.5
