Anio,Mes,Banco,Escenario,PIB_growth,PIBpc_growth,Inflacion,Desempleo,VIX,Oro,Plata,Gas,OIS
2026,1,FED,Optimista,3.0,2.7,2.2,3.8,13.0,3000.0,35.0,3.2,3.1
2026,2,FED,Optimista,3.0,2.7,2.2,3.8,13.0,3000.0,35.0,3.2,3.1
2026,3,FED,Optimista,3.0,2.7,2.2,3.8,13.0,3000.0,35.0,3.2,3.1
2026,4,FED,Optimista,3.0,2.7,2.2,3.8,13.0,3000.0,35.0,3.2,3.1
2026,5,FED,Optimista,3.0,2.7,2.2,3.8,13.0,3000.0,35.0,3.2,3.1
2026,6,FED,Optimista,3.0,2.7,2.2,3.8,13.0,3000.0,35.0,3.2,3.1
2026,7,FED,Optimista,3.0,2.7,2.2,3.8,13.0,3000.0,35.0,3.2,3.1
2026,8,FED,Optimista,3.0,2.7,2.2,3.8,13.0,3000.0,35.0,3.2,3.1
2026,9,FED,Optimista,3.0,2.7,2.2,3.8,13.0,3000.0,35.0,3.2,3.1
2026,10,FED,Optimista,3.0,2.7,2.2,3.8,13.0,3000.0,35.0,3.2,3.1
2026,11,FED,Optimista,3.0,2.7,2.2,3.8,13.0,3000.0,35.0,3.2,3.1
2026,12,FED,Optimista,3.0,2.7,2.2,3.8,13.0,3000.0,35.0,3.2,3.1
2027,1,FED,Optimista,3.2,2.9,1.9,3.6,12.0,3100.0,37.0,3.0,2.9
2027,2,FED,Optimista,3.2,2.9,1.9,3.6,12.0,3100.0,37.0,3.0,2.9
2027,3,FED,Optimista,3.2,2.9,1.9,3.6,12.0,3100.0,37.0,3.0,2.9
2027,4,FED,Optimista,3.2,2.9,1.9,3.6,12.0,3100.0,37.0,3.0,2.9
2027,5,FED,Optimista,3.2,2.9,1.9,3.6,12.0,3100.0,37.0,3.0,2.9
2027,6,FED,Optimista,3.2,2.9,1.9,3.6,12.0,3100.0,37.0,3.0,2.9
