Anio,Mes,Banco,Escenario,PIB_growth,PIBpc_growth,Inflacion,Desempleo,VIX,Oro,Plata,Gas,OIS
2026,1,BCE,Pesimista,0.4,0.1,3.3,7.1,24.0,2600.0,28.0,45.0,2.7
2026,2,BCE,Pesimista,0.4,0.1,3.3,7.1,24.0,2600.0,28.0,45.0,2.7
2026,3,BCE,Pesimista,0.4,0.1,3.3,7.1,24.0,2600.0,28.0,45.0,2.7
2026,4,BCE,Pesimista,0.4,0.1,3.3,7.1,24.0,2600.0,28.0,45.0,2.7
2026,5,BCE,Pesimista,0.4,0.1,3.3,7.1,24.0,2600.0,28.0,45.0,2.7
2026,6,BCE,Pesimista,0.4,0.1,3.3,7.1,24.0,2600.0,28.0,45.0,2.7
2026,7,BCE,Pesimista,0.4,0.1,3.3,7.1,24.0,2600.0,28.0,45.0,2.7
2026,8,BCE,Pesimista,0.4,0.1,3.3,7.1,24.0,2600.0,28.0,45.0,2.7
2026,9,BCE,Pesimista,0.4,0.1,3.3,7.1,24.0,2600.0,28.0,45.0,2.7
2026,10,BCE,Pesimista,0.4,0.1,3.3,7.1,24.0,2600.0,28.0,45.0,2.7
2026,11,BCE,Pesimista,0.4,0.1,3.3,7.1,24.0,2600.0,28.0,45.0,2.7
2026,12,BCE,Pesimista,0.4,0.1,3.3,7.1,24.0,2600.0,28.0,45.0,2.7
2027,1,BCE,Pesimista,0.2,-0.1,3.8,7.8,28.0,2500.0,26.0,55.0,3.2
2027,2,BCE,Pesimista,0.2,-0.1,3.8,7.8,28.0,2500.0,26.0,55.0,3.2
2027,3,BCE,Pesimista,0.2,-0.1,3.8,7.8,28.0,2500.0,26.0,55.0,3.2
2027,4,BCE,Pesimista,0.2,-0.1,3.8,7.8,28.0,2500.0,26.0,55.0,3.2
2027,5,BCE,Pesimista,0.2,-0.1,3.8,7.8,28.0,2500.0,26.0,55.0,3.2
2027,6,BCE,Pesimista,0.2,-0.1,3.8,7.8,28.0,2500.0,26.0,55.0,3.2
2027,7,BCE,Pesimista,0.2,-0.1,3.8,7.8,28.0,2500.0,26.0,55.0,3.2
2027,8,BCE,Pesimista,0.2,-0.1,3.8,7.8,28.0,2500.0,26.0,55.0,3.2
2027,9,BCE,Pesimista,0.2,-0.1,3.8,7.8,28.0,2500.0,26.0,55.0,3.2
2027,10,BCE,Pesimista,0.2,-0.1,3.8,7.8,28.0,2500.0,26.0,55.0,3.2
2027,11,BCE,Pesimista,0.2,-0.1,3.8,7.8,28.0,2500.0,26.0,55.0,3.2
2027,12,BCE,Pesimista,0.2,-0.1,3.8,7.8,28.0,2500.0,26.0,55.0,3.2
