Anio,Mes,Banco,Escenario,PIB_growth,PIBpc_growth,Inflacion,Desempleo,VIX,Oro,Plata,Gas,OIS
2026,1,BoE,Pesimista,0.3,0.0,3.8,5.0,24.0,2600.0,28.0,45.0,4.2
2026,2,BoE,Pesimista,0.3,0.0,3.8,5.0,24.0,2600.0,28.0,45.0,4.2
2026,3,BoE,Pesimista,0.3,0.0,3.8,5.0,24.0,2600.0,28.0,45.0,4.2
2026,4,BoE,Pesimista,0.3,0.0,3.8,5.0,24.0,2600.0,28.0,45.0,4.2
2026,5,BoE,Pesimista,0.3,0.0,3.8,5.0,24.0,2600.0,28.0,45.0,4.2
2026,6,BoE,Pesimista,0.3,0.0,3.8,5.0,24.0,2600.0,28.0,45.0,4.2
2026,7,BoE,Pesimista,0.3,0.0,3.8,5.0,24.0,2600.0,28.0,45.0,4.2
2026,8,BoE,Pesimista,0.3,0.0,3.8,5.0,24.0,2600.0,28.0,45.0,4.2
2026,9,BoE,Pesimista,0.3,0.0,3.8,5.0,24.0,2600.0,28.0,45.0,4.2
2026,10,BoE,Pesimista,0.3,0.0,3.8,5.0,24.0,2600.0,28.0,45.0,4.2
2026,11,BoE,Pesimista,0.3,0.0,3.8,5.0,24.0,2600.0,28.0,45.0,4.2
2026,12,BoE,Pesimista,0.3,0.0,3.8,5.0,24.0,2600.0,28.0,45.0,4.2
2027,1,BoE,Pesimista,0.1,-0.2,4.2,5.6,28.0,2500.0,26.0,55.0,4.6
2027,2,BoE,Pesimista,0.1,-0.2,4.2,5.6,28.0,2500.0,26.0,55.0,4.6
2027,3,BoE,Pesimista,0.1,-0.2,4.2,5.6,28.0,2500.0,26.0,55.0,4.6
2027,4,BoE,Pesimista,0.1,-0.2,4.2,5.6,28.0,2500.0,26.0,55.0,4.6
2027,5,BoE,Pesimista,0.1,-0.2,4.2,5.6,28.0,2500.0,26.0,55.0,4.6
2027,6,BoE,Pesimista,0.1,-0.2,4.2,5.6,28.0,2500.0,26.0,55.0,4.6
2027,7,BoE,Pesimista,0.1,-0.2,4.2,5.6,28.0,2500.0,26.0,55.0,4.6
2027,8,BoE,Pesimista,0.1,-0.2,4.2,5.6,28.0,2500.0,26.0,55.0,4.6
2027,9,BoE,Pesimista,0.1,-0.2,4.2,5.6,28.0,2500.0,26.0,55.0,4.6
2027,10,BoE,Pesimista,0.1,-0.2,4.2,5.6,28.0,2500.0,26.0,55.0,4.6
2027,11,BoE,Pesimista,0.1,-0.2,4.2,5.6,28.0,2500.0,26.0,55.0,4.6
2027,12,BoE,Pesimista,0.1,-0.2,4.2,5.6,28.0,2500.0,26.0,55.0,4.6
2028,1,BoE,Pesimista,0.4,0.1,3.8,5.8,26.0,2550.0,27.0,50.0,4.4
2028,2,BoE,Pesimista,0.4,0.1,3.8,5.8,26.0,2550.0,27.0,50.0,4.4
2028,3,BoE,Pesimista,0.4,0.1,3.8,5.8,26.0,2550.0,27.0,50.0,4.4
2028,4,BoE,Pesimista,0.4,0.1,3.8,5.8,26.0,2550.0,27.0,50.0,4.4
2028,5,BoE,Pesimista,0.4,0.1,3.8,5.8,26.0,2550.0,27.0,50.0,4.4
2028,6,BoE,Pesimista,0.4,0.1,3.8,5.8,26.0,2550.0,27.0,50.0,4.4
2028,7,BoE,Pesimista,0.4,0.1,3.8,5.8,26.0,2550.0,27.0,50.0,4.4
2028,8,BoE,Pesimista,0.4,0.1,3.8,5.8,26.0,2550.0,27.0,50.0,4.4
2028,9,BoE,Pesimista,0.4,0.1,3.8,5.8,26.0,2550.0,27.0,50.0,4.4
2028,10,BoE,Pesimista,0.4,0.1,3.8,5.8,26.0,2550.0,27.0,50.0,4.4
2028,11,BoE,Pesimista,0.4,0.1,3.8,5.8,26.0,2550.0,27.0,50.0,4.4
2028,12,BoE,Pesimista,0.4,0.1,3.8,5.8,26.0,2550.0,27.0,50.0,4.4
2029,1,BoE,Pesimista,0.7,0.4,3.3,5.6,23.0,2650.0,28.0,46.0,4.1
2029,2,BoE,Pesimista,0.7,0.4,3.3,5.6,23.0,2650.0,28.0,46.0,4.1
2029,3,BoE,Pesimista,0.7,0.4,3.3,5.6,23.0,2650.0,28.0,46.0,4.1
2029,4,BoE,Pesimista,0.7,0.4,3.3,5.6,23.0,2650.0,28.0,46.0,4.1
2029,5,BoE,Pesimista,0.7,0.4,3.3,5.6,23.0,2650.0,28.0,46.0,4.1
2029,6,BoE,Pesimista,0.7,0.4,3.3,5.6,23.0,2650.0,28.0,46.0,4.1
2029,7,BoE,Pesimista,0.7,0.4,3.3,5.6,23.0,2650.0,28.0,46.0,4.1
2029,8,BoE,Pesimista,0.7,0.4,3.3,5.6,23.0,2650.0,28.0,46.0,4.1
2029,9,BoE,Pesimista,0.7,0.4,3.3,5.6,23.0,2650.0,28.0,46.0,4.1
2029,10,BoE,Pesimista,0.7,0.4,3.3,5.6,23.0,2650.0,28.0,46.0,4.1
2029,11,BoE,Pesimista,0.7,0.4,3.3,5.6,23.0,2650.0,28.0,46.0,4.1
2029,12,BoE,Pesimista,0.7,0.4,3.3,5.6,23.0,2650.0,28.0,46.0,4.1
2030,1,BoE,Pesimista,1.0,0.7,2.8,5.4,21.0,2750.0,29.0,42.0,3.8
2030,2,BoE,Pesimista,1.0,0.7,2.8,5.4,21.0,2750.0,29.0,42.0,3.8
2030,3,BoE,Pesimista,1.0,0.7,2.8,5.4,21.0,2750.0,29.0,42.0,3.8
2030,4,BoE,Pesimista,1.0,0.7,2.8,5.4,21.0,2750.0,29.0,42.0,3.8
