Anio,Mes,Banco,Escenario,PIB_growth,PIBpc_growth,Inflacion,Desempleo,VIX,Oro,Plata,Gas,OIS
2026,1,FED,Pesimista,0.8,0.5,3.5,5.0,24.0,2600.0,28.0,4.5,4.2
2026,2,FED,Pesimista,0.8,0.5,3.5,5.0,24.0,2600.0,28.0,4.5,4.2
2026,3,FED,Pesimista,0.8,0.5,3.5,5.0,24.0,2600.0,28.0,4.5,4.2
2026,4,FED,Pesimista,0.8,0.5,3.5,5.0,24.0,2600.0,28.0,4.5,4.2
2026,5,FED,Pesimista,0.8,0.5,3.5,5.0,24.0,2600.0,28.0,4.5,4.2
2026,6,FED,Pesimista,0.8,0.5,3.5,5.0,24.0,2600.0,28.0,4.5,4.2
2026,7,FED,Pesimista,0.8,0.5,3.5,5.0,24.0,2600.0,28.0,4.5,4.2
2026,8,FED,Pesimista,0.8,0.5,3.5,5.0,24.0,2600.0,28.0,4.5,4.2
2026,9,FED,Pesimista,0.8,0.5,3.5,5.0,24.0,2600.0,28.0,4.5,4.2
2026,10,FED,Pesimista,0.8,0.5,3.5,5.0,24.0,2600.0,28.0,4.5,4.2
2026,11,FED,Pesimista,0.8,0.5,3.5,5.0,24.0,2600.0,28.0,4.5,4.2
2026,12,FED,Pesimista,0.8,0.5,3.5,5.0,24.0,2600.0,28.0,4.5,4.2
2027,1,FED,Pesimista,0.5,0.2,4.0,5.6,28.0,2500.0,26.0,5.0,4.6
2027,2,FED,Pesimista,0.5,0.2,4.0,5.6,28.0,2500.0,26.0,5.0,4.6
2027,3,FED,Pesimista,0.5,0.2,4.0,5.6,28.0,2500.0,26.0,5.0,4.6
2027,4,FED,Pesimista,0.5,0.2,4.0,5.6,28.0,2500.0,26.0,5.0,4.6
2027,5,FED,Pesimista,0.5,0.2,4.0,5.6,28.0,2500.0,26.0,5.0,4.6
2027,6,FED,Pesimista,0.5,0.2,4.0,5.6,28.0,2500.0,26.0,5.0,4.6
2027,7,FED,Pesimista,0.5,0.2,4.0,5.6,28.0,2500.0,26.0,5.0,4.6
2027,8,FED,Pesimista,0.5,0.2,4.0,5.6,28.0,2500.0,26.0,5.0,4.6
2027,9,FED,Pesimista,0.5,0.2,4.0,5.6,28.0,2500.0,26.0,5.0,4.6
2027,10,FED,Pesimista,0.5,0.2,4.0,5.6,28.0,2500.0,26.0,5.0,4.6
2027,11,FED,Pesimista,0.5,0.2,4.0,5.6,28.0,2500.0,26.0,5.0,4.6
2027,12,FED,Pesimista,0.5,0.2,4.0,5.6,28.0,2500.0,26.0,5.0,4.6
2028,1,FED,Pesimista,0.8,0.5,3.6,5.8,26.0,2550.0,27.0,4.8,4.4
2028,2,FED,Pesimista,0.8,0.5,3.6,5.8,26.0,2550.0,27.0,4.8,4.4
2028,3,FED,Pesimista,0.8,0.5,3.6,5.8,26.0,2550.0,27.0,4.8,4.4
2028,4,FED,Pesimista,0.8,0.5,3.6,5.8,26.0,2550.0,27.0,4.8,4.4
2028,5,FED,Pesimista,0.8,0.5,3.6,5.8,26.0,2550.0,27.0,4.8,4.4
2028,6,FED,Pesimista,0.8,0.5,3.6,5.8,26.0,2550.0,27.0,4.8,4.4
2028,7,FED,Pesimista,0.8,0.5,3.6,5.8,26.0,2550.0,27.0,4.8,4.4
2028,8,FED,Pesimista,0.8,0.5,3.6,5.8,26.0,2550.0,27.0,4.8,4.4
2028,9,FED,Pesimista,0.8,0.5,3.6,5.8,26.0,2550.0,27.0,4.8,4.4
2028,10,FED,Pesimista,0.8,0.5,3.6,5.8,26.0,2550.0,27.0,4.8,4.4
2028,11,FED,Pesimista,0.8,0.5,3.6,5.8,26.0,2550.0,27.0,4.8,4.4
2028,12,FED,Pesimista,0.8,0.5,3.6,5.8,26.0,2550.0,27.0,4.8,4.4
2029,1,FED,Pesimista,1.2,0.9,3.0,5.5,23.0,2650.0,28.0,4.5,4.1
2029,2,FED,Pesimista,1.2,0.9,3.0,5.5,23.0,2650.0,28.0,4.5,4.1
